id,bucket,top_similarity,top_opl_path,top_ans_count,top_status,opl_first_answer,current_submission_answer,agree
13,PARAM,0.7983,OpenProblemLibrary/UCSB/Stewart5_7_2/Stewart5_7_2_38.pg,1,PARAMETERIZED,"fun_cmp(""$a*(-1/9*1/sin(x)^9*cos(x)^7-2/63*1/sin(x)^7*cos(x)^7)+C+c"", var=>[""x"",""C""], params=>[""c""],","Since cos(-4x) = cos(4x), the integral is:
$$I = \int \frac{6}{\cos^7(4x)\sin(4x)}\,dx$$

Let $u = \",NO
14,PARAM,0.8276,OpenProblemLibrary/LoyolaChicago/Precalc/Chap4Review/Q10.pg,1,PARAMETERIZED,"num_cmp($ans,tol=>0.000000000001)","We need to solve for t in 7·3^t = 245.

Divide both sides by 7:
3^t = 35

Take logarithm of both sid",NO
15,HIGH,0.9055,OpenProblemLibrary/LoyolaChicago/Precalc/Chap9Sec2/Q01.pg,2,OK,"Compute(""0"")->cmp()","f(x) = x⁸ + 4 is a polynomial (variable base, constant exponent) with degree 8.

g(x) = 8ˣ + 4 is an",NO
16,PARAM,0.7450,Contrib/USM/setCombinatorial_Game_Theory/simple_zero_game_two_opposite_colored_stalks.pg,2,PARAMETERIZED,$blue_can_win -> cmp(),"This is a complex or challenging question, and it is difficult to provide a direct and correct answe",NO
17,PARAM,0.7551,OpenProblemLibrary/WHFreeman/Rogawski_Calculus_Early_Transcendentals_Second_Edition/10_Infinite_Series/10.1_Sequences/10.1.31.pg,3,PARAMETERIZED,$ans1->cmp,"This is a complex or challenging question, and it is difficult to provide a direct and correct answe",NO
18,PARAM,0.7316,OpenProblemLibrary/ASU-topics/setCount/pcount2.pg,2,PARAMETERIZED,num_cmp($ans1),"Okay, let's see. Dani has 45 marbles, and she has 5 times as many as Joe. So I need to find out how ",NO
19,PARAM,0.7147,OpenProblemLibrary/WHFreeman/Rogawski_Calculus_Early_Transcendentals_Second_Edition/10_Infinite_Series/10.1_Sequences/10.1.31.pg,3,PARAMETERIZED,$ans1->cmp,"Okay, let's try to figure out this problem step by step. The sequence is defined by j₀=1, j₁=2, and ",NO
20,PARAM,0.9572,OpenProblemLibrary/UVA-Stat/setStat212-Homework02/stat212-HW02-10.pg,3,PARAMETERIZED,num_cmp($mean),"Okay, let's tackle this problem step by step. First, I need to find the mean, median, and mode of th",NO
21,PARAM,0.8876,OpenProblemLibrary/ASU-topics/setLinearModels/prob9p126.pg,2,PARAMETERIZED,"fun_cmp($ans, var => 't')","This is a complex or challenging question, and it is difficult to provide a direct and correct answe",NO
22,LOW,0.7312,Contrib/BentleyUniversity/MathematicsOfComputerGraphics/setMoCG-Ch15/15-3-NumFacesInSmallMeshes.pg,0,FAILED,,"This is a complex or challenging question, and it is difficult to provide a direct and correct answe",
23,PARAM,0.8016,Contrib/Utah/Intermediate_Algebra/2.2/pr3.pg,5,PARAMETERIZED,Real(0.4)->cmp,"Let walking speed = v, bicycle speed = 2v.

Time for A to walk from A to B: 5/v.

In that time, B tr",NO
24,PARAM,0.9341,OpenProblemLibrary/UVA-Stat/setStat212-Homework12/stat212-HW12-02.pg,1,PARAMETERIZED,num_cmp($sse),"Okay, let's see. I need to find the sum of the squared residuals for the line ŷ = 3 + 2x fitted to t",NO
25,LOW,0.8327,OpenProblemLibrary/ASU-topics/setStat/dueck2_1.pg,0,FAILED,,"Okay, let's tackle this problem step by step. First, part (a) is about constructing the relative fre",
26,PARAM,0.7597,Contrib/Valdosta/APEX_Calculus/4.3/APEX_4.3_4.pg,1,PARAMETERIZED,num_cmp($ans),"This is a complex or challenging question, and it is difficult to provide a direct and correct answe",NO
27,PARAM,0.8657,OpenProblemLibrary/ASU-topics/setTrigInverse/p16.pg,1,PARAMETERIZED,"number_list_cmp(""$ans1,$ans2,$ans3,$ans4"")","Okay, let's tackle these two equations one by one. First, I need to solve sin(t) = √3/2 in the inter",NO
28,PARAM,0.9299,OpenProblemLibrary/NewHampshire/unh_schoolib/Multiplication_Division/mdpsrs301.pg,6,PARAMETERIZED,Real(2)->cmp,"Okay, let's tackle each part step by step. 

Starting with part a): The problem says that 16 pages a",NO
29,PARAM,0.9324,OpenProblemLibrary/NewHampshire/unh_schoolib/Arithmetic_Word_Problems/awpbrs305.pg,1,PARAMETERIZED,Real($ans)->cmp,"Okay, let's see. I need to figure out the percentage of yellow tint in the new mixture after adding ",NO
30,PARAM,0.9781,OpenProblemLibrary/Rochester/setStatistics3Estimates/ur_stt_3_18.pg,2,PARAMETERIZED,"num_cmp($ans1,tol=>35)","Okay, let's tackle this problem step by step. First, I need to remember the formula for sample size ",NO
31,PARAM,0.8962,OpenProblemLibrary/CollegeOfIdaho/setAlgebra_01_04_SolveLinearEq/14IntAlg_25_Operations_Review.pg,2,PARAMETERIZED,Compute($ans_a)->cmp,"a) 6 ÷ (−2) = −3

b) (−126) ÷ (−3) = 42
</think>

\boxed{-3,42}",NO
32,PARAM,0.8702,OpenProblemLibrary/Rochester/setGeometry1Points/srw1_9_2_mo.pg,2,PARAMETERIZED,$length->cmp,"Okay, let's see. I need to solve two problems here: first, find the distance between the points (4, ",NO
33,PARAM,0.7617,OpenProblemLibrary/MC/Trigonometry/45-45-90-01.pg,2,PARAMETERIZED,num_cmp($b),"This is a complex or challenging question, and it is difficult to provide a direct and correct answe",NO
34,LOW,0.7551,OpenProblemLibrary/ASU-topics/setStat/dueck3_4_3.pg,0,FAILED,,"Given: Min = 3, Q1 = 4.5, Median = 9, Q3 = 10.5, Max = 20

**Step 1: Calculate IQR**
IQR = Q3 - Q1 =",
35,PARAM,0.9319,OpenProblemLibrary/Michigan/precalc/4e/Chap6Sec5/Q32.pg,2,PARAMETERIZED,$popup -> cmp(),"Okay, let's try to figure out this problem. The question is about transforming the function h(x) = l",NO
36,PARAM,0.8550,OpenProblemLibrary/CollegeOfIdaho/setAlgebra_01_06_Exponents/16IntAlg_05_Exponents.pg,1,PARAMETERIZED,"$ans->cmp->withPostFilter(AnswerHints(
   sub {
       my ($correct,$student,$ah) = @_;
       ##Cou","Okay, let's see. I need to multiply these two terms using the product rule. The problem is (-8x⁵y⁶)(",NO
37,PARAM,0.7675,OpenProblemLibrary/Rochester/setAlgebra36SeqSeries/sequence11.pg,3,PARAMETERIZED,str_cmp($ans1),"This is a complex or challenging question, and it is difficult to provide a direct and correct answe",NO
38,PARAM,0.7573,OpenProblemLibrary/WHFreeman/Rogawski_Calculus_Early_Transcendentals_Second_Edition/12_Vector_Geometry/12.4_The_Cross_Product/12.4.20.pg,3,PARAMETERIZED,Real($a1)->cmp,"We need to compute $\int_C \frac{dz}{(z-1)^2(z^2+1)}$ where $C: x^2+y^2 = 2(x+y)$.

Rewrite $C$: $x^",NO
39,LOW,0.6914,Contrib/PCC/BasicMath/MultiplicationDivision/DivisionWordProblem110.pg,0,FAILED,,"8075 ÷ 17 = 475
</think>

\boxed{475}",
40,PARAM,0.9766,OpenProblemLibrary/FortLewis/Algebra/5-1-Linear-functions/MCH1-5-1-01-Linear-functions.pg,1,PARAMETERIZED,"$answer->cmp() 
->withPostFilter(AnswerHints( 
  Formula(""D = $b + $m d"") => ""The distance from home","Okay, let's try to figure out this problem step by step. So, we have a homing pigeon that starts 800",NO
41,PARAM,0.7316,Contrib/CSUN/Calculus/Optimization_2.pg,1,PARAMETERIZED,Compute($ans)->cmp,"This is a complex or challenging question, and it is difficult to provide a direct and correct answe",NO
42,PARAM,0.9061,OpenProblemLibrary/CollegeOfIdaho/setStatistics_Ch17InferenceMean_t/17Stats_07_InferenceMean_t.pg,2,PARAMETERIZED,$ans_a->cmp,"(a) At 5% significance, we compare P-value (0.095) to α = 0.05. Since 0.095 > 0.05, we fail to rejec",NO
43,PARAM,0.7866,Contrib/AlfredUniv/precalc/trig/simplifylinearcombination.pg,4,PARAMETERIZED,$firstred->cmp(),"Okay, let's try to figure out how to express \((\sin(7x))^4\) using half-angle formulas. First, I re",NO
44,PARAM,0.7495,Contrib/UBC/STAT/STAT306_2017/optional/pcor-bhat.pg,3,PARAMETERIZED,checkbox_cmp($mcquesa->correct_ans()),"Okay, let's tackle each of these statements one by one. I need to remember my multiple regression co",NO
45,PARAM,0.7772,OpenProblemLibrary/ASU-topics/setDiscrete/katie3-4.1.pg,1,PARAMETERIZED,str_cmp( $tf -> ra_correct_ans ),"Okay, let's try to figure out this problem. Hmm, the question says that a(n) is defined as the numbe",NO
46,PARAM,0.9471,OpenProblemLibrary/Rochester/setStatistics4HypothesisTesting/ur_stt_4_5.pg,7,PARAMETERIZED,num_cmp($ans1),"Okay, let's tackle this problem step by step. First, part (a) is a one-tailed test where the null hy",NO
47,PARAM,0.7265,OpenProblemLibrary/Michigan/gateways/integral/topic_polynomials/prob10.pg,1,PARAMETERIZED,$fans->cmp(),"We need natural numbers m such that 2^m | 3^m - 1.

Check small values:

m=1: 3^1 - 1 = 2, 2^1 = 2. ",NO
48,PARAM,0.8505,OpenProblemLibrary/Mizzou/Algebra/log_eqns_convert_to_and_from_exp/log_to_exp_04.pg,3,PARAMETERIZED,Compute($var2)->cmp(),"Converting $e^{-2} \approx 0.135$ to logarithmic form: take the natural log of both sides, giving $-",NO
49,PARAM,0.9207,OpenProblemLibrary/Rochester/setStatistics4HypothesisTesting/ur_stt_4_10.pg,1,PARAMETERIZED,"num_cmp($ans,tol=>0.001)","Okay, let's try to figure out how to find β, the probability of a type II error here. First, let me ",NO
50,PARAM,0.9540,OpenProblemLibrary/Mizzou/Algebra/eqns_systems_apps/app_systems_find_eqns_02.pg,1,PARAMETERIZED,$answer->cmp(),"Okay, let's see. I need to set up a system of equations for this problem. The question is about find",NO
51,PARAM,0.7646,OpenProblemLibrary/SDSU/Discrete/IntegersAndRationals/basemultiplicationB9.pg,1,PARAMETERIZED,$answer->cmp(),"This is a complex or challenging question, and it is difficult to provide a direct and correct answe",NO
52,PARAM,0.7934,Pending/PCC/Math95/IntroProblemSolving/IntroProblemSolving7.pg,1,PARAMETERIZED,$ans->cmp,"The solution is 3 parts alcohol + 5 parts acid = 8 parts total.

Alcohol: (3/8) × 616 = 231 oz  
Aci",NO
53,PARAM,0.6955,OpenProblemLibrary/Michigan/probability/ross/chapter7/prob7.53.pg,1,PARAMETERIZED,$en->cmp(),We need to find the entropy rate of a random walk on a 3×3×3 grid graph where rooms are connected if,NO
54,LOW,0.7230,OpenProblemLibrary/NewHampshire/NECAP/grade11/gr11-2008/n11-2008-19s.pg,1,OK,Real(3)->cmp,"This is a complex or challenging question, and it is difficult to provide a direct and correct answe",NO
55,PARAM,0.8751,OpenProblemLibrary/FortLewis/Algebra/7-4-Power-functions-modeling/MCH1-7-4-01-Power-functions-modeling.pg,1,PARAMETERIZED,$answer->cmp(),"Okay, let's see. The problem says that y is proportional to the fourth power of x. Hmm, proportional",NO
56,PARAM,0.7584,OpenProblemLibrary/UVA-Stat/setStat212-Homework07/stat212-HW07-12.pg,1,PARAMETERIZED,num_cmp($ans1),(a) We want to predict exam score from hours studied. Hours studied is the explanatory variable → go,NO
57,PARAM,0.8178,OpenProblemLibrary/ma117DB/set1b/srw1_6_35.pg,2,PARAMETERIZED,num_cmp($ans1),"Okay, let's try to figure out this problem step by step. So, we have a rectangular plot that's 19 fe",NO
58,LOW,0.7665,OpenProblemLibrary/UCSB/Stewart5_2_3/Stewart5_2_3_50.pg,3,OK,"fun_cmp(""1"", var=>[""m""])","This is a complex or challenging question, and it is difficult to provide a direct and correct answe",NO
59,PARAM,0.8491,OpenProblemLibrary/UMN/algebraKaufmannSchwitters/ks_5_6_6.pg,1,PARAMETERIZED,$ans->cmp(showProperFractions=>0),"343^(2/3) = (343^(1/3))^2 = 7^2 = 49
</think>

\boxed{49}",NO
60,PARAM,0.8815,OpenProblemLibrary/ASU-topics/setStat/gust67.pg,2,PARAMETERIZED,radio_cmp($mc->correct_ans),"The variable under consideration is what is being measured on each individual — that is, the **age o",NO
61,PARAM,0.9655,Contrib/Mizzou/Algebra/functions_piecewise/app_03.pg,5,PARAMETERIZED,$expn1->cmp(),"Okay, let's try to figure out this problem step by step. So, the question is about writing a piecewi",NO
62,PARAM,0.7668,OpenProblemLibrary/UMN/algebraKaufmannSchwitters/ks_5_4_16.pg,4,PARAMETERIZED,$ans1->cmp,"**Problem:** Multiply the given integers.

**1.** $(-1)\cdot(-5)\cdot(-3)$

$(-1)\cdot(-5) = 5$, the",NO
63,PARAM,0.9452,OpenProblemLibrary/UVA-Stat/setStat212-Homework10/stat212-HW10-14.pg,2,PARAMETERIZED,num_cmp($upper),"Okay, let's see. I need to find a 92.4% confidence interval for the mean of a normal population base",NO
64,PARAM,0.9830,OpenProblemLibrary/Michigan/Chap1Sec5/Q43.pg,1,PARAMETERIZED,"Compute(""-$A*cos($B*t)+$C"")->cmp()","Okay, let's try to figure out this problem step by step. So, we have a population that oscillates si",NO
65,PARAM,0.8064,OpenProblemLibrary/CollegeOfIdaho/setAlgebra_01_02_OperationsWithRealNumbers/12IntAlg_11_OperationsWithReals.pg,2,PARAMETERIZED,Compute($ans_a)->cmp,"Okay, let's tackle these multiplication problems one by one. First, part a) is (3/7) times (-2). Hmm",NO
66,PARAM,0.9853,OpenProblemLibrary/Rochester/setTrig09Laws/srw6_5_31.pg,1,PARAMETERIZED,"num_cmp(""sqrt($s15^2+(2*$s)^2-2*$s15*2*$s*cos(pi*170/180))"")","Okay, let's try to figure out this problem step by step. First, let's make sure I understand what's ",NO
67,PARAM,0.7945,OpenProblemLibrary/LoyolaChicago/Precalc/Chap3Sec1/Connally3-3-1-22-Exponential-functions.pg,1,PARAMETERIZED,$f->cmp(),"Okay, let's tackle this problem step by step. First, part (a) asks for a formula to approximate the ",NO
68,PARAM,0.9565,OpenProblemLibrary/Rochester/setStatistics5Inferences2Samples/ur_stt_5_6.pg,8,PARAMETERIZED,num_cmp($d),"Okay, let's tackle this problem step by step. First, I need to recall that this is a paired t-test, ",NO
69,PARAM,0.7533,OpenProblemLibrary/Rochester/setIntegrals0Theory/osu_in_0_18.pg,1,PARAMETERIZED,num_cmp($ans),"We need to compute $\int_0^{\pi} \frac{x\sin^2 x}{1+\sin x}\,dx$.

**Step 1: Use the symmetry substi",NO
70,LOW,0.8206,OpenProblemLibrary/PCC/BasicMath/FractionApplication/FractionDivisionWordProblems20.pg,0,FAILED,,"Okay, let's try to figure out this problem step by step. So, the school won a grant and decided to s",
71,PARAM,0.7977,OpenProblemLibrary/WHFreeman/Holt_linear_algebra/Chaps_1-4/holt_01_01_067.pg,2,PARAMETERIZED,Compute($a)->cmp(studentsMustReduceFractions=>1),"Okay, let's see. I need to find the equation of a straight line in the (F, X) plane where F is the F",NO
72,PARAM,0.8329,OpenProblemLibrary/MC/Trigonometry/HalfAngle01.pg,5,PARAMETERIZED,$popup->cmp(),"Okay, let's tackle this problem step by step. First, we know that sin(A) = 0.55 and cos(A) < 0. So, ",NO
73,PARAM,0.8304,OpenProblemLibrary/Michigan/probability/ross/chapter6/prob6.56.pg,2,PARAMETERIZED,$fuv[0]->cmp(),"We need the joint density of $U = X^2 + Y^2$ and $V = X/Y$.

The joint density of $(X, Y)$ is:
$$f_{",NO
74,PARAM,0.9764,OpenProblemLibrary/UVA-Stat/setStat212-Homework11/stat212-HW11-15.pg,1,PARAMETERIZED,"interval_cmp(""($lcl, $ucl)"", sloppy=>'yes')","This is a complex or challenging question, and it is difficult to provide a direct and correct answe",NO
75,PARAM,0.9321,Contrib/Mizzou/Algebra/inequalities_applications/linear_ineq_app_income_plans.pg,1,PARAMETERIZED,Compute($ans)->cmp(),"We need to find when Plan B earnings > Plan A earnings.

Plan A: 1100 + 0.11x

Plan B: 1450 + 0.15(x",NO
76,PARAM,0.7438,OpenProblemLibrary/Mizzou/Algebra/real_numbers_simplifying_expns/eval_expn_02.pg,2,PARAMETERIZED,Compute($ans_a)->cmp(studentsMustReduceFractions=>1),"I need to evaluate each subtraction expression.

1. 6 - 10 = -4
2. -6 - 5 = -11
3. -9 - (-12) = -9 +",NO
77,LOW,0.8561,OpenProblemLibrary/CollegeOfIdaho/setStatistics_Ch09Experiments/09Stats_02_Experiments.pg,0,FAILED,,"Okay, let's tackle this problem step by step. First, I need to understand each part (a), (b), and (c",
78,PARAM,0.7640,OpenProblemLibrary/CSUN/Calculus/Lines_planes_1.pg,4,PARAMETERIZED,Compute(12 - 5*$a)->cmp,"We need to find the plane passing through points (2,2,1) and (9,3,6) and perpendicular to the plane ",NO
79,MED,0.8583,OpenProblemLibrary/NewHampshire/unh_schoolib/Fractions/frasrm102.pg,1,OK,"Compute(""1 1/8"")->cmp()","3 + 4/7 = 21/7 + 4/7 = 25/7
</think>

\boxed{\dfrac{25}{7}}",NO
80,LOW,0.7669,Contrib/PCC/BasicAlgebra/RadicalsAndRationalExponents/RationalizeDenominator130.pg,0,FAILED,,"Simplify the denominator first.

√108 = √(36·3) = 6√3  
2√12 = 2·2√3 = 4√3  
2√27 = 2·3√3 = 6√3  

D",
81,PARAM,0.8883,Contrib/Piedmont/StevensStatistics/2-DescriptiveStatistics/2.5.19.pg,1,PARAMETERIZED,$test_score->cmp,"Okay, let's see. I need to find the average test score for all sections combined. Hmm, so first, I r",NO
82,PARAM,0.9340,OpenProblemLibrary/Piedmont/StevensStatistics/9-HypothesisTestingTwoSamples/9.2.7.pg,3,PARAMETERIZED,$t->cmp,"Okay, let's tackle this problem step by step. First, I need to remember what kind of test we're doin",NO
83,PARAM,0.7051,OpenProblemLibrary/Rochester/setLinearAlgebra13ComplexEigenvalues/ur_la_13_7.pg,1,PARAMETERIZED,$ans->cmp,"This is a complex or challenging question, and it is difficult to provide a direct and correct answe",NO
84,PARAM,0.8193,Contrib/Mizzou/College_Algebra/NPL_Files/Real_Numbers/Simplifying_Expressions/12IntAlg_09_OperationsWithReals.pg,2,PARAMETERIZED,$ans_a->cmp,"4 - 8 = -4
8 - 3 = 5
3 - 14 = -11
</think>

\boxed{-4,5,-11}",NO
85,PARAM,0.7607,OpenProblemLibrary/Rochester/setProbability3Events/ur_pb_3_15.pg,1,PARAMETERIZED,num_cmp($ans),"By the pigeonhole principle, with 1000 people and at most 366 possible birthdays, at least ⌈1000/366",NO
86,PARAM,0.6402,Contrib/Mizzou/Algebra/linear_functions_apps/cost_function__01.pg,2,PARAMETERIZED,Compute($eqn)->cmp(),"Total paid: $547 = 35 + 32m$

$32m = 512$

$m = 16$
</think>

\boxed{16}",NO
87,PARAM,0.8829,OpenProblemLibrary/Rochester/setStatistics1Data/ur_stt_1_3.pg,3,PARAMETERIZED,str_cmp($sans[0]),(a) Classifying stages of language development — researchers observe and categorize without interven,NO
88,PARAM,0.7701,OpenProblemLibrary/ASU-topics/setDiscrete/katie3-4.1.pg,1,PARAMETERIZED,str_cmp( $tf -> ra_correct_ans ),"I need to find a(n) for n = 83 through 92.

The problem describes decomposing n·(x + x² + ... + x^q)",NO
89,PARAM,0.7976,OpenProblemLibrary/ASU-topics/setLinearModels/p5.pg,1,PARAMETERIZED,"num_cmp($ans1, tolType=> 'absolute', tol=>0.501)","We need to find when total losses reach $36,300.

Starting loss: $20,000  
Additional loss per month",NO
90,PARAM,0.9366,OpenProblemLibrary/Rochester/setAlgebra36SeqSeries/ur_sq_4_6.pg,1,PARAMETERIZED,"fun_cmp($ans, vars=>""n"")","Okay, let's see. I need to find the nth term of an arithmetic sequence. The problem says the initial",NO
91,PARAM,0.7803,OpenProblemLibrary/ASU-topics/setDiscrete/katie3-4.1.pg,1,PARAMETERIZED,str_cmp( $tf -> ra_correct_ans ),"Okay, let's try to figure out this problem. So, the question is about an algorithm where a(n) are nu",NO
92,PARAM,0.7781,OpenProblemLibrary/UMN/calculusStewartCCC/s_5_3_28.pg,1,PARAMETERIZED,$ans->cmp(),"Expand $\frac{1}{1+x^n} = \sum_{k=0}^{\infty} (-1)^k x^{kn}$ for $|x| < 1$ (valid on $[0,1)$).

Then",NO
93,PARAM,0.7768,OpenProblemLibrary/WHFreeman/Rogawski_Calculus_Early_Transcendentals_Second_Edition/13_Calculus_of_Vector-Valued_Functions/13.3_Arc_Length_and_Speed/13.3.14.pg,3,PARAMETERIZED,Real($x0)->cmp,"This is a complex or challenging question, and it is difficult to provide a direct and correct answe",NO
94,PARAM,0.7472,OpenProblemLibrary/WHFreeman/Rogawski_Calculus_Early_Transcendentals_Second_Edition/6_Applications_of_the_Integral/6.1_Area_Between_Two_Curves/6.1.37.pg,1,PARAMETERIZED,num_cmp($area),"The curve is x = 1 - y², x = 0.

From x = 1 - y², we get y² = 1 - x, so y = ±√(1-x).

The parabola x",NO
95,PARAM,0.7583,OpenProblemLibrary/UMN/calculusStewartET/s_12_1_prob03.pg,4,PARAMETERIZED,($ans1)->cmp(),"This is a complex or challenging question, and it is difficult to provide a direct and correct answe",NO
96,LOW,0.7542,Contrib/PCC/BasicMath/Percent/MTH20PercentIncreaseDecrease80.pg,0,FAILED,,"Okay, let's try to figure out this percentage increase problem. First, I need to remember how percen",
97,PARAM,0.9117,OpenProblemLibrary/ASU-topics/setCalc2/tracogna32.pg,3,PARAMETERIZED,num_cmp($ans1),"Okay, let's see. I need to find the Cartesian coordinates of the center and the radius of the circle",NO
98,PARAM,0.7597,OpenProblemLibrary/UMN/algebraKaufmannSchwitters/ks_15_3_prob03.pg,4,PARAMETERIZED,($ans1)->cmp(),We have 52 cards numbered 0 to 51 (positions). The shuffle splits into two halves: top half (cards 0,NO
99,PARAM,0.8097,Contrib/Utah/Intermediate_Algebra/1.3/pr8.pg,4,PARAMETERIZED,"Compute(""$a- $b*($c- $d)"")->cmp","Evaluate each expression:

1. $-|3-9| = -|{-6}| = -6$

2. $|-3-9| = |-12| = 12$

3. $-1|9-3| = -1|6|",NO
100,PARAM,0.9823,OpenProblemLibrary/UMN/algebraKaufmannSchwitters/ks_2_3_prob01.pg,1,PARAMETERIZED,$ans->cmp,"Okay, let's try to figure out this problem step by step. So, the jeweler has five rings, each weighi",NO
101,PARAM,0.9336,OpenProblemLibrary/ASU-topics/setStat/di14.pg,4,PARAMETERIZED,radio_cmp($smc[0]->correct_ans),"The hypothesis test has:
- H₀: Ohio mean ≤ national mean
- H₁: Ohio mean > national mean

**a.** Rea",NO
102,LOW,0.7007,OpenProblemLibrary/UCSB/Stewart5_8_2/Stewart5_8_2_38.pg,1,OK,"fun_cmp(""S+2*pi*c*L"", var=>[""S"",""c"",""L""], limits=>[[1,10],[1,10],[1,10]])","Okay, let's try to figure out this problem. The question is about the maximum genus of a smooth, irr",NO
103,PARAM,0.9565,OpenProblemLibrary/Rochester/setVectors0Introduction/ur_vc_0_2.pg,1,PARAMETERIZED,num_cmp($ans),"Okay, let's try to figure out this problem. So, the question is: If the distance from Bree to Weathe",NO
104,PARAM,0.9123,OpenProblemLibrary/LoyolaChicago/Precalc/Chap6Review/Q17.pg,2,PARAMETERIZED,"num_cmp( $s, tol=>'0.0006')","Okay, let's see. I need to find the arc length corresponding to a 31-degree angle on a circle with r",NO
105,PARAM,0.9598,OpenProblemLibrary/UVA-Stat/setStat212-Homework02/stat212-HW02-12.pg,2,PARAMETERIZED,num_cmp($range),"Okay, let's see. I need to find the range and standard deviation for this sample of weights. First, ",NO
106,LOW,0.7329,OpenProblemLibrary/Rochester/setAlgebra09LinearEqnsModeling/srw1_6_20.pg,0,FAILED,,"Okay, let's try to figure out this problem step by step. So, the question is: After robbing a bank i",
107,PARAM,0.7420,Contrib/Keele/College_Physics_Wolfe/27.Wave_Optics/27-08.Polarization/NU_U17-27-08-009.pg,1,PARAMETERIZED,$brewster->cmp,"Find point B on line x + y = 0 (so B = (t, -t)) such that A(2,3), B, and the reflection of one point",NO
108,PARAM,0.8095,OpenProblemLibrary/LoyolaChicago/Precalc/Chap6Sec2/Q27.pg,4,PARAMETERIZED,"Real(""$ans1"")->cmp()","Okay, let's tackle part (a) first. The problem says: If cos²36° - sin²36° = cos A°, then find A. Hmm",NO
109,PARAM,0.8126,OpenProblemLibrary/METU-NCC/Linear_Algebra/3x3-eigenval_3.pg,1,PARAMETERIZED,$multians1->cmp(),"Characteristic equation: det(A - λI) = 0

(3-λ)² - 1 = 0
(3-λ-1)(3-λ+1) = 0
(2-λ)(4-λ) = 0

Eigenval",NO
110,PARAM,0.9717,OpenProblemLibrary/LoyolaChicago/Precalc/Chap2Sec1/Q20.pg,3,PARAMETERIZED,radio_cmp($mc->correct_ans),"Okay, let's tackle part (a) first. The question is: Is F a function of t? 

From what I remember, a ",NO
