item_id,qtype,tier_v1,tier_v2,tier_changed,tier_direction,old_teacher_agree,new_teacher_agree,raw_teacher_consensus,norm_teacher_consensus,raw_independent_answer,norm_independent_answer,indep_source,indep_vs_teacher,gold_conflict_flag,gold_best_answer_norm,gold_best_answer_raw,gold_source,n_ans_slots,wolfram_answer,wolfram_confidence,search_answer,search_gold,question_preview
61,free_multi,T3,T4,True,demoted,2,3,"0.76c,0,150,0.69c+10.5,150","0.76c,0,150,0.69c+10.5,150",0.76c if 0≤c≤150; 10.5+0.69c if c>150,0.76cif0≤c≤150;10.5+0.69cifc>150,search_GOLD,disagree,True,,,conflict,5,,,0.76c if 0≤c≤150; 10.5+0.69c if c>150,True,"A local pet shop charges \$0.76 per cricket up to 150 crickets, and \$0.69 per c"
62,free_multi,T1,T2,True,demoted,3,3,"-15,192,0","-15,192,0",,,,,False,"-15,192,0","-15,192,0",teacher_3of3,3,,,,False,Multiply the following integers. ${(-1)\cdot(-5)\cdot(-3)=}$ [ANS] ${6\cdot(-8)\
63,free_multi,T4,T3,True,promoted,1,2,"18.96, 15.84","18.96,15.84",,,,,False,"18.96,15.84","18.96, 15.84",teacher_2of3,2,,,,False,The following data were drawn from a normal population. Find a 92.4\% confidence
64,free_single,T3,T3,False,unchanged,1,2,P(t) = 850 - 350\cos\!(\frac{\pi}{6}t),P(t)=850-350\cos(\frac{\pi}{6}t),,,,,False,P(t)=850-350\cos(\frac{\pi}{6}t),P(t) = 850 - 350\cos\!(\frac{\pi}{6}t),teacher_2of3,1,,,,False,A population of animals oscillates sinusoidally between a low of 500 on January 
65,free_multi,T1,T2,True,demoted,3,3,"-\frac{6}{7},\frac{2}{7}","-\frac{6}{7},\frac{2}{7}",,,,,False,"-\frac{6}{7},\frac{2}{7}","-\frac{6}{7},\frac{2}{7}",teacher_3of3,2,,,,False,"Multiply: (Note: If necessary, use fractions not decimals.) a) $\frac{3}{7}(-2)="
66,free_single,T3,T4,True,demoted,1,1,,,,,,,False,,,none,1,,,,False,A pilot flies in a straight path for 1 hour and 30 min. She then makes a course 
67,free_multi,T3,T3,False,unchanged,1,1,,,"7.6(1.09)^t, 13.9, 5.4","7.6(1.09)^t,13.9,5.4",wolfram_HIGH,,False,"7.6(1.09)^t,13.9,5.4","7.6(1.09)^t, 13.9, 5.4",wolfram_HIGH,3,"7.6(1.09)^t, 13.9, 5.4",HIGH,,False,"In the year 2004, a total of 7.6 million passengers took a cruise vacation. The "
68,free_multi,T3,T3,False,unchanged,1,1,,,"-2.857, 6.986, -1.082, 3.707, -3.707, A, -12.647, 6.933","-2.857,6.986,-1.082,3.707,-3.707,A,-12.647,6.933",wolfram_HIGH,,False,"-2.857,6.986,-1.082,3.707,-3.707,A,-12.647,6.933","-2.857, 6.986, -1.082, 3.707, -3.707, A, -12.647, 6.933",wolfram_HIGH,8,"-2.857, 6.986, -1.082, 3.707, -3.707, A, -12.647, 6.933",HIGH,,False,Suppose you want to test the claim the paired sample data given below come from 
69,MCQ,T3,T3,False,unchanged,2,2,G,G,,,,,False,G,G,teacher_2of3,0,,,,False,"The function $f(x)=\frac{x \sin^2 x}{1+\sin x}$, then the integral $\int_0^{\pi}"
70,free_single,T1,T2,True,demoted,3,3,\frac{5}{56},\frac{5}{56},,,,,False,\frac{5}{56},\frac{5}{56},teacher_3of3,1,,,,False,"A school just won a grant, and decided to spend ${{\textstyle\frac{5}{8}}}$ of t"
71,free_multi,T2,T2,False,unchanged,2,3,"29/25,18","29/25,18",,,,,False,"29/25,18","29/25,18",teacher_3of3,2,,,,False,You are working on a new temperature scale that will unify the earth. After some
72,free_multi,T3,T3,False,unchanged,1,1,,,"-0.8352, -0.9187, 0.3950, -2.3258, Quadrant IV","-0.8352,-0.9187,0.3950,-2.3258,QuadrantIV",wolfram_HIGH,,False,"-0.8352,-0.9187,0.3950,-2.3258,QuadrantIV","-0.8352, -0.9187, 0.3950, -2.3258, Quadrant IV",wolfram_HIGH,5,"-0.8352, -0.9187, 0.3950, -2.3258, Quadrant IV",HIGH,,False,"If $\sin(A)=0.55$ and $\cos(A) < 0$, determine: $\cos(A)=$ [ANS] $\sin(2A)=$ [AN"
73,MCQ,T2,T2,False,unchanged,3,3,E,E,,,,,False,E,E,teacher_3of3,0,,,,False,"Given $X \sim N(0, 1), Y \sim N(0, 1)$ and they are independent. Let $U = X^{2} "
74,free_single,T3,T4,True,demoted,1,1,,,,,,,False,,,none,1,,,,False,"To test the efficacy of a new cholesterol-lowering medication, 10 people are sel"
75,free_single,T2,T1,True,promoted,2,3,x > 21250,x>21250,x > 21250,x>21250,search_GOLD,agree,False,x>21250,x > 21250,search_GOLD,1,,,x > 21250,True,Mike can be paid in one of two ways based on the amount of merchandise he sells:
76,free_multi,T1,T2,True,demoted,3,3,"-4,-11,3,33,-32,9,-14,-13","-4,-11,3,33,-32,9,-14,-13",,,,,False,"-4,-11,3,33,-32,9,-14,-13","-4,-11,3,33,-32,9,-14,-13",teacher_3of3,8,,,,False,6-10=[ANS].-6-5=[ANS].-9-(-12)=[ANS]. 20-(-13)=[ANS].-18-14=[ANS].-18-(-27)=[ANS
77,free_multi,T3,T3,False,unchanged,2,2,"C,D,A","C,D,A",,,,,False,"C,D,A","C,D,A",teacher_2of3,3,,,,False,A study of human development showed two types of movies to a group of children. 
78,MCQ,T1,T2,True,demoted,3,3,A,A,,,,,False,A,A,teacher_3of3,0,,,,False,"If distance of the origin from the plane passing through the point $(2,2,1)$ and"
79,free_single,T1,T2,True,demoted,3,3,\frac{25}{7},\frac{25}{7},,,,,False,\frac{25}{7},\frac{25}{7},teacher_3of3,1,,,,False,"Add these together: ${3+\frac{4}{7}}$ When needed, use an improper fraction in y"
80,MCQ,T2,T2,False,unchanged,3,3,G,G,,,,,False,G,G,teacher_3of3,0,,,,False,Simplify the fraction by rationalizing the denominator: $$\frac{4}{\sqrt{108}+2\
81,free_single,T2,T2,False,unchanged,2,2,79.41,79.41,79.41,79.41,search_GOLD,agree,False,79.41,79.41,search_GOLD,1,,,79.41,True,Suppose there are three sections of a Statistics course taught by the same instr
82,free_multi,T3,T4,True,demoted,1,1,,,,,,,False,,,none,4,,,,False,"There are several sections of statistics, some in the morning (AM) and some in t"
83,free_single,T3,T4,True,demoted,1,1,,,,,,,False,,,none,0,,,,False,"Let $n > 1$ be an integer. In a configuration of an $n \times n$ board, each of "
84,free_multi,T1,T2,True,demoted,3,3,"-4,5,-11","-4,5,-11",,,,,False,"-4,5,-11","-4,5,-11",teacher_3of3,3,,,,False,Subtract the following integers: ${4-8=}$ [ANS] ${8-3=}$ [ANS] ${3-14=}$ [ANS]
85,MCQ,T2,T2,False,unchanged,3,3,F,F,,,,,False,F,F,teacher_3of3,0,,,,False,"In a group of 1000 people, at least how many people have to share the same birth"
86,free_single,T1,T2,True,demoted,3,3,16,16,,,,,False,16,16,teacher_3of3,1,,,,False,"A gym charges members ${\$35}$ for a registration fee, and then ${\$32}$ per mon"
87,free_multi,T1,T2,True,demoted,3,3,"OBSERVATION,OBSERVATION,EXPERIMENT","OBSERVATION,OBSERVATION,EXPERIMENT",,,,,False,"OBSERVATION,OBSERVATION,EXPERIMENT","OBSERVATION,OBSERVATION,EXPERIMENT",teacher_3of3,3,,,,False,Determine whether the follow descriptions correspond to an observational study o
88,MCQ,T3,T3,False,unchanged,2,2,C,C,,,,,False,C,C,teacher_2of3,0,,,,False,We now define an algorithm: The definition of a(n) is the number of possible dec
89,free_single,T2,T2,False,unchanged,2,2,\frac{326}{7},\frac{326}{7},\frac{326}{7},\frac{326}{7},wolfram_HIGH,agree,False,\frac{326}{7},\frac{326}{7},wolfram_HIGH,1,\frac{326}{7},HIGH,,False,"Initially, you have lost 20,000 dollars in the stock market and you continue to "
90,free_single,T1,T2,True,demoted,3,3,7n+1,7n+1,,,,,False,7n+1,7n+1,teacher_3of3,1,,,,False,Find the nth term of the arithmetic sequence whose initial term is $8$ and commo
91,MCQ,T2,T2,False,unchanged,2,2,J,J,J,J,search_GOLD,agree,False,J,J,teacher_2of3,0,,,J,True,We now define an algorithm: The definition of a(n) is numbers n such that there 
92,MCQ,T2,T2,False,unchanged,3,3,E,E,,,,,False,E,E,teacher_3of3,0,,,,False,Find the value of the integral $$ I=\! \int_{0}^{1} \frac{x^{m-1}} {1+x^{n}} \ma
93,free_single,T3,T4,True,demoted,1,1,,,,,,,False,,,none,0,,,,False,Consider a bee (denoted by X ) in a rectangular honeycomb as seen below:  |  | $
94,MCQ,T1,T2,True,demoted,3,3,C,C,,,,,False,C,C,teacher_3of3,0,,,,False,The option that represents the area of the plane figure enclosed by ( x = 1 - {y
95,free_single,T3,T4,True,demoted,1,1,,,,,,,False,,,none,0,,,,False,Let $\triangle A B C$ be an isosceles triangle with $A B=A C$. Let $D$ be a poin
96,free_single,T1,T2,True,demoted,3,3,158\%,158,,,,,False,158,158\%,teacher_3of3,1,,,,False,"A baby was born $2$ years ago. In these $2$ years, the baby grew $13.6$ pounds. "
97,free_multi,T2,T1,True,promoted,3,3,"0,4,4","0,4,4","x=0, y=4, r=4","x=0,y=4,r=4",search_GOLD,agree,False,"x=0,y=4,r=4","x=0, y=4, r=4",search_GOLD,3,,,"x=0, y=4, r=4",True,The equation $r=8 \sin \theta$ represents a circle. Find the cartesian coordinat
98,MCQ,T1,T2,True,demoted,3,3,A,A,,,,,False,A,A,teacher_3of3,0,,,,False,"A deck of playing cards has 52 cards, and each shuffle changes the order of the "
99,free_multi,T1,T2,True,demoted,3,3,"-6,12,-6","-6,12,-6",,,,,False,"-6,12,-6","-6,12,-6",teacher_3of3,3,,,,False,Evaluate the following expressions which involve the absolute value: ${-\lvert 3
100,free_single,T1,T1,False,unchanged,3,3,\frac{180}{7},\frac{180}{7},\frac{180}{7},\frac{180}{7},wolfram_HIGH,agree,False,\frac{180}{7},\frac{180}{7},wolfram_HIGH,1,\frac{180}{7},HIGH,,False,"A jeweler has five rings, each weighing $18$ grams, made of an alloy of $10$ \% "
101,free_multi,T1,T2,True,demoted,3,3,"C,C,A,C","C,C,A,C",,,,,False,"C,C,A,C","C,C,A,C",teacher_3of3,4,,,,False,Consider a hypothesis test to decide whether the mean cost to community hospital
102,MCQ,T1,T2,True,demoted,3,3,I,I,,,,,False,I,I,teacher_3of3,0,,,,False,"Let $C \subset\mathbb{P}^{3}$ be a smooth, irreducible, nondegenerate curve of d"
103,free_single,T2,T1,True,promoted,2,3,8\sqrt{2},8\sqrt{2},8\sqrt{2},8\sqrt{2},wolfram_HIGH,agree,False,8\sqrt{2},8\sqrt{2},wolfram_HIGH,1,8\sqrt{2},HIGH,,False,If the distance from the town of Bree to Weathertop is 16 miles on a 45 degree u
104,free_single,T2,T2,False,unchanged,2,2,\frac{2387\pi}{1800},\frac{2387\pi}{1800},7.7*31*pi/180,7.7*31*pi/180,search_GOLD,agree,False,7.7*31*pi/180,7.7*31*pi/180,search_GOLD,1,,,7.7*31*pi/180,True,Find the arc length corresponding to the given angle (in degrees) on a circle of
105,free_multi,T2,T2,False,unchanged,2,3,"24, 9.11","24,9.11",,,,,False,"24,9.11","24, 9.11",teacher_3of3,2,,,,False,A sample of weights (in pounds) for six 12-year-olds is given below: 93 \quad 84
106,free_single,T1,T1,False,unchanged,3,3,\frac{13}{6},\frac{13}{6},\frac{13}{6},\frac{13}{6},wolfram_HIGH,agree,False,\frac{13}{6},\frac{13}{6},wolfram_HIGH,1,\frac{13}{6},HIGH,,False,"After robbing a bank in Dodge City, a robber gallops off at 13 mi/h. 30 minutes "
107,MCQ,T2,T2,False,unchanged,3,3,J,J,,,,,False,J,J,teacher_3of3,0,,,,False,"A ray of light passing through the point $A\left( 2,3 \right)$ reflected at a po"
108,free_multi,T3,T4,True,demoted,2,3,"72, 12x","72,12x","A=72, B=12x","A=72,B=12x",search_GOLD,disagree,True,,,conflict,2,,,"A=72, B=12x",True,Using a double-angle or half-angle formula to simplify the given expressions. (a
109,MCQ,T2,T2,False,unchanged,3,3,B,B,,,,,False,B,B,teacher_3of3,0,,,,False,Find theeigenvaluesof matrices (a)\vert31\vert \vert13\vert (b)\vert221\vert \ve
110,free_multi,T3,T3,False,unchanged,2,2,"3,9","3,9",,,,,False,"3,9","3,9",teacher_2of3,2,,,,False,A national park records data regarding the total fox population $F$ over a 12 mo
111,free_single,T2,T1,True,promoted,2,3,8x^3,8x^3,8x^3,8x^3,search_GOLD,agree,False,8x^3,8x^3,search_GOLD,1,,,8x^3,True,Simplify the following expression as much as possible. Assume that all variables
112,free_single,T3,T4,True,demoted,1,1,,,,,,,False,,,none,0,,,,False,The intersection between a plane and a cube is a convex pentagon $ABCDE$ satisfy
113,free_single,T2,T3,True,demoted,2,2,\frac{25-2(x+4)^2}{25},\frac{25-2(x+4)^2}{25},,,,,False,\frac{25-2(x+4)^2}{25},\frac{25-2(x+4)^2}{25},teacher_2of3,1,,,,False,If $x+4=5 \sin(\theta)$ for $0 < \theta < \pi/2$ express $\cos(2\theta)$ in term
114,MCQ,T1,T2,True,demoted,3,3,D,D,,,,,False,D,D,teacher_3of3,0,,,,False,"Given $k$ as an integer and $a \ne \pi \cdot k$, evaluate $P=\cos(a) \cdot \cos("
115,free_multi,T3,T3,False,unchanged,2,2,"11x-1200,11,109,(y+1200)/11,1958","11x-1200,11,109,(y+1200)/11,1958",,,,,False,"11x-1200,11,109,(y+1200)/11,1958","11x-1200,11,109,(y+1200)/11,1958",teacher_2of3,5,,,,False,A theater manager graphed weekly profits as a function of the number of patrons 
116,free_multi,T1,T2,True,demoted,3,3,"30,6","30,6",,,,,False,"30,6","30,6",teacher_3of3,2,,,,False,Justin's boat travels 144 km downstream in 4 hours and it travels 168 km upstrea
