item_id,qtype,tier,gold_source,gold_best_answer,teacher_agree_3t,teacher_consensus,wolfram_answer,wolfram_confidence,search_answer,search_gold,indep_source,indep_vs_teacher,gold_conflict_flag,n_ans_slots,question_preview
21,free_single,T3,search_GOLD,"L(t)=0.2915t+56.9333, 67.43",1,,,,"L(t)=0.2915t+56.9333, 67.43",True,search_GOLD,,False,2,"The average life expectancy in the United States, $L$, has been rising steadily "
22,MCQ,T3,teacher_2of3,G,2,G,,,,False,,,False,0,"Let $P$ be a polyhedron with $37$ faces, all of which are equilateral triangles,"
23,MCQ,T2,teacher_3of3,H,3,H,,,H (10km),True,search_GOLD,review,False,0,The distance between points $A$ and $B$ is 5 km. Person A walks from $A$ towards
24,free_single,T1,search_GOLD,1,3,1,,,1,True,search_GOLD,agree,False,1,"Suppose that the line $\hat{y}=3+2x$ is fitted to the data points (-1,2), (2,7),"
25,free_single,T2,search_GOLD,"8/63, 6/63, 11/63, 17/63, 13/63, 8/63",2,"\frac{8}{63},\frac{2}{21},\frac{11}{63},\frac{17}{63},\frac{13}{63},\frac{8}{63},8,14,25,42,55,63",,,"8/63, 6/63, 11/63, 17/63, 13/63, 8/63",True,search_GOLD,agree,False,12,$\begin{array}{cc}\hline Grade on Statistics Exam & Frequency \\ \hline Below 50
26,MCQ,T3,teacher_2of3,I,2,I,,,232,True,search_GOLD,review,False,0,"If $abc-ab-bc-ca+a+b+c=2008$ for positive integers $a$ , $b$ , and $c$ , then de"
27,free_single,T3,search_GOLD,"1/3, 2/3, 7/6, 11/6",1,,,,"1/3, 2/3, 7/6, 11/6",True,search_GOLD,,False,2,"Solve the following equations in the interval [0,2 $\pi$]. Note: Give the answer"
28,free_single,T1,search_GOLD,"2, 70, 1, 768, 2, 140",3,"2,70,1,768,2,140",,,"2, 70, 1, 768, 2, 140",True,search_GOLD,agree,False,6,a) In a dictionary 16 pages are 1 millimeter thick. To find the thickness of 112
29,free_single,T1,search_GOLD,38.2\%,3,38.2\%,,,38.2\%,True,search_GOLD,agree,False,1,"A mixture of 60 liters of paint is 25\% red tint, 30\% yellow tint and 45\% wate"
30,free_single,T2,search_GOLD,"2944, 664",2,"2944,664",,,"2944, 664",True,search_GOLD,agree,False,2,"College officials want to estimate the percentage of students who carry a gun, k"
31,free_single,T1,search_GOLD,"-3, 42",3,"-3,42",,,"-3, 42",True,search_GOLD,agree,False,2,"Divide or state that the division is undefined. (In this case, enter undefined.)"
32,free_single,T2,search_GOLD,"\sqrt{101}, -1, -7/2",2,"\sqrt{101},-1,-\frac{7}{2}",,,"\sqrt{101}, -1, -7/2",True,search_GOLD,agree,False,3,"The distance between $(4,-3)$ and $(-6,-4)$ is [ANS] The midpoint of the line se"
33,MCQ,T3,teacher_2of3,F,2,F,,,28,True,search_GOLD,review,False,0,"A rectangle, $HOMF$, has sides $HO=11$ and $OM=5$. A triangle $ABC$ has $H$ as t"
34,MCQ,T2,teacher_3of3,J,3,J,,,20 is an outlier.,True,search_GOLD,review,False,0,"Given the following values for a variable: minimum value is 3, first quartile (Q"
35,free_single,T3,search_GOLD,"downward, \ln p",1,,,,"downward, \ln p",True,search_GOLD,,False,2,Applying a horizontal stretch by a factor of $p$ (where $p$ is a constant such t
36,free_single,T2,search_GOLD,40x^{10}y^9,2,40x^{10}y^{9},,,40x^{10}y^9,True,search_GOLD,agree,False,1,Multiply using the product rule: $(-8x^{5} y^{6})(-5x^{5} y^{3})$=[ANS]
37,free_single,T4,none,,1,,,,,False,,,False,3,"Chucky takes his first step on January 1, 2000. Every day after that, he takes 3"
38,MCQ,T1,teacher_3of3,B,3,B,,,B,True,search_GOLD,agree,False,0,Calculate the following products: $$ \int_{C} \frac{d z} {( z-1 )^{2} ( z^{2}+1 
39,free_single,T1,search_GOLD,475,3,475,,,475,True,search_GOLD,agree,False,1,One piece of paper is approximately $17$ millimeters in thickness. A stack of pa
40,free_single,T2,wolfram_HIGH,D = 800 - 50d,2,D = 800 - 50d,D = 800 - 50d,HIGH,D=800-50d,True,wolfram_HIGH,agree,False,1,A homing pigeon starts 800 miles from home and flies 50 miles toward home each d
41,free_single,T4,wolfram_HIGH,2112,2,4048,2112,HIGH,3986,True,wolfram_HIGH,disagree,True,0,Consider a $2025 \times 2025$ grid of unit squares. Matilda wishes to place on t
42,free_single,T2,search_GOLD,"No, Yes",2,"No,Yes,A",,,"No, Yes",True,search_GOLD,agree,False,3,Lindsey thinks a certain potato chip maker is putting fewer chips in their regul
43,free_single,T3,search_GOLD,"\frac{3}{8}, 14, 28",1,,,,"\frac{3}{8}, 14, 28",True,search_GOLD,,False,3,Use half angle formulas to fill in the blanks in the identity below: $(\sin(7x))
44,free_single,T2,search_GOLD,"True, True, True, False",2,"True,True,True,False",,,"True, True, True, False",True,search_GOLD,agree,False,4,"Select True or False, depending on whether the corresponding statement is true o"
45,MCQ,T4,teacher_2of3,A,2,A,,,F,True,search_GOLD,disagree,True,0,We now define an algorithm: The definition of a(n) is the sequence where a(n) re
46,free_single,T3,search_GOLD,"1.645, 1.72, 1.96, -1.96, 1.72, B, A",1,,,,"1.645, 1.72, 1.96, -1.96, 1.72, B, A",True,search_GOLD,,False,7,A random sample of $100$ observations from a population with standard deviation 
47,MCQ,T2,teacher_3of3,F,3,F,,,"1,2,4",True,search_GOLD,review,False,0,Find all natural numbers that satisfy $3^{m}-1$ being divisible by $2^{m}$.
48,free_single,T1,search_GOLD,C,3,C,,,C,True,search_GOLD,agree,False,1,Rewrite the exponential equation $e^{-2} \approx 0.135$ in equivalent logarithmi
49,free_single,T2,search_GOLD,0.0143,2,0.0143,,,0.0143,True,search_GOLD,agree,False,1,Assume you are using a significance level of $\alpha=0.05$ to test the claim tha
50,free_single,T3,search_GOLD,"140A+150B=5930, 3A+4B=142",1,,,,"140A+150B=5930, 3A+4B=142",True,search_GOLD,,False,2,An apple contains 140 calories and 3 g of fiber. A banana contains 150 calories 
51,free_single,T3,search_GOLD,25452_8,1,,,,25452_8,True,search_GOLD,,False,1,"Using the multiplication table, compute $651 _{8} \times 32 _{8}$ $\begin{array}"
52,free_single,T1,search_GOLD,"231, 385",3,"231,385",,,"231, 385",True,search_GOLD,agree,False,2,You work in a lab. One day you need 616 oz of a chemical solution consisting of 
53,MCQ,T2,teacher_3of3,F,3,F,,,F (2.03),True,search_GOLD,review,False,0,A bird is lost in a 3 by 3 by 3 cubical maze. The bird flies from room to room g
54,free_single,T4,search_GOLD,2,2,1,,,2,True,search_GOLD,disagree,True,0,"Let $P$ be a polygon formed by the edges of an infinite chessboard, which does n"
55,free_single,T3,search_GOLD,y = 5x^4,1,,,,y = 5x^4,True,search_GOLD,,False,1,Write an equation for $y$ in terms of $x$ if $y$ is proportional to the fourth p
56,free_single,T2,search_GOLD,B,3,"D,D,A",,,B,True,search_GOLD,review,False,3,"For each problem, select the best response. (a) Can one predict a student's scor"
57,free_single,T1,search_GOLD,4,3,4,,,4,True,search_GOLD,agree,False,1,"A rectangular plot, 19 ft by 18 ft, is to be used for a garden. It is decided to"
58,free_single,T2,search_GOLD,31,2,31,,,31,True,search_GOLD,agree,False,0,Let $\mathbb{Z}_{>0}$ denote the set of positive integers. Let $f : \mathbb{Z}_{
59,free_single,T1,search_GOLD,49,3,49,,,49,True,search_GOLD,agree,False,1,Evaluate the numerical expression $343^\frac{2}{3}.$ Answer: [ANS] Note: You can
60,free_single,T2,search_GOLD,B,3,"C,A",,,B,True,search_GOLD,review,False,2,Suppose we were comparing the mean age of buyers of new domestic cars to the mea
61,free_single,T3,search_GOLD,0.76c if 0≤c≤150; 10.5+0.69c if c>150,2,"0.76c,0,150,0.69c+10.5,150",,,0.76c if 0≤c≤150; 10.5+0.69c if c>150,True,search_GOLD,review,False,5,"A local pet shop charges \$0.76 per cricket up to 150 crickets, and \$0.69 per c"
62,free_single,T1,search_GOLD,"-15, 192, 0",3,"-15,192,0",,,"-15, 192, 0",True,search_GOLD,agree,False,3,Multiply the following integers. ${(-1)\cdot(-5)\cdot(-3)=}$ [ANS] ${6\cdot(-8)\
63,free_single,T4,none,,1,,,,,False,,,False,2,The following data were drawn from a normal population. Find a 92.4\% confidence
64,free_single,T3,search_GOLD,P(t)=850-350\cos(\pi t/6),1,,,,P(t)=850-350\cos(\pi t/6),True,search_GOLD,,False,1,A population of animals oscillates sinusoidally between a low of 500 on January 
65,free_single,T1,search_GOLD,"-6/7, 2/7",3,"-\frac{6}{7},\frac{2}{7}",,,"-6/7, 2/7",True,search_GOLD,agree,False,2,"Multiply: (Note: If necessary, use fractions not decimals.) a) $\frac{3}{7}(-2)="
66,free_single,T3,search_GOLD,2354,1,,,,2354,True,search_GOLD,,False,1,A pilot flies in a straight path for 1 hour and 30 min. She then makes a course 
67,free_single,T3,wolfram_HIGH,"7.6(1.09)^t, 13.9, 5.4",1,,"7.6(1.09)^t, 13.9, 5.4",HIGH,"7.6(1.09)^t, 13.89, 5.38",True,wolfram_HIGH,,False,3,"In the year 2004, a total of 7.6 million passengers took a cruise vacation. The "
68,free_single,T3,wolfram_HIGH,"-2.857, 6.986, -1.082, 3.707, -3.707, A, -12.647, 6.933",1,,"-2.857, 6.986, -1.082, 3.707, -3.707, A, -12.647, 6.933",HIGH,"-2.857, 6.986, -1.082, 3.707, -3.707, A, -12.646, 6.932",True,wolfram_HIGH,,False,8,Suppose you want to test the claim the paired sample data given below come from 
69,MCQ,T3,teacher_2of3,G,2,G,,,(4*pi-pi^2)/2,True,search_GOLD,review,False,0,"The function $f(x)=\frac{x \sin^2 x}{1+\sin x}$, then the integral $\int_0^{\pi}"
70,free_single,T1,search_GOLD,\frac{5}{56},3,\frac{5}{56},,,\frac{5}{56},True,search_GOLD,agree,False,1,"A school just won a grant, and decided to spend ${{\textstyle\frac{5}{8}}}$ of t"
71,free_single,T2,search_GOLD,"29/25, 18",2,"29/25,18",,,"29/25, 18",True,search_GOLD,agree,False,2,You are working on a new temperature scale that will unify the earth. After some
72,free_single,T3,wolfram_HIGH,"-0.8352, -0.9187, 0.3950, -2.3258, Quadrant IV",1,,"-0.8352, -0.9187, 0.3950, -2.3258, Quadrant IV",HIGH,"-0.8352, -0.9187, 0.3950, -2.3257, Quadrant IV",True,wolfram_HIGH,,False,5,"If $\sin(A)=0.55$ and $\cos(A) < 0$, determine: $\cos(A)=$ [ANS] $\sin(2A)=$ [AN"
73,MCQ,T2,teacher_3of3,E,3,E,,,"f(u,v) = 1/(2π) * 1/(1+v²) * e^(-u/2), u>0",True,search_GOLD,review,False,0,"Given $X \sim N(0, 1), Y \sim N(0, 1)$ and they are independent. Let $U = X^{2} "
74,free_single,T3,search_GOLD,"[12.306, 25.094]",1,,,,"[12.306, 25.094]",True,search_GOLD,,False,1,"To test the efficacy of a new cholesterol-lowering medication, 10 people are sel"
75,free_single,T2,search_GOLD,x > 21250,2,x > 21250,,,x > 21250,True,search_GOLD,agree,False,1,Mike can be paid in one of two ways based on the amount of merchandise he sells:
76,free_single,T1,search_GOLD,"-4, -11, 3, 33, -32, 9, -14, -13",3,"-4,-11,3,33,-32,9,-14,-13",,,"-4, -11, 3, 33, -32, 9, -14, -13",True,search_GOLD,agree,False,8,6-10=[ANS].-6-5=[ANS].-9-(-12)=[ANS]. 20-(-13)=[ANS].-18-14=[ANS].-18-(-27)=[ANS
77,free_single,T3,search_GOLD,"D, D, A",2,"C,D,A",,,"D, D, A",True,search_GOLD,review,False,3,A study of human development showed two types of movies to a group of children. 
78,MCQ,T1,teacher_3of3,A,3,A,,,A,True,search_GOLD,agree,False,0,"If distance of the origin from the plane passing through the point $(2,2,1)$ and"
79,free_single,T1,search_GOLD,\frac{25}{7},3,\frac{25}{7},,,\frac{25}{7},True,search_GOLD,agree,False,1,"Add these together: ${3+\frac{4}{7}}$ When needed, use an improper fraction in y"
80,MCQ,T2,teacher_3of3,G,3,G,,,\frac{\sqrt{3}}{12},True,search_GOLD,review,False,0,Simplify the fraction by rationalizing the denominator: $$\frac{4}{\sqrt{108}+2\
81,free_single,T2,search_GOLD,79.41,2,79.41,,,79.41,True,search_GOLD,agree,False,1,Suppose there are three sections of a Statistics course taught by the same instr
82,free_single,T3,search_GOLD,"1.323, 1.677, No, there is not sufficient evidence to support the claim",1,,,,"1.323, 1.677, No, there is not sufficient evidence to support the claim",True,search_GOLD,,False,4,"There are several sections of statistics, some in the morning (AM) and some in t"
83,free_single,T3,search_GOLD,1420,1,,,,1420,True,search_GOLD,,False,0,"Let $n > 1$ be an integer. In a configuration of an $n \times n$ board, each of "
84,free_single,T1,search_GOLD,"-4, 5, -11",3,"-4,5,-11",,,"-4, 5, -11",True,search_GOLD,agree,False,3,Subtract the following integers: ${4-8=}$ [ANS] ${8-3=}$ [ANS] ${3-14=}$ [ANS]
85,MCQ,T2,teacher_3of3,F,3,F,,,3,True,search_GOLD,review,False,0,"In a group of 1000 people, at least how many people have to share the same birth"
86,free_single,T1,search_GOLD,16,3,16,,,16,True,search_GOLD,agree,False,1,"A gym charges members ${\$35}$ for a registration fee, and then ${\$32}$ per mon"
87,free_single,T1,search_GOLD,"OBSERVATION, OBSERVATION, EXPERIMENT",3,"OBSERVATION,OBSERVATION,EXPERIMENT",,,"OBSERVATION, OBSERVATION, EXPERIMENT",True,search_GOLD,agree,False,3,Determine whether the follow descriptions correspond to an observational study o
88,MCQ,T3,teacher_2of3,C,2,C,,,,False,,,False,0,We now define an algorithm: The definition of a(n) is the number of possible dec
89,free_single,T2,wolfram_HIGH,\frac{326}{7},2,\frac{326}{7},\frac{326}{7},HIGH,46.57,True,wolfram_HIGH,agree,False,1,"Initially, you have lost 20,000 dollars in the stock market and you continue to "
90,free_single,T1,search_GOLD,7n+1,3,7n+1,,,7n+1,True,search_GOLD,agree,False,1,Find the nth term of the arithmetic sequence whose initial term is $8$ and commo
91,MCQ,T2,teacher_2of3,J,2,J,,,J,True,search_GOLD,agree,False,0,We now define an algorithm: The definition of a(n) is numbers n such that there 
92,MCQ,T2,teacher_3of3,E,3,E,,,1/m - 1/(m+n) + 1/(m+2n) - ...,True,search_GOLD,review,False,0,Find the value of the integral $$ I=\! \int_{0}^{1} \frac{x^{m-1}} {1+x^{n}} \ma
93,free_single,T3,search_GOLD,sWith,1,,,,sWith,True,search_GOLD,,False,0,Consider a bee (denoted by X ) in a rectangular honeycomb as seen below:  |  | $
94,MCQ,T1,teacher_3of3,C,3,C,,,C,True,search_GOLD,agree,False,0,The option that represents the area of the plane figure enclosed by ( x = 1 - {y
95,free_single,T3,search_GOLD,16/3,1,,,,16/3,True,search_GOLD,,False,0,Let $\triangle A B C$ be an isosceles triangle with $A B=A C$. Let $D$ be a poin
96,free_single,T1,search_GOLD,158\%,3,158\%,,,158\%,True,search_GOLD,agree,False,1,"A baby was born $2$ years ago. In these $2$ years, the baby grew $13.6$ pounds. "
97,free_single,T2,search_GOLD,"x=0, y=4, r=4",3,"0,4,4",,,"x=0, y=4, r=4",True,search_GOLD,review,False,3,The equation $r=8 \sin \theta$ represents a circle. Find the cartesian coordinat
98,MCQ,T1,teacher_3of3,A,3,A,,,A,True,search_GOLD,agree,False,0,"A deck of playing cards has 52 cards, and each shuffle changes the order of the "
99,free_single,T1,search_GOLD,"-6, 12, -6",3,"-6,12,-6",,,"-6, 12, -6",True,search_GOLD,agree,False,3,Evaluate the following expressions which involve the absolute value: ${-\lvert 3
100,free_single,T1,wolfram_HIGH,\frac{180}{7},3,\frac{180}{7},\frac{180}{7},HIGH,\frac{180}{7},True,wolfram_HIGH,agree,False,1,"A jeweler has five rings, each weighing $18$ grams, made of an alloy of $10$ \% "
101,free_single,T1,search_GOLD,C,3,"C,C,A,C",,,C,True,search_GOLD,agree,False,4,Consider a hypothesis test to decide whether the mean cost to community hospital
102,MCQ,T1,teacher_3of3,I,3,I,,,I,True,search_GOLD,agree,False,0,"Let $C \subset\mathbb{P}^{3}$ be a smooth, irreducible, nondegenerate curve of d"
103,free_single,T2,wolfram_HIGH,8\sqrt{2},2,8\sqrt{2},8\sqrt{2},HIGH,8\sqrt{2},True,wolfram_HIGH,agree,False,1,If the distance from the town of Bree to Weathertop is 16 miles on a 45 degree u
104,free_single,T2,search_GOLD,7.7*31*pi/180,2,\frac{2387\pi}{1800},,,7.7*31*pi/180,True,search_GOLD,agree,False,1,Find the arc length corresponding to the given angle (in degrees) on a circle of
105,free_single,T2,search_GOLD,"24, 9.11",2,"24,9.11",,,"24, 9.11",True,search_GOLD,agree,False,2,A sample of weights (in pounds) for six 12-year-olds is given below: 93 \quad 84
106,free_single,T1,wolfram_HIGH,\frac{13}{6},3,\frac{13}{6},\frac{13}{6},HIGH,\frac{13}{6},True,wolfram_HIGH,agree,False,1,"After robbing a bank in Dodge City, a robber gallops off at 13 mi/h. 30 minutes "
107,MCQ,T2,teacher_3of3,J,3,J,,,"(1/13, -1/13)",True,search_GOLD,review,False,0,"A ray of light passing through the point $A\left( 2,3 \right)$ reflected at a po"
108,free_single,T3,search_GOLD,"A=72, B=12x",2,"72,12x",,,"A=72, B=12x",True,search_GOLD,review,False,2,Using a double-angle or half-angle formula to simplify the given expressions. (a
109,MCQ,T2,teacher_3of3,B,3,B,,,"4,2; 1,1,5; 1,-1,3",True,search_GOLD,review,False,0,Find theeigenvaluesof matrices (a)\vert31\vert \vert13\vert (b)\vert221\vert \ve
110,free_single,T3,search_GOLD,"A, 3, 9",2,"3,9",,,"A, 3, 9",True,search_GOLD,review,False,2,A national park records data regarding the total fox population $F$ over a 12 mo
111,free_single,T2,search_GOLD,8x^3,2,8x^3,,,8x^3,True,search_GOLD,agree,False,1,Simplify the following expression as much as possible. Assume that all variables
112,free_single,T3,search_GOLD,600,1,,,,600,True,search_GOLD,,False,0,The intersection between a plane and a cube is a convex pentagon $ABCDE$ satisfy
113,free_single,T2,search_GOLD,\frac{25-2(x+4)^2}{25},2,\frac{25-2(x+4)^2}{25},,,\frac{25-2(x+4)^2}{25},True,search_GOLD,agree,False,1,If $x+4=5 \sin(\theta)$ for $0 < \theta < \pi/2$ express $\cos(2\theta)$ in term
114,MCQ,T1,teacher_3of3,D,3,D,,,D,True,search_GOLD,agree,False,0,"Given $k$ as an integer and $a \ne \pi \cdot k$, evaluate $P=\cos(a) \cdot \cos("
115,free_single,T3,search_GOLD,"y=11x-1200, 11, 109",2,"11x-1200,11,109,(y+1200)/11,1958",,,"y=11x-1200, 11, 109",True,search_GOLD,review,False,5,A theater manager graphed weekly profits as a function of the number of patrons 
116,free_single,T1,search_GOLD,"30, 6",3,"30,6",,,"30, 6",True,search_GOLD,agree,False,2,Justin's boat travels 144 km downstream in 4 hours and it travels 168 km upstrea
117,MCQ,T1,teacher_3of3,B,3,B,B,HIGH,B,True,wolfram_HIGH,agree,False,0,Consider the set $V$ containing all integers $e$ between 1 and 2021 (inclusive) 
118,free_single,T2,wolfram_HIGH,\frac{18}{5},2,\frac{18}{5},\frac{18}{5},HIGH,3.6,True,wolfram_HIGH,agree,False,1,You can paint a certain room in 9 hours. Your brother can do it in 6 hours. How 
119,free_single,T1,search_GOLD,"A, C, B, D",3,"A,C,B,D",,,"A, C, B, D",True,search_GOLD,agree,False,4,Match the set of points as indicated by the ordered pair with the correct quadra
120,free_single,T1,wolfram_HIGH,8,3,8,8,HIGH,8,True,wolfram_HIGH,agree,False,0,"Let $n$ be a positive integer and $p$ be a prime. In terms of $n$ and $p$, let $"
121,free_single,T1,search_GOLD,35,3,35,,,35,True,search_GOLD,agree,False,1,"Fabrienne is working to pass a local measure, and she needs to collect a total o"
122,free_single,T1,search_GOLD,"1174.8, 55",3,"1174.8,55",,,"1174.8, 55",True,search_GOLD,agree,False,2,"On average, a restaurant uses ${35.6\ {\rm lb}}$ of vegetable oil per day. Fill "
123,MCQ,T2,teacher_3of3,G,3,G,,,x²cos(y) + y²cos(x) + C,True,search_GOLD,review,False,0,The primitive function of $(2xcos y-{{y}^{2}}sin x)dx+(2ycos x-{{x}^{2}}sin y)dy
124,MCQ,T2,teacher_2of3,H,2,H,H,HIGH,,False,wolfram_HIGH,agree,False,0,"Consider the set $\{1,2,\dots,z\}$ and all its nonempty subsets, which we'll den"
125,MCQ,T1,teacher_3of3,G,3,G,G,HIGH,G,True,wolfram_HIGH,agree,False,0,Determine the smallest positive integer $l$ such that for any polynomial $x(x)$ 
126,free_single,T1,search_GOLD,138000,3,138000,,,138000,True,search_GOLD,agree,False,1,"According to a survey, $6.6\%$ of a city’s residents are native Americans. The l"
127,free_single,T4,search_GOLD,5*ln(17/2),2,10.7,,,5*ln(17/2),True,search_GOLD,disagree,True,1,The velocity (in ft/s) of a sky diver $t$ seconds after jumping is given by v(t)
128,free_single,T1,search_GOLD,(y-3)/(y+3),3,\frac{y-3}{y+3},,,(y-3)/(y+3),True,search_GOLD,agree,False,1,$(y^2-9)$ Perform the indicated operation. Note that the denominators are the sa
129,free_single,T3,search_GOLD,"5/sin(t), \sqrt{7}, -3cos(t), 2\sqrt{2}tan(t)",1,,,,"5/sin(t), \sqrt{7}, -3cos(t), 2\sqrt{2}tan(t)",True,search_GOLD,,False,4,Write each equation in polar coordinates. Express as a function of $\small{t}$. 
130,free_single,T1,search_GOLD,r^{42},3,r^{42},,,r^{42},True,search_GOLD,agree,False,1,Use the properties of exponents to simplify the following ${r^{16}}\cdot{r^{13}}
131,free_single,T4,none,,1,,,,,False,,,False,1,"Physicians at a clinic gave what they thought were drugs to $950$ asthma, ulcer,"
132,free_single,T3,teacher_2of3,10.8,2,10.8,,,,False,,,False,1,It’s given that $1 \text{mile}=5280 \text{feet}$ and $1 \text{yard}=3 \text{feet
133,free_single,T4,none,,1,,,,,False,,,False,4,"If $\theta=\frac {5 \pi} {3}$, then $\sin (\theta)$ equals [ANS] $\cos (\theta)$"
134,free_single,T2,wolfram_HIGH,"1, 5, 12, 20, 26, 30, 31, 27.63",2,"1,5,12,20,26,30,31,27.625","1, 5, 12, 20, 26, 30, 31, 27.63",HIGH,,False,wolfram_HIGH,agree,False,8,"Given the following table, compute the median of the grouped data. $\begin{array"
135,free_single,T1,search_GOLD,3/5,3,\frac{3}{5},,,3/5,True,search_GOLD,agree,False,1,Solve the equation $8x+2=3x+5$ algebraically. $x=$ [ANS]
136,free_single,T3,teacher_2of3,"A,C",2,"A,C",,,,False,,,False,2,The percent frequency of a class is computed by: [ANS] A. multiplying the relati
137,free_single,T1,search_GOLD,"2/13, 2/1",3,"2/13,2/1",,,"2/13, 2/1",True,search_GOLD,agree,False,2,Write each ratio as a fraction in simplest form: $36: 234$ is the fraction [ANS]
138,free_single,T4,none,,1,,,,,False,,,False,1,"When an aircraft takes off, it accelerates until it reaches its takeoff speed $V"
139,free_single,T3,search_GOLD,"A=201, B=1/(n*(n+1))",2,"201,\frac{1}{n(n+1)}",,,"A=201, B=1/(n*(n+1))",True,search_GOLD,review,False,2,Wirte the sum using sigma notation: $\frac{1}{1\cdot 2}+\frac{1}{2\cdot 3}+\frac
140,free_single,T2,teacher_3of3,2744,3,2744,,,,False,,,False,1,Gregory and Lesley are participating in a summer reading program. Gregory reads 
141,MCQ,T2,teacher_3of3,A,3,A,0,DISPUTED,,False,,,False,0,"Consider all positive integers written in base 7, are alternating 1's and 0's, b"
