id,subject,type,n_ans_slots,best_answer,teacher_consensus,question
0904,linear_algebra,MCQ,0,D,A,"Let $$R_1 = \begin{pmatrix}
0.5 & 0.4 & 0.2 & 0.1 \\
0.2 & 0.6 & 0.4 & 0.5 \\
0.1 & 0.9 & 1 & 0.7
\end{pmatrix},$$
$$
R_2 = \begin{pmatrix}
0.4 & 0.1 & 0.1 & 0.6 \\
0.5 & 0.9 & 0.7 & 0.5 \\
0.6 & 0.8 & 0.7 & 0.6 \\
\end{pmatrix},
$$
$$
R_3 = \begin{pmatrix}
0.6 & 0.5 \\
0.7 & 0.8\\
1&0.9\\0.2&0.3
\end{pmatrix},
$$
$$
R_4 = \begin{pmatrix}
0.7 & 0.3 \\
0.6 & 0.4\\0.5&0.5\\0.4&0.6
\end{pmatrix},
$$
$$
R_5 = \begin{pmatrix}
0.2 & 0.3&0.7\\
0.6 & 0.4&0.8
\end{pmatrix},
$$
$$
R_6 = \begin{pmatrix}
0.2 & 0.6 & 0.9 \\
0.3 & 0.2 & 0.1
\end{pmatrix}
$$
What is the value of $(R_1 \cup R_2) \cdot (R_3 \cdot R_5)$?"
0916,geometry,free_multi,3,"4.243, 8.485, 18.00","3\sqrt{2},6\sqrt{2},18","Plot the points $A=(1, 0)$, $B=(4, 3)$, and $C=(-5, 6)$. Notice that these points are vertices of a right triangle (the angle $A$ is 90 degrees). Find the distance between $A$ and $B$: [ANS]
Find the distance between $A$ and $C$: [ANS]
Find the area of the triangle $ABC$: [ANS]"
0927,algebra,free_multi,6,"0,1,1,1,0,0","False,True,True,True,False,False","Using the properties of logarithms, decide whether each equation is true or not.
[ANS] 1. $\ln{(A)} \ln{(B)}=\ln{(A)}+\ln{(B)}$ [ANS] 2. $p \cdot \ln{(A)}=\ln{(A^p)}$ [ANS] 3. $\log{(\sqrt{A})}=\frac{1}{2} \log{(A)}$ [ANS] 4. $\log{(AB)}=\log{(A)}+\log{(B)}$ [ANS] 5. $\sqrt{\ln{(A)}}=\ln{(A^{(1/2)})}$ [ANS] 6. $ \frac{\log{(A)}}{\log{(B)}}=\log{(A)}-\log{(B)}$"
0936,algebra,free_single,1,27517,\frac{275}{16},Find $k$ such that the Polynomial $P(x)=4x^3+k x^2+4x-3$ is divisible by $x+4$. $k=$ [ANS]
0010,calculus,MCQ,0,E,E,"What is the value of the integral $\int_{\mid z \mid=\rho} \frac{\mid\mathrm{d} z \mid} {\mid z-a \mid^{2}}$? Where $a \neq 0$, $a \neq \rho$, $\rho > 0$."
0022,geometry,MCQ,0,G,G,"Let $P$ be a polyhedron with $37$ faces, all of which are equilateral triangles, squares, or regular pentagons with equal side length. Given there is at least one of each type of face and there are twice as many pentagons as triangles, what is the sum of all the possible number of vertices $P$ can have?"
0030,statistics,free_multi,2,"2944, 664","2944,664","College officials want to estimate the percentage of students who carry a gun, knife, or other such weapon. How many randomly selected students must be surveyed in order to be $97$ \% confident that the sample percentage has a margin of error of $2$ percentage points?
(a) $\ $ Assume that there is no available information that could be used as an estimate of $\hat{p}$. Answer: [ANS]
(b) $\ $ Assume that another study indicated that $6$ \% of college students carry weapons.
Answer: [ANS]"
0033,geometry,MCQ,0,F,F,"A rectangle, $HOMF$, has sides $HO=11$ and $OM=5$. A triangle $ABC$ has $H$ as the intersection of the altitudes, $O$ the center of the circumscribed circle, $M$ the midpoint of $BC$, and $F$ the foot of the altitude from $A$. What is the length of $BC$?"
0042,statistics,free_multi,3,"No, Yes, A","No,Yes,A","Lindsey thinks a certain potato chip maker is putting fewer chips in their regular bags of chips. From a random sample of 17 bags of potato chips she calculated a P value of 0.095 for the sample.
(a) At a 5\% level of significance, is there evidence that Lindsey is correct? (Type: Yes or No): [ANS]
(b) At a 10\% level of significance, is there evidence that she is correct? (Type: Yes or No): [ANS]
(c) In a statistical test of hypotheses, we say that the data are statistically significant at level $\alpha$ if [ANS] A. the P-value is less than $\alpha$.  B. the P-value is larger than $\alpha$.  C. $\alpha$ is small.  D. $\alpha=0.05$."
0044,statistics,free_multi,4,"True, True, True, False","True,True,True,False","Select True or False, depending on whether the corresponding statement is true or false.
[ANS] 1. For each $x$ term in the multiple regression equation, the corresponding $\beta$ is referred to as a partial regression coefficient. [ANS] 2. In reference to the equation $\hat{y}=-0.80+0.12x_1+0.08x_2$, the value-0.80 is the $y-$ intercept. [ANS] 3. In a multiple regression problem involving 24 observations and three independent variables, the estimated regression equation is $\hat{y}=72+3.2x_1+1.5x_2-x_3$. For this model, $SST=800$ and $SSE=245$. The value of the $F$ statistic for testing the significance of this model is 15.102. [ANS] 4. In order to test the significance of a multiple regression model involving 4 independent variables and 25 observations, the numerator and denominator degre"
0045,statistics,MCQ,0,A,A,"We now define an algorithm: The definition of a(n) is the sequence where a(n) represents the number of male offspring in a hypothetical population modelled by two interrelated recurrences, tracking the growth of both male and female populations over time. Given the input x_list (a series of values): [64, 65, 66, 67, 68, 69, 70, 71, 72, 73], determine the corresponding output sequence y_list."
