id,batch,override_value,confidence,notes
0858,B6,"2.300, 1.691, Yes",PARTIAL,slot 4 unknown (interpretation phrase)
0886,B6,"A, C",HIGH,2-slot ME scaling + n_req
0894,B6,"0.008, 1.783, 2.013, -0.091, 0.283, -0.100, 0.272, 10",MEDIUM,"regression PI 8-slot; question hints 9, verified 10"
0917,B6,"189.8, 246.4, 43",HIGH,CI + n_req 3-slot
0924,B7,"n = 55 + 0.2t, 2010",HIGH,linear model + year 2-slot
0929,B7,"5.860, (-0.78, 3.18), A",HIGH,pooled t CI + MCQ 3-slot; nB=11 (13-2 excluded)
0011,B8,0.939,consensus-only,truncated problem text; verify against source
0040,B8,D = 800 - 50d,HIGH,missing LHS prefix; Qwen failure=missing-prefix
0067,B8,"7.6(1.09)^t, 13.9, 5.4",HIGH,exponential growth 3-slot; Qwen under-counted
0072,B8,"-0.8352, -0.9187, 0.3950, -2.3258, Quadrant IV",HIGH,trig 5-slot; full label required
0089,B8,\frac{326}{7},HIGH,fraction vs decimal
0100,B8,\frac{180}{7},HIGH,fraction vs decimal
0103,B8,8\sqrt{2},HIGH,exact form vs decimal
0106,B8,\frac{13}{6},HIGH,fraction vs decimal
0118,B8,\frac{18}{5},HIGH,fraction vs decimal
0124,B8,H,HIGH,Putnam 2018 A2; Qwen=G missed z=1 edge case
0167,B8,"Negative, Negative, Positive, Negative",HIGH,words not letters; Qwen failure=letter-vs-word
0181,B8,A,HIGH,symmetry proof; only symmetric matrix; Qwen=B wrong
0218,B8,\arcsin\!(\frac{7}{10}),HIGH,exact form vs decimal
0233,B8,"1.96, -1.96, -5.18, B",HIGH,hypothesis test 4-slot; Qwen under-counted
0247,B8,"\frac{2409}{65}, \frac{2474}{1+\frac{2409}{65}e^{-0.53t}}, 2473.84",HIGH,logistic 3-slot; Qwen under-counted
0317,B8,D,HIGH,dataset quirk — D and H identical; only D accepted
0395,B8,"\frac{85}{3}, -\frac{95}{4}, -\frac{10}{7}",HIGH,rate-of-change fractions
0454,B8,"1.5, 0.9375",HIGH,GPA trailing zeros
0496,B8,9.594^\circ,HIGH,bearing; degree symbol required
0506,B8,J,HIGH,balanced primes MCQ
0584,B8,"7z, 6w",HIGH,symbolic form; Qwen substituted z=w=1
0884,B8,g(x)=(x-59)^2+74,HIGH,prefix required; g(x)= form
0902,B8,"9, 6",HIGH,simplified radical ratio
0041,WEBSEARCH,2112,HIGH,IMO 2025 P6 (Matilda tiles). ALL 5 teachers wrong (3986/4048/4048). Free-form.
0117,WEBSEARCH,B,HIGH,Putnam 2021 A5. Answer = 2020 = option B. All 5 teachers agreed. High confidence.
0120,WEBSEARCH,8,HIGH,Polya theorem on fixed divisors. 4/5 teachers agreed. Free-form.
0125,WEBSEARCH,G,HIGH,Putnam 2016 A1; value=8 confirmed; MCQ option G (index 6 of 10 options)
0141,WEBSEARCH,0,DISPUTED,"Putnam 1989 A-1 base-7 variant: math gives 0 primes but 0 is NOT in MCQ options (A-H: 1,4,5,7,6,8,2,3). Web search match likely wrong. DO NOT APPLY."
