item_id,tier,is_mcq,gold_provenance,adapter_voted_answer,adapter_votes,base_voted_answer,gold_answer,adapter_correct,base_correct,adapter_correct_strict,base_correct_strict,classification
142,T2,False,MED,"7, 8, 9, 10, 11",3/3,"7, 8, 9, 10, 11","7,8,9,10,11",True,True,True,True,both_correct
146,T2,True,HIGH,F,3/3,F,F,True,True,True,True,both_correct
147,T2,True,HIGH,I,2/3,I,I,True,True,True,True,both_correct
148,T2,True,HIGH,A,3/3,A,A,True,True,True,True,both_correct
150,T2,True,HIGH,A,3/3,A,A,True,True,True,True,both_correct
152,T3,True,MED,J,3/3,J,J,True,True,True,True,both_correct
153,T2,True,HIGH,B,3/3,B,B,True,True,True,True,both_correct
155,T3,False,HIGH,12.17,3/3,12.17,12.17,True,True,True,True,both_correct
156,T2,True,HIGH,H,3/3,H,H,True,True,True,True,both_correct
158,T2,False,HIGH,"A,C",3/3,"A, C","A,C",True,True,True,True,both_correct
162,T3,True,HIGH,B,3/3,B,B,True,True,True,True,both_correct
163,T2,False,HIGH,"9,-5,4",3/3,"9, -5, 4","9,-5,4",True,True,True,True,both_correct
164,T4,True,MED,G,3/3,G,G,True,True,True,True,both_correct
172,T2,False,HIGH,\dfrac{1320}{3721},3/3,\frac{1320}{3721},\frac{1320}{3721},True,True,True,True,both_correct
173,T3,True,HIGH,C,3/3,C,C,True,True,True,True,both_correct
175,T3,True,HIGH,I,3/3,I,I,True,True,True,True,both_correct
178,T2,True,HIGH,C,3/3,C,C,True,True,True,True,both_correct
179,T2,False,HIGH,"29,3,21,1,21,4,19,4,23,3",3/3,"29, 3, 21, 1, 21, 4, 19, 4, 23, 3","29,3,21,1,21,4,19,4,23,3",True,True,True,True,both_correct
182,T4,True,HIGH,E,3/3,E,"P(A)=0.5177,P(B)=0.4914",False,False,False,False,both_wrong
183,T2,True,HIGH,D,3/3,D,D,True,True,True,True,both_correct
184,T5,True,MED,E,3/3,A,E,True,False,True,False,adapter_win
185,T2,False,HIGH,"T,F,T,F,T",3/3,"T, F, T, F, T","T,F,T,F,T",True,True,True,True,both_correct
186,T2,True,HIGH,D,3/3,D,D,True,True,True,True,both_correct
190,T2,False,HIGH,-\dfrac{21}{8},3/3,-\frac{21}{8},-\frac{21}{8},True,True,True,True,both_correct
191,T2,False,HIGH,"D,A,C,B,E",3/3,"D, A, C, B, E","D,A,C,B,E",True,True,True,True,both_correct
197,T2,False,HIGH,"3,4",3/3,"3, 4","3,4",True,True,True,True,both_correct
200,T2,True,HIGH,I,3/3,I,I,True,True,True,True,both_correct
203,T3,True,HIGH,I,3/3,I,I,True,True,True,True,both_correct
206,T2,False,HIGH,4,3/3,4,4,True,True,True,True,both_correct
209,T2,True,HIGH,B,3/3,B,B,True,True,True,True,both_correct
212,T2,True,HIGH,J,3/3,J,J,True,True,True,True,both_correct
213,T2,False,HIGH,\dfrac{2}{9},3/3,\frac{2}{9},\frac{2}{9},True,True,True,True,both_correct
216,T2,False,HIGH,60,3/3,60,60,True,True,True,True,both_correct
217,T2,True,HIGH,C,3/3,C,C,True,True,True,True,both_correct
219,T2,False,HIGH,27,3/3,27,27,True,True,True,True,both_correct
220,T2,True,HIGH,A,3/3,A,A,True,True,True,True,both_correct
221,T2,False,HIGH,2750,3/3,2750,2750,True,True,True,True,both_correct
223,T2,True,HIGH,A,3/3,A,A,True,True,True,True,both_correct
224,T2,False,HIGH,2643,3/3,2643,2643,True,True,True,True,both_correct
226,T2,False,HIGH,8,3/3,8,8,True,True,True,True,both_correct
228,T3,False,HIGH,v^7,3/3,v^7,v^7,True,True,True,True,both_correct
235,T3,True,HIGH,B,3/3,B,B,True,True,True,True,both_correct
236,T2,False,HIGH,"6e,-6",3/3,"6e, -6","6e,-6",True,True,True,True,both_correct
238,T2,False,MED,"-61,\,61,\,62",3/3,"-61, 61, 62","-61,61,62",True,True,False,True,both_correct
241,T2,True,HIGH,B,3/3,B,B,True,True,True,True,both_correct
244,T2,True,HIGH,F,3/3,F,F,True,True,True,True,both_correct
245,T2,False,HIGH,980,3/3,980,980,True,True,True,True,both_correct
249,T2,True,HIGH,G,3/3,G,G,True,True,True,True,both_correct
252,T2,False,HIGH,C,3/3,C,C,True,True,True,True,both_correct
254,T2,True,HIGH,H,3/3,H,H,True,True,True,True,both_correct
256,T2,False,HIGH,"-30,30",3/3,"-30, 30","-30,30",True,True,True,True,both_correct
258,T2,True,HIGH,C,3/3,C,C,True,True,True,True,both_correct
259,T2,False,MED,B,3/3,B,B,True,True,True,True,both_correct
260,T2,False,HIGH,"-22,8",3/3,"-22, 8","-22,8",True,True,True,True,both_correct
261,T2,False,HIGH,4,3/3,4,4,True,True,True,True,both_correct
265,T2,False,HIGH,"A,D",3/3,"A, D","A,D",True,True,True,True,both_correct
267,T2,True,HIGH,C,3/3,C,C,True,True,True,True,both_correct
268,T2,False,HIGH,"4450,14",3/3,"4450, 14","4450,14",True,True,True,True,both_correct
272,T2,True,HIGH,B,3/3,B,B,True,True,True,True,both_correct
278,T2,False,HIGH,38,3/3,38,38,True,True,True,True,both_correct
279,T2,True,HIGH,J,3/3,J,J,True,True,True,True,both_correct
280,T2,True,HIGH,H,3/3,H,H,True,True,True,True,both_correct
283,T2,False,HIGH,114,3/3,114,114,True,True,True,True,both_correct
286,T2,True,HIGH,H,3/3,H,H,True,True,True,True,both_correct
289,T2,False,HIGH,"4,9",3/3,"4, 9","4,9",True,True,True,True,both_correct
291,T2,False,HIGH,2304,3/3,2304,2304,True,True,True,True,both_correct
295,T2,True,HIGH,C,3/3,C,C,True,True,True,True,both_correct
298,T2,True,HIGH,C,3/3,C,C,True,True,True,True,both_correct
300,T2,False,HIGH,6500,3/3,6500,6500,True,True,True,True,both_correct
302,T2,True,HIGH,H,3/3,"H, H",H,True,True,True,False,both_correct
303,T2,True,HIGH,C,3/3,C,C,True,True,True,True,both_correct
304,T2,True,HIGH,G,3/3,G,G,True,True,True,True,both_correct
305,T2,True,HIGH,B,3/3,B,B,True,True,True,True,both_correct
307,T1,False,MED,4/3,3/3,\frac{4}{3},4/3,True,True,True,True,both_correct
309,T2,False,HIGH,83000,3/3,83000,83000,True,True,True,True,both_correct
314,T2,False,HIGH,"7,-8,-4",3/3,"7, -8, -4","7,-8,-4",True,True,True,True,both_correct
315,T2,False,HIGH,"B,B,A",3/3,"B, B, A","B,B,A",True,True,True,True,both_correct
317,T4,True,HIGH,D,3/3,H,D,True,False,True,False,adapter_win
321,T2,True,HIGH,H,3/3,H,H,True,True,True,True,both_correct
323,T2,False,HIGH,"[10,12),[-8,-6),[10,18),[-16,-6)",3/3,"[10, 12), [-8, -6), [10, 18), [-16, -6)","[10,12),[-8,-6),[10,18),[-16,-6)",True,True,True,True,both_correct
324,T2,True,HIGH,H,3/3,H,H,True,True,True,True,both_correct
326,T2,False,HIGH,"0.67,0.36,0.06",3/3,"0.67, 0.36, 0.06","0.67,0.36,0.06",True,True,True,True,both_correct
331,T2,True,HIGH,H,3/3,H,H,True,True,True,True,both_correct
332,T2,False,HIGH,"778,624",3/3,"778, 624","778,624",True,True,True,True,both_correct
333,T2,False,HIGH,"54,62",3/3,"54, 62","54,62",True,True,True,True,both_correct
334,T2,True,HIGH,F,3/3,F,F,True,True,True,True,both_correct
335,T2,True,HIGH,E,3/3,E,E,True,True,True,True,both_correct
336,T2,True,HIGH,D,3/3,D,D,True,True,True,True,both_correct
337,T2,True,HIGH,H,3/3,H,H,True,True,True,True,both_correct
343,T2,False,HIGH,"D,A,C,B,E",3/3,"D, A, C, B, E","D,A,C,B,E",True,True,True,True,both_correct
344,T2,False,HIGH,-5,3/3,-5,-5,True,True,True,True,both_correct
348,T2,True,HIGH,D,3/3,D,D,True,True,True,True,both_correct
349,T2,False,HIGH,-\dfrac{2}{15},3/3,-\frac{2}{15},-\frac{2}{15},True,True,True,True,both_correct
350,T2,False,HIGH,"11100,11001,1100111,1101110,101001101,101010100",3/3,"11100, 11001, 1100111, 1101110, 101001101, 101010100","11100,11001,1100111,1101110,101001101,101010100",True,True,True,True,both_correct
351,T2,True,HIGH,A,3/3,A,A,True,True,True,True,both_correct
352,T2,False,HIGH,68,3/3,68,68,True,True,True,True,both_correct
355,T2,True,HIGH,H,3/3,H,H,True,True,True,True,both_correct
356,T2,True,HIGH,F,3/3,F,F,True,True,True,True,both_correct
358,T2,True,HIGH,B,3/3,B,B,True,True,True,True,both_correct
359,T2,True,HIGH,D,3/3,D,D,True,True,True,True,both_correct
360,T2,True,HIGH,D,3/3,D,D,True,True,True,True,both_correct
362,T3,False,MED,(6x-5y)(6x+5y),3/3,(6x - 5y)(6x + 5y),(6x-5y)(6x+5y),True,True,True,True,both_correct
364,T2,False,HIGH,"Y,N,Y,N",3/3,"Y, N, Y, N","Y,N,Y,N",True,True,True,True,both_correct
365,T2,False,HIGH,C,3/3,C,C,True,True,True,True,both_correct
366,T2,True,HIGH,G,3/3,G,G,True,True,True,True,both_correct
368,T2,False,HIGH,"C,D,D,E",3/3,"C, D, D, E","C,D,D,E",True,True,True,True,both_correct
374,T2,False,HIGH,4000,3/3,4000,4000,True,True,True,True,both_correct
377,T2,True,HIGH,B,3/3,B,B,True,True,True,True,both_correct
381,T2,False,HIGH,2040,3/3,2040,2040,True,True,True,True,both_correct
389,T3,True,HIGH,F,3/3,F,x^2+5x±5,False,False,False,False,both_wrong
392,T2,False,HIGH,81,3/3,81,81,True,True,True,True,both_correct
394,T2,True,HIGH,H,3/3,H,H,True,True,True,True,both_correct
398,T2,True,HIGH,A,3/3,A,A,True,True,True,True,both_correct
399,T2,True,HIGH,E,3/3,E,E,True,True,True,True,both_correct
400,T2,True,HIGH,E,3/3,E,E,True,True,True,True,both_correct
402,T2,True,HIGH,J,3/3,J,J,True,True,True,True,both_correct
404,T5,False,MED,52\%,3/3,52.00,52\%,True,False,True,False,adapter_win
406,T2,False,HIGH,-7,3/3,-7,-7,True,True,True,True,both_correct
407,T2,True,HIGH,C,3/3,C,C,True,True,True,True,both_correct
414,T2,True,HIGH,I,3/3,I,I,True,True,True,True,both_correct
420,T2,True,HIGH,H,3/3,H,H,True,True,True,True,both_correct
423,T5,False,MED,-\frac{1}{2},3/3,-0.5000,-0.5,True,True,False,False,both_correct
425,T2,False,HIGH,7,3/3,7,7,True,True,True,True,both_correct
426,T2,False,HIGH,11,3/3,11,11,True,True,True,True,both_correct
428,T2,False,HIGH,"43,55",3/3,"43, 55","43,55",True,True,True,True,both_correct
429,T5,False,MED,A,3/3,7.05,A,True,False,True,False,adapter_win
430,T2,True,HIGH,E,3/3,E,E,True,True,True,True,both_correct
431,T2,False,MED,"5, 42",3/3,"5, 42","5,42",True,True,True,True,both_correct
433,T2,True,HIGH,C,3/3,C,C,True,True,True,True,both_correct
436,T2,False,HIGH,20,3/3,20,20,True,True,True,True,both_correct
441,T2,False,HIGH,260,3/3,260,260,True,True,True,True,both_correct
452,T2,False,HIGH,42,3/3,42,42,True,True,True,True,both_correct
455,T2,False,HIGH,C,3/3,C,C,True,True,True,True,both_correct
460,T2,False,HIGH,"F,F,T,T,T,T,F",3/3,"F, F, T, T, T, T, F","F,F,T,T,T,T,F",True,True,True,True,both_correct
462,T2,False,HIGH,"-7,8",3/3,"-7, 8","-7,8",True,True,True,True,both_correct
463,T5,True,MED,J,3/3,E,J,True,False,True,False,adapter_win
464,T2,True,HIGH,G,3/3,G,G,True,True,True,True,both_correct
465,T2,True,HIGH,H,3/3,H,H,True,True,True,True,both_correct
466,T2,False,HIGH,26.9,3/3,26.9,26.9,True,True,True,True,both_correct
471,T2,True,HIGH,C,3/3,C,C,True,True,True,True,both_correct
472,T2,True,HIGH,I,3/3,I,I,True,True,True,True,both_correct
473,T2,False,MED,"[-7,-3]",3/3,"[-7, -3]","[-7,-3]",True,True,True,True,both_correct
476,T2,True,HIGH,G,3/3,G,G,True,True,True,True,both_correct
477,T2,False,HIGH,"A,C",3/3,"A, C","A,C",True,True,True,True,both_correct
478,T5,False,HIGH,-\frac{3}{10},3/3,-0.3000,-3/10,True,True,False,False,both_correct
481,T2,True,HIGH,A,3/3,A,A,True,True,True,True,both_correct
482,T2,True,HIGH,H,3/3,H,H,True,True,True,True,both_correct
483,T3,True,MED,A,3/3,A,A,True,True,True,True,both_correct
484,T2,True,HIGH,C,3/3,C,C,True,True,True,True,both_correct
485,T2,False,HIGH,135,3/3,135,135,True,True,True,True,both_correct
486,T2,True,HIGH,B,3/3,B,B,True,True,True,True,both_correct
500,T2,True,HIGH,J,3/3,J,J,True,True,True,True,both_correct
502,T3,False,MED,\frac{8}{11},3/3,\frac{8}{11},\frac{8}{11},True,True,True,True,both_correct
509,T2,True,HIGH,H,3/3,H,H,True,True,True,True,both_correct
511,T2,True,HIGH,I,3/3,I,I,True,True,True,True,both_correct
514,T2,True,HIGH,I,3/3,I,I,True,True,True,True,both_correct
515,T2,False,HIGH,"-8, 1, 12, 19",3/3,"-8, 1, 12, 19","-8, 1, 12, 19",True,True,True,True,both_correct
516,T2,False,MED,"7, -11, 4, 0",3/3,"7, -11, 4, 0","7,-11,4,0",True,True,True,True,both_correct
517,T3,True,HIGH,E,3/3,E,E,True,True,True,True,both_correct
521,T2,True,HIGH,F,3/3,F,F,True,True,True,True,both_correct
534,T2,True,HIGH,G,3/3,G,G,True,True,True,True,both_correct
536,T2,True,HIGH,E,3/3,E,E,True,True,True,True,both_correct
541,T2,False,HIGH,5,3/3,5,5,True,True,True,True,both_correct
544,T2,False,MED,A,3/3,A,A,True,True,True,True,both_correct
545,T2,False,HIGH,400000,3/3,400000,400000,True,True,True,True,both_correct
546,T2,False,HIGH,"92,126,146,72,172",3/3,"92, 126, 146, 72, 172","92,126,146,72,172",True,True,True,True,both_correct
547,T2,True,HIGH,H,3/3,H,H,True,True,True,True,both_correct
551,T3,False,MED,\sqrt{28},3/3,\sqrt{28},\sqrt{28},True,True,True,True,both_correct
556,T5,False,MED,C,3/3,"C, D",C,True,True,True,False,both_correct
559,T2,False,HIGH,-280,3/3,-280,-280,True,True,True,True,both_correct
560,T2,False,MED,"C, A, A",3/3,"C, A, A","C,A,A",True,True,True,True,both_correct
564,T2,True,HIGH,D,3/3,D,D,True,True,True,True,both_correct
565,T2,False,HIGH,"-7.006,-7.06,-7.6",3/3,"-7.006, -7.06, -7.6","-7.006,-7.06,-7.6",True,True,True,True,both_correct
566,T2,False,HIGH,3,3/3,3,3,True,True,True,True,both_correct
567,T2,False,HIGH,"A,A",3/3,"A, A","A,A",True,True,True,True,both_correct
568,T2,False,MED,"-10, 3",3/3,"-10, 3","-10,3",True,True,True,True,both_correct
569,T2,True,HIGH,B,3/3,B,B,True,True,True,True,both_correct
572,T2,False,HIGH,"8,-6,6,8",3/3,"8, -6, 6, 8","8,-6,6,8",True,True,True,True,both_correct
573,T2,False,HIGH,\dfrac{17}{72},3/3,\frac{17}{72},\frac{17}{72},True,True,True,True,both_correct
575,T2,True,HIGH,G,3/3,G,G,True,True,True,True,both_correct
577,T2,True,HIGH,F,3/3,F,F,True,True,True,True,both_correct
579,T2,True,HIGH,C,3/3,C,C,True,True,True,True,both_correct
580,T2,True,HIGH,D,3/3,D,D,True,True,True,True,both_correct
581,T2,True,HIGH,F,3/3,F,F,True,True,True,True,both_correct
582,T2,False,HIGH,1035,3/3,1035,1035,True,True,True,True,both_correct
588,T2,True,HIGH,E,3/3,E,E,True,True,True,True,both_correct
590,T2,True,HIGH,D,3/3,D,D,True,True,True,True,both_correct
592,T2,True,HIGH,I,3/3,I,I,True,True,True,True,both_correct
594,T2,True,HIGH,F,3/3,F,F,True,True,True,True,both_correct
596,T2,True,HIGH,G,3/3,G,G,True,True,True,True,both_correct
597,T2,True,HIGH,B,3/3,B,B,True,True,True,True,both_correct
600,T2,True,HIGH,I,3/3,I,I,True,True,True,True,both_correct
603,T2,False,HIGH,"C,A,B",3/3,"C, A, B","C,A,B",True,True,True,True,both_correct
604,T2,True,HIGH,J,3/3,J,J,True,True,True,True,both_correct
611,T3,False,MED,1.356,3/3,1.356,1.356,True,True,True,True,both_correct
612,T2,False,HIGH,"68,81",3/3,"68, 81","68,81",True,True,True,True,both_correct
613,T2,True,HIGH,I,3/3,I,I,True,True,True,True,both_correct
615,T2,False,HIGH,"14,9",3/3,"14, 9","14,9",True,True,True,True,both_correct
616,T2,True,HIGH,J,3/3,J,J,True,True,True,True,both_correct
618,T2,True,HIGH,A,3/3,A,A,True,True,True,True,both_correct
624,T2,True,HIGH,F,3/3,F,F,True,True,True,True,both_correct
626,T2,True,HIGH,G,3/3,G,G,True,True,True,True,both_correct
628,T2,False,MED,"76, 75.7, 75.67, 75.673",3/3,"76, 75.7, 75.67, 75.673","76,75.7,75.67,75.673",True,True,True,True,both_correct
630,T2,False,MED,"71.981, 564.365",3/3,"71.981, 564.365","71.981,564.365",True,True,True,True,both_correct
631,T2,True,HIGH,A,3/3,A,A,True,True,True,True,both_correct
632,T2,False,HIGH,23,3/3,23,23,True,True,True,True,both_correct
634,T2,False,HIGH,109,3/3,109,109,True,True,True,True,both_correct
637,T2,False,HIGH,"A,B,F,C,D,E",3/3,"A, B, F, C, D, E","A,B,F,C,D,E",True,True,True,True,both_correct
639,T2,False,HIGH,3.325,3/3,3.325,3.325,True,True,True,True,both_correct
640,T2,True,HIGH,G,3/3,G,G,True,True,True,True,both_correct
650,T2,True,HIGH,J,3/3,J,J,True,True,True,True,both_correct
654,T2,False,HIGH,"\sqrt{19},2,2,2",3/3,"\sqrt{19}, 2, 2, 2","\sqrt{19},2,2,2",True,True,True,True,both_correct
658,T2,True,HIGH,A,3/3,A,A,True,True,True,True,both_correct
662,T2,False,HIGH,23,3/3,23,23,True,True,True,True,both_correct
663,T2,True,HIGH,F,3/3,F,F,True,True,True,True,both_correct
665,T2,True,HIGH,B,3/3,B,B,True,True,True,True,both_correct
667,T2,True,HIGH,H,3/3,H,H,True,True,True,True,both_correct
668,T3,True,HIGH,G,3/3,G,G,True,True,True,True,both_correct
669,T2,True,HIGH,H,3/3,H,H,True,True,True,True,both_correct
672,T2,True,HIGH,D,3/3,D,D,True,True,True,True,both_correct
677,T2,True,HIGH,F,3/3,F,F,True,True,True,True,both_correct
678,T2,False,HIGH,13960,3/3,13960,13960,True,True,True,True,both_correct
683,T2,False,HIGH,-0.65,3/3,-0.65,-0.65,True,True,True,True,both_correct
686,T2,True,HIGH,D,3/3,D,D,True,True,True,True,both_correct
687,T2,False,HIGH,24500,3/3,24500,24500,True,True,True,True,both_correct
689,T2,False,HIGH,"45,43",3/3,"45, 43","45,43",True,True,True,True,both_correct
692,T2,False,HIGH,1.24,3/3,1.24,1.24,True,True,True,True,both_correct
697,T2,False,HIGH,60,3/3,60,60,True,True,True,True,both_correct
698,T2,False,HIGH,-50.92,3/3,-50.92,-50.92,True,True,True,True,both_correct
699,T2,False,HIGH,"6,3",3/3,"6, 3","6,3",True,True,True,True,both_correct
707,T2,False,HIGH,"5200,2600",3/3,"5200, 2600","5200,2600",True,True,True,True,both_correct
709,T2,True,HIGH,E,3/3,E,E,True,True,True,True,both_correct
717,T2,False,HIGH,7992,3/3,7992,7992,True,True,True,True,both_correct
719,T2,True,HIGH,E,3/3,E,E,True,True,True,True,both_correct
726,T2,False,HIGH,"7,48",3/3,"7, 48","7,48",True,True,True,True,both_correct
728,T2,False,HIGH,80000,3/3,80000,80000,True,True,True,True,both_correct
729,T2,True,HIGH,G,3/3,G,G,True,True,True,True,both_correct
730,T2,True,HIGH,I,3/3,I,I,True,True,True,True,both_correct
731,T2,True,HIGH,J,3/3,J,J,True,True,True,True,both_correct
732,T2,True,HIGH,H,3/3,H,H,True,True,True,True,both_correct
733,T2,False,HIGH,"68,247,97,17",3/3,"68, 247, 97, 17","68,247,97,17",True,True,True,True,both_correct
737,T2,False,HIGH,2140,3/3,2140,2140,True,True,True,True,both_correct
738,T2,False,HIGH,"A,C,A,A",3/3,"A, C, A, A","A,C,A,A",True,True,True,True,both_correct
741,T3,True,HIGH,H,3/3,H,H,True,True,True,True,both_correct
742,T2,False,HIGH,241.0,3/3,241.0,241.0,True,True,True,True,both_correct
743,T2,False,HIGH,430,3/3,430,430,True,True,True,True,both_correct
744,T2,False,MED,"26.875, 32.1875",3/3,"26.875, 32.1875","26.875,32.1875",True,True,True,True,both_correct
746,T2,False,HIGH,"17417,30856,808694,103863,876259,924095,21108",3/3,"17417, 30856, 808694, 103863, 876259, 924095, 21108","17417,30856,808694,103863,876259,924095,21108",True,True,True,True,both_correct
747,T2,True,HIGH,A,3/3,A,A,True,True,True,True,both_correct
752,T2,True,HIGH,D,3/3,D,D,True,True,True,True,both_correct
754,T3,False,MED,60x^2+65x,3/3,60x^2 + 65x,60x^2+65x,True,True,True,True,both_correct
755,T2,True,HIGH,F,3/3,F,F,True,True,True,True,both_correct
757,T3,False,MED,C,3/3,C,C,True,True,True,True,both_correct
758,T2,False,HIGH,C,3/3,C,C,True,True,True,True,both_correct
759,T3,False,MED,C,3/3,C,C,True,True,True,True,both_correct
762,T5,False,MED,2x(55x+21),3/3,110x^2 + 42x,2x(55x+21),True,False,True,False,adapter_win
765,T2,True,HIGH,A,3/3,A,A,True,True,True,True,both_correct
767,T2,True,HIGH,D,3/3,D,D,True,True,True,True,both_correct
768,T3,True,HIGH,G,3/3,G,G,True,True,True,True,both_correct
769,T2,False,HIGH,1620,3/3,1620,1620,True,True,True,True,both_correct
771,T2,False,HIGH,2,3/3,2,2,True,True,True,True,both_correct
774,T2,False,MED,"24, 28, 33, 39, 42",3/3,"24, 28, 33, 39, 42","24,28,33,39,42",True,True,True,True,both_correct
776,T5,False,MED,A,3/3,17 \frac{1}{2},A,True,False,True,False,adapter_win
777,T2,False,HIGH,8,3/3,8,8,True,True,True,True,both_correct
778,T2,True,HIGH,I,3/3,I,I,True,True,True,True,both_correct
782,T2,False,HIGH,-1517,3/3,-1517,-1517,True,True,True,True,both_correct
783,T2,True,HIGH,H,3/3,H,H,True,True,True,True,both_correct
788,T3,True,HIGH,A,3/3,A,A,True,True,True,True,both_correct
791,T2,True,HIGH,F,3/3,F,F,True,True,True,True,both_correct
795,T3,False,HIGH,"450, 2, 6",3/3,"450, 2, 6","a=450, b=2, T=6",True,True,False,False,both_correct
796,T2,True,HIGH,F,3/3,F,F,True,True,True,True,both_correct
797,T2,True,HIGH,C,3/3,C,C,True,True,True,True,both_correct
800,T2,False,HIGH,140,3/3,140,140,True,True,True,True,both_correct
803,T2,False,HIGH,124,3/3,124,124,True,True,True,True,both_correct
804,T2,True,HIGH,F,3/3,F,F,True,True,True,True,both_correct
807,T2,True,HIGH,E,3/3,E,E,True,True,True,True,both_correct
813,T2,False,HIGH,"A,C",3/3,"A, C","A,C",True,True,True,True,both_correct
815,T2,True,HIGH,H,3/3,H,H,True,True,True,True,both_correct
819,T2,True,HIGH,E,3/3,E,E,True,True,True,True,both_correct
820,T2,False,HIGH,15,3/3,15,15,True,True,True,True,both_correct
821,T2,False,HIGH,"C,A,A,A",3/3,"C, A, A, A","C,A,A,A",True,True,True,True,both_correct
