item_id,category,question_preview,sheet_best_answer,sheet_confidence,sheet_tier,sheet_n_agree,sheet_evidence,teacher_sonnet,teacher_gpt4,teacher_oss,wolfram_answer,wolfram_confidence,search_status,search_answer,search_source,backsolve_answer,backsolve_confidence,backsolve_tier
10,MCQ,What is the value of the integral $\int_{\mid z \mid=\rho} \frac{\mid\mathrm{d} z \mid} {\mid z-a \mid^{2}}$? Where $a \,E,72.17,4,21,backsolve+sub+teacher,I,E,E,,,NOT_FOUND,,,E,77.43,3
11,FREE,Consider simple linear regression with $n$ pairs of numbers $x_i;y_i$. Let ${\hat\beta}_0+{\hat\beta}_1x$ be the least s,0.9391,53.77,5,17,sub+teacher,0.9391,0.939,0.94 (approximately),0.939,consensus-only,,,,answer,55.37,4
12,FREE,A barnyard is full of chickens and pigs; and the total number of chicken feet and pig feet is $70$. (a) If there are $c$,"2c + 4p = 70,11",76.0,3,15,backsolve+sub+teacher+wolfram,"2c+4p=70,\ 11","2c+4p=70,11","2c+4p=70,11","2c + 4p = 70, 11",HIGH,,,,"2c+4p=70,\ 11",60.25,3
13,MCQ,Solve the integral: $$ \int \frac{ 6 }{ \cos(-4 \cdot x)^7 \cdot \sin(4 \cdot x) } \; dx $$,C,85.4,2,21,backsolve+sub+teacher,C,C,C,,,,,,C,99.0,1
14,FREE,Use logarithms to find an EXACT solution to the equation below. $7 \cdot 3^t=245$ $t=$ [ANS] (do NOT approximate your an,\frac{\log 35}{\log 3},35.58,5,9,sub+teacher,\frac{\ln(35)}{\ln(3)},\frac{\log 35}{\log 3},\displaystyle \frac{\ln 35}{\ln 3},,,,,,\dfrac{\ln 35}{\ln 3},96.23,1
15,FREE,Are the functions below polynomials? If they are; enter their degree. If not; enter NONE. $f(x)=x^{8}+4$ has degree [ANS,"8,NONE",87.98,2,19,backsolve+sub+teacher,"8,NONE","8,NONE","8,NONE",,,,,,"8, NONE",97.68,1
16,FREE,Rose and Brunno play the game on a board shaped like a regular 1001-gon. Initially; all vertices of the board are white;,501,71.89,4,16,sub+teacher,501,501,501,,,,,,858,63.1,3
17,MCQ,Let $a_0=1$; $a_1=2$; and $a_n=4a_{n-1}-a_{n-2}$ for $n\geq 2$. Find the least odd prime factor of $a_{2015}$.,C,68.27,4,16,sub+teacher,C,E,C,,,,,,E,63.1,3
18,MCQ,Dani has 45 marbles. She has 5 times as many marbles as Joe has. How many marbles does Joe have?,I,47.1,5,18,sub+teacher,H,H,H,,,,,,INVALID,45.37,4
19,MCQ,Consider the sequence defined by $j_0=1$; $j_1=2$; and $j_c=4j_{c-1}-j_{c-2}$ for $c\geq 2$. Determine the smallest odd ,E,47.2,5,14,sub+teacher,D,C,E,,,,,,D,63.1,3
20,FREE,A sample of prices for eight television sets available at a local electronics store is given below: 242 \quad 202 \quad ,"228,229,250",89.31,2,21,sub+teacher,"228, 229, 250","228,229,250","228,229,250",,,,,,229,49.19,4
21,FREE,The average life expectancy in the United States; $L$; has been rising steadily over the past few decades; as shown in t,"0.2915t + 56.93,67.43",32.14,5,11,sub+teacher,"L(t) = 0.2915t + 56.9333, = 67.43","L(t)=0.21917t+59.4667,\ 67.4","L(t)=0.2918t+56.93,\;67.4",,,,,,67.43,58.75,4
22,MCQ,Let $P$ be a polyhedron with $37$ faces; all of which are equilateral triangles; squares; or regular pentagons with equa,G,73.09,4,21,backsolve+sub+teacher,G,H,G,,,NOT_FOUND,,,G,77.43,3
23,MCQ,The distance between points $A$ and $B$ is 5 km. Person A walks from $A$ towards $B$; while Person B rides a bicycle fro,H,85.4,2,21,backsolve+sub+teacher,H,H,H,,,,,,H,99.0,1
24,FREE,Suppose that the line $\hat{y}=3+2x$ is fitted to the data points (-1;2); (2;7); and (5;13). Determine the sum of the sq,1,95.0,1,24,sub+teacher,1,1,1,,,GOLD,1,computed,2,81.65,2
25,FREE,$\begin{array}{cc}\hline Grade on Statistics Exam & Frequency \\ \hline Below 50 & 8 \\ \hline 50-59 & 6 \\ \hline 60-69,"\frac{8}{63},\frac{2}{21},\frac{11}{63},\frac{17}{63},\frac{13}{63},\frac{8}{63},8,14,25,42,55,63",43.4,5,6,sub+teacher,"\frac{8}{63},\frac{6}{63},\frac{11}{63},\frac{17}{63},\frac{13}{63},\frac{8}{63},8,14,25,42,55,63","\frac{8}{63},\frac{2}{21},\frac{11}{63},\frac{17}{63},\frac{13}{63},\frac{8}{63},8,14,25,42,55,63","\frac{8}{63},\frac{2}{21},\frac{11}{63},\frac{17}{63},\frac{13}{63},\frac{8}{63},8,14,25,42,55,63",,,GOLD,"8/63, 6/63, 11/63, 17/63, 13/63, 8/63",computed,"8, 14, 25, 42, 55, 63",83.39,2
26,MCQ,If $abc-ab-bc-ca+a+b+c=2008$ for positive integers $a$ ; $b$ ; and $c$ ; then determine the minimum value of $a+b+c$ .,I,72.17,4,21,backsolve+sub+teacher,H,I,I,,,GOLD,232,computed,I,77.43,3
27,FREE,Solve the following equations in the interval [0;2 $\pi$]. Note: Give the answer as a multiple of $\pi$. Do not use deci,"1/3,2/3,7/6,11/6",47.15,5,10,sub+teacher,"1/3, 2/3, 7/6, 11/6","\frac13,\frac23,\frac76,\frac{11}{6}","1/3,2/3,7/6,11/6",,,,,,"\frac{7}{6}, \frac{11}{6}",43.26,4
28,FREE,a) In a dictionary 16 pages are 1 millimeter thick. To find the thickness of 1120 pages we must (1) multiply or (2) divi,"2,70,1,768,2,140",86.71,2,20,sub+teacher,"2,70,1,768,2,140","2,70,1,768,2,140","2,70,1,768,2,140",,,,,,"2, 140.00",25.31,5
29,FREE,A mixture of 60 liters of paint is 25\% red tint; 30\% yellow tint and 45\% water. 8 liters of yellow tint are added to ,38.2\%,47.89,5,6,sub+teacher,38.2\%,38.2\%,38.2\%,,,,,,39,45.37,4
30,FREE,College officials want to estimate the percentage of students who carry a gun; knife; or other such weapon. How many ran,"2944,664",58.56,5,9,backsolve+sub+teacher,"2944, 664","2944,664","2944,664",,,,,,"2944, 664",67.78,3
31,FREE,Divide or state that the division is undefined. (In this case; enter undefined.) a) $ \frac{6}{-2}=$ [ANS] b) $ \frac{-1,"-3,42",87.98,2,19,backsolve+sub+teacher,"-3,42","-3,42","-3,42",,,,,,"-3, 42",97.68,1
32,FREE,The distance between $(4;-3)$ and $(-6;-4)$ is [ANS] The midpoint of the line segment that joins the given points is giv,"\sqrt{101},-1,-\frac{7}{2}",51.66,5,7,sub+teacher,"\sqrt{101},\ -1,\ -\frac{7}{2}","\sqrt{101},-1,-\frac{7}{2}","\sqrt{101},-1,-\frac{7}{2}",,,,,,"10.05, -1.000, -3.500",43.41,4
33,MCQ,A rectangle; $HOMF$; has sides $HO=11$ and $OM=5$. A triangle $ABC$ has $H$ as the intersection of the altitudes; $O$ th,F,73.09,4,21,backsolve+sub+teacher,F,H,F,,,GOLD,28,https://faculty.sites.iastate.edu/jmccullo/files/inline-files/s08_5.pdf,F,77.43,3
34,MCQ,Given the following values for a variable: minimum value is 3; first quartile (Q1) is 4.5; median is 9; third quartile (,J,85.4,2,21,backsolve+sub+teacher,J,J,J,,,,,,J,99.0,1
35,FREE,Applying a horizontal stretch by a factor of $p$ (where $p$ is a constant such that $p >1$) to $h (x)=\ln x$ is equivale,"down,\ln p",49.17,5,15,sub+teacher,"downward, \ln p","downward,\ln p","down,\ln p",,,,,,"\text{down}, \ln p",62.86,3
36,FREE,Multiply using the product rule: $(-8x^{5} y^{6})(-5x^{5} y^{3})$=[ANS],40x^{10}y^9,69.47,4,21,backsolve+sub+teacher,40x^{10}y^{9},40x^{10}y^9,40x^{10}y^{9},,,GOLD,40x^{10}y^9,trivial,40x^{10}y^9,77.43,3
37,FREE,Chucky takes his first step on January 1; 2000. Every day after that; he takes 31 more steps than the day before. Tommy ,"Tommy,Chucky,February 7",50.98,5,10,sub+teacher,"Tommy, Chucky, February 7","Tommy,Chucky,February\ 7","Tommy,Chucky,February 7",,,NOT_FOUND,,,"Tommy, Chucky, 7",83.28,2
38,MCQ,Calculate the following products: $$ \int_{C} \frac{d z} {( z-1 )^{2} ( z^{2}+1 )}; C_{1} x^{2}+y^{2}=2 ( x+y ) $$,B,85.4,2,21,backsolve+sub+teacher,B,B,B,,,,,,B,99.0,1
39,FREE,One piece of paper is approximately $17$ millimeters in thickness. A stack of paper is $8075$ millimeters tall. About ho,475,93.67,2,22,backsolve+sub+teacher,475,475,475,,,,,,475,99.0,1
40,FREE,A homing pigeon starts 800 miles from home and flies 50 miles toward home each day. Express the distance from home $D$; ,D = 800 - 50d,67.13,4,12,sub+teacher+wolfram,D = 800 - 50d,D=800-50d,D = 800 - 50d,D = 800 - 50d,HIGH,,,,INVALID,39.62,5
41,FREE,Consider a $2025 \times 2025$ grid of unit squares. Matilda wishes to place on the grid some rectangular tiles; possibly,4048,39.99,5,11,backsolve+sub+teacher+wolfram,3986,4048,4048,2112,HIGH,,,,4048,74.09,3
42,FREE,Lindsey thinks a certain potato chip maker is putting fewer chips in their regular bags of chips. From a random sample o,"No,Yes,A",87.98,2,19,backsolve+sub+teacher,"No, Yes, A","No,Yes,A","No,Yes,A",,,,,,"No, Yes, A",97.68,1
43,FREE,Use half angle formulas to fill in the blanks in the identity below: $(\sin(7x))^4$=[ANS] $-\frac{1}{2}\cos($ [ANS] $x)+,"0.3750,14,28",81.2,3,21,backsolve+sub+teacher,"\frac{3}{8},\ 14,\ 28","\frac38,14,28","\frac{3}{8},14,28",,,,,,"\dfrac{3}{8},\ 14,\ 28",59.19,4
44,FREE,Select True or False; depending on whether the corresponding statement is true or false. [ANS] 1. For each $x$ term in t,"True,True,True,False",85.39,2,18,backsolve+sub+teacher,"True, True, True, False","True,True,True,False","True,True,True,False",,,,,,"True, True, True, False",69.16,3
45,MCQ,We now define an algorithm: The definition of a(n) is the sequence where a(n) represents the number of male offspring in,J,47.1,5,18,sub+teacher,F,A,A,,,,,,A,55.37,4
46,FREE,A random sample of $100$ observations from a population with standard deviation $20.3575072960673$ yielded a sample mean,"1.645,1.719,1.960,-1.960,1.719,B,A",37.69,5,13,backsolve+sub+teacher,"1.645, 1.72, 1.96, -1.96, 1.72, B, A","1.645,1.7193,1.96,-1.96,1.7193,B,A","1.645,1.718,1.96,-1.96,1.718,B,A",,,,,,"1.645, 1.719, 1.960, -1.960, 1.719, B, A",72.87,3
47,MCQ,Find all natural numbers that satisfy $3^{m}-1$ being divisible by $2^{m}$.,F,85.4,2,21,backsolve+sub+teacher,F,F,F,,,,,,F,99.0,1
48,FREE,Rewrite the exponential equation $e^{-2} \approx 0.135$ in equivalent logarithmic form. There may be more than one corre,C,93.67,2,22,backsolve+sub+teacher,C,C,C,,,,,,C,99.0,1
49,FREE,Assume you are using a significance level of $\alpha=0.05$ to test the claim that $\mu < 17$ and that your sample is a r,0.0143,60.92,4,15,sub+teacher,0.0143,0.0143,0.014,,,,,,0.01433,38.36,5
50,FREE,An apple contains 140 calories and 3 g of fiber. A banana contains 150 calories and 4 g of fiber. Set up a system of equ,"140A + 150B = 5930,3A + 4B = 142",82.11,3,21,backsolve+sub+teacher,"140A+150B=5930,\ 3A+4B=142","140A+150B=5930,3A+4B=142","22,19,41",,,,,,"140A + 150B = 5930, 3A + 4B = 142",66.47,3
51,FREE,Using the multiplication table; compute $651 _{8} \times 32 _{8}$ $\begin{array}{cccccccc}\hline \times & 1 & 2 & 3 & 4 ,25452,47.1,5,18,sub+teacher,25452_8,25352_8,25452_{8},,,,,,25352_8,55.37,4
52,FREE,You work in a lab. One day you need 616 oz of a chemical solution consisting of three parts alcohol and five parts acid.,"231,385",87.98,2,19,backsolve+sub+teacher,"231,385","231,385","231,385",,,,,,"231, 385",97.68,1
53,MCQ,A bird is lost in a 3 by 3 by 3 cubical maze. The bird flies from room to room going to adjoining rooms with equal proba,F,85.4,2,21,backsolve+sub+teacher,F,F,F,,,,,,F,99.0,1
54,FREE,Let $P$ be a polygon formed by the edges of an infinite chessboard; which does not intersect itself. Let the numbers $a_,1,58.45,5,15,backsolve+sub+teacher,2,1,1,,,,,,1,74.09,3
55,FREE,Write an equation for $y$ in terms of $x$ if $y$ is proportional to the fourth power of $x$; and $y=405$ when $x=3$. [AN,y = 5x^4,50.01,5,11,sub+teacher,y = 5x^4,y=5x^4,y = 5x^{4},,,,,,5x^4,95.11,1
56,FREE,For each problem; select the best response. (a) Can one predict a student's score on the midterm exam in a statistics co,"D,D,A",87.98,2,19,backsolve+sub+teacher,"D,D,A","D,D,A","D,D,A",,,,,,"D, D, A",97.68,1
57,FREE,A rectangular plot; 19 ft by 18 ft; is to be used for a garden. It is decided to put a pavement inside the entire border,4,95.0,1,24,sub+teacher,4,4,4,,,GOLD,4,computed,5,81.65,2
58,FREE,Let $\mathbb{Z}_{>0}$ denote the set of positive integers. Let $f : \mathbb{Z}_{>0} \rightarrow \mathbb{Z}_{>0}$ be a fu,0,32.26,5,11,backsolve+sub+teacher,31,7,31,,,,,,0,95.51,1
59,FREE,Evaluate the numerical expression $343^\frac{2}{3}.$ Answer: [ANS] Note: You cannot use any operations except division (,49,93.67,2,22,backsolve+sub+teacher,49,49,49,,,,,,49,99.0,1
60,FREE,Suppose we were comparing the mean age of buyers of new domestic cars to the mean age of buyers of new imported cars. Wh,"C,A",87.98,2,19,backsolve+sub+teacher,"C,A","C,A","C,A",,,,,,"C, A",97.68,1
61,FREE,A local pet shop charges \$0.76 per cricket up to 150 crickets; and \$0.69 per cricket thereafter. Write a piecewise-def,"0.7600c,0,150,0.6900c + 10.50,150",28.51,5,10,backsolve+sub+teacher,"0.76c, 0, 150, 0.69c+10.50, 150","0.76c,0,150,0.69c+10.5,150","0.76c,0,150,0.69c+10.5,150",,,GOLD,0.76c if 0≤c≤150; 10.5+0.69c if c>150,computed,"0.7600c, 0, 150, 0.6900c + 10.50, 150",87.91,2
62,FREE,Multiply the following integers. ${(-1)\cdot(-5)\cdot(-3)=}$ [ANS] ${6\cdot(-8)\cdot(-4)=}$ [ANS] ${(-89)\cdot(-62)\cdot,"-15,192,0",87.98,2,19,backsolve+sub+teacher,"-15,192,0","-15,192,0","-15,192,0",,,,,,"-15, 192, 0",97.68,1
63,FREE,The following data were drawn from a normal population. Find a 92.4\% confidence interval for the mean. \begin{array}{cc,"15.84,18.96",40.29,5,14,backsolve+sub+teacher,"18.96, 15.84","18.903,15.897","18.96,15.84",,,NOT_FOUND,,,"15.84, 18.96",81.86,2
64,FREE,A population of animals oscillates sinusoidally between a low of 500 on January 1 and a high of 1200 on July 1. Graph th,P(t) = 850 - 350\cos(\frac{\pi}{6}t),23.77,0,2,sub+teacher,P(t) = 850 - 350\cos\!(\frac{\pi}{6}t),P(t)=850-350\cos(\frac{\pi t}{6}),P(t)=850-350\cos(\frac{\pi}{6}t),,,,,,850 - 350 \cos\left(\frac{\pi}{6} t\right),45.48,4
65,FREE,Multiply: (Note: If necessary; use fractions not decimals.) a) $\frac{3}{7}(-2)=$ [ANS] b) $\frac{2}{3}(\frac{3}{7})=$ [,"-\frac{6}{7},\frac{2}{7}",85.27,2,18,backsolve+sub+teacher,"-\frac{6}{7},\frac{2}{7}","-\frac{6}{7},\frac{2}{7}","-\frac{6}{7},\frac{2}{7}",,,,,,"-\dfrac{6}{7}, \dfrac{2}{7}",53.47,4
66,FREE,A pilot flies in a straight path for 1 hour and 30 min. She then makes a course correction; heading 10 degrees to the ri,2354,57.65,5,18,backsolve+sub+teacher,2354,2353.64,2354 miles,,,,,,2354,77.0,3
67,FREE,In the year 2004; a total of 7.6 million passengers took a cruise vacation. The global cruise industry has been growing ,"7.6(1.09)^t,13.9,5.4",37.78,5,8,sub+teacher+wolfram,"7.6(1.09)^t,\ 13.89,\ 5.38","7.6(1.09)^t,13.9,5.4","7.6(1.09)^t,\;13.9,\;5.38","7.6(1.09)^t, 13.9, 5.4",HIGH,,,,"7.6(1.09)^t, 13.89, 5.384",22.05,5
68,FREE,Suppose you want to test the claim the paired sample data given below come from a population for which the mean differen,"-2.857,6.986,-1.082,3.707,-3.707,A,-12.647,6.933",26.56,5,6,sub+teacher+wolfram,"-2.857,\ 6.986,\ -1.082,\ 3.707,\ -3.707,\ A,\ -12.646,\ 6.932","-2.857,3.760,-2.011,3.707,-3.707,A,-8.124,2.410","-2.857,6.985,-1.082,3.707,-3.707,No,-12.652,6.938","-2.857, 6.986, -1.082, 3.707, -3.707, A, -12.647, 6.933",HIGH,,,,5.442,40.62,4
69,MCQ,The function $f(x)=\frac{x \sin^2 x}{1+\sin x}$; then the integral $\int_0^{\pi} f(x)dx=$().,G,81.35,3,22,backsolve+sub+teacher,G,"None of the listed options;  \int_0^\pi f(x)\,dx=\frac{\pi^2-2\pi}{2}",G,,,NOT_FOUND,,,G,77.43,3
70,FREE,A school just won a grant; and decided to spend ${{\textstyle\frac{5}{8}}}$ of the grant to purchase new equipment. The ,\frac{5}{56},93.67,2,22,backsolve+sub+teacher,\frac{5}{56},\frac{5}{56},\frac{5}{56},,,,,,\dfrac{5}{56},61.66,3
71,FREE,You are working on a new temperature scale that will unify the earth. After some thought you decide to call it the-unive,"1.160,18.00",93.08,2,22,backsolve+sub+teacher,"29/25,18","\frac{29}{25},18","29/25,18",,,,,,"29/25,18",59.19,4
72,FREE,If $\sin(A)=0.55$ and $\cos(A) < 0$; determine: $\cos(A)=$ [ANS] $\sin(2A)=$ [ANS] $\cos(2A)=$ [ANS] $\tan(2A)=$ [ANS] T,"-0.8352,-0.9187,0.3950,-2.3258,Quadrant IV",37.78,5,8,sub+teacher+wolfram,"-0.8352, -0.9187, 0.3950, -2.3257, Quadrant IV","-0.8352,-0.9187,0.3950,-2.3258,Quadrant IV","-0.8352,-0.9187,0.3950,-2.3258,IV","-0.8352, -0.9187, 0.3950, -2.3258, Quadrant IV",HIGH,,,,IV,35.78,5
73,MCQ,Given $X \sim N(0; 1); Y \sim N(0; 1)$ and they are independent. Let $U = X^{2} + Y^{2}$; $V = \frac{X}{Y}$. Find the jo,E,85.4,2,21,backsolve+sub+teacher,E,E,E,,,,,,E,99.0,1
74,FREE,To test the efficacy of a new cholesterol-lowering medication; 10 people are selected at random. Each has their LDL leve,"12.32,25.08",32.26,5,11,backsolve+sub+teacher,"[12.306, 25.094]","(12.30,\ 25.10)","(12.3,\;25.1)",,,,,,"12.32, 25.08",62.8,3
75,FREE,Mike can be paid in one of two ways based on the amount of merchandise he sells: Plan A: A salary of $\$1{;}100.00$ per ,x > 21250,93.24,2,23,backsolve+sub+teacher,x > 21250,x>21250,x > 21250,,,GOLD,x > 21250,computed,x > 21250,77.43,3
76,FREE,6-10=[ANS].-6-5=[ANS].-9-(-12)=[ANS]. 20-(-13)=[ANS].-18-14=[ANS].-18-(-27)=[ANS]. 15-29=[ANS].-26-(-13)=[ANS].,"-4,-11,3,33,-32,9,-14,-13",87.98,2,19,backsolve+sub+teacher,"-4,-11,3,33,-32,9,-14,-13","-4,-11,3,33,-32,9,-14,-13","-4,-11,3,33,-32,9,-14,-13",,,,,,"-4, -11, 3, 33, -32, 9, -14, -13",97.68,1
77,FREE,A study of human development showed two types of movies to a group of children. Crackers were available in a bowl; and t,"C,D,A",35.09,5,5,sub+teacher,"D,D,A","C,D,A","C,D,A",,,,,,A,75.26,3
78,MCQ,If distance of the origin from the plane passing through the point $(2;2;1)$ and $(9;3;6)$ and perpendicular to the plan,A,93.67,2,22,backsolve+sub+teacher,A,A,A,,,,,,A,99.0,1
79,FREE,Add these together: ${3+\frac{4}{7}}$ When needed; use an improper fraction in your answer. Don’t use a mixed number. [A,\frac{25}{7},93.67,2,22,backsolve+sub+teacher,\frac{25}{7},\frac{25}{7},\frac{25}{7},,,,,,\frac{25}{7},99.0,1
80,MCQ,Simplify the fraction by rationalizing the denominator: $$\frac{4}{\sqrt{108}+2\sqrt{12}+2\sqrt{27}}.$$,G,85.4,2,21,backsolve+sub+teacher,G,G,G,,,,,,G,99.0,1
81,FREE,Suppose there are three sections of a Statistics course taught by the same instructor. The class averages for each secti,79.41,74.0,4,21,backsolve+sub+teacher,79.41,79.41,\frac{1747}{22},,,GOLD,79.41,computed,79.41,77.43,3
82,FREE,There are several sections of statistics; some in the morning (AM) and some in the afternoon (PM). We want to see if aft,"\text{No},1.309,1.677,\text{No}",18.01,0,6,sub+teacher,"1.323, 1.677, No, there is not sufficient evidence to support the claim","1.32,1.677,No","1.32,1.68,No",,,,,,"1.309, 1.677, \text{No}",47.97,4
83,FREE,Let $n > 1$ be an integer. In a configuration of an $n \times n$ board; each of the $n^2$ cells contains an arrow; eithe,6,32.26,5,11,backsolve+sub+teacher,1420,355,165,,,,,,6,70.82,3
84,FREE,Subtract the following integers: ${4-8=}$ [ANS] ${8-3=}$ [ANS] ${3-14=}$ [ANS],"-4,5,-11",87.98,2,19,backsolve+sub+teacher,"-4,5,-11","-4,5,-11","-4,5,-11",,,,,,"-4, 5, -11",97.68,1
85,MCQ,In a group of 1000 people; at least how many people have to share the same birthday?,F,85.4,2,21,backsolve+sub+teacher,F,F,F,,,,,,F,99.0,1
86,FREE,A gym charges members ${\$35}$ for a registration fee; and then ${\$32}$ per month. You became a member some time ago; a,16,93.67,2,22,backsolve+sub+teacher,16,16,16,,,,,,16,99.0,1
87,FREE,"Determine whether the follow descriptions correspond to an observational study or an experiment. Write ""EXPERIMENT"" for ","OBSERVATION,OBSERVATION,EXPERIMENT",87.98,2,19,backsolve+sub+teacher,"OBSERVATION,OBSERVATION,EXPERIMENT","OBSERVATION,OBSERVATION,EXPERIMENT","OBSERVATION,OBSERVATION,EXPERIMENT",,,,,,"OBSERVATION, OBSERVATION, EXPERIMENT",95.52,1
88,MCQ,We now define an algorithm: The definition of a(n) is the number of possible decompositions of the polynomial $n * (x + ,C,82.27,3,22,backsolve+sub+teacher,C,C,A,,,NOT_FOUND,,,C,77.43,3
89,FREE,Initially; you have lost 20;000 dollars in the stock market and you continue to lose 350 dollars per month. In how many ,\frac{326}{7},64.33,4,14,sub+teacher+wolfram,46.57,\frac{326}{7},\frac{326}{7},\frac{326}{7},HIGH,,,,46.57,74.12,3
90,FREE,Find the nth term of the arithmetic sequence whose initial term is $8$ and common difference is $7$. [ANS] (Your answer ,7n+1,93.67,2,22,backsolve+sub+teacher,7n+1,7n+1,7n+1,,,,,,7n + 1,99.0,1
91,MCQ,"We now define an algorithm: The definition of a(n) is numbers n such that there are no carries when n is squared by ""lon",J,68.62,4,19,backsolve+sub+teacher,J,H,J,,,,,,J,76.72,3
92,MCQ,Find the value of the integral $$ I=\! \int_{0}^{1} \frac{x^{m-1}} {1+x^{n}} \mathrm{d} x \ $$.,E,85.4,2,21,backsolve+sub+teacher,E,E,E,,,,,,E,99.0,1
