id,expected,broken_kind,comp_class,computable,q_preview,current_last_boxed,sympy_result,sympy_confidence,notes
499,4,under_count,statistics,True,"In July 2005, the internet was linked by a global network of about 352.7 million host computers. The number of host computers has been growing approximately exponentially and was about 36.9 million in",2.149,,,
505,6,under_count,unknown,False,Suppose $f(x)=-26-39x^1+37x^2+27x^3+10x^4+1x^5$ is factored using Horner's Method Horner's Method into the nested form $f({\color{Blue} x})=-26+{\color{Blue} x}$ $(-39+{\color{Blue} x}$ $(37+{\color{B,2,,,
519,3,under_count,statistics,True,Assume that the number of bacteria follows an exponential growth model: $ P(t)=P_0 e^{kt}$. The count in the bacteria culture was 700 after 15 minutes and 1600 after 40 minutes. (a) What was the initi,98.30,,,
527,5,under_count,unknown,False,"A microchip inspector found eight defective chips in a batch containing $700$ chips. At that rate, determine the number of defective chips in a batch of $25000$ chips. Write a proportion describing th",285.7,,,
548,2,under_count,statistics,True,"The selling price of a textbook is \$144.00. If the markup is 20\% of the bookstore's cost, what is the bookstore's cost of the textbook? a) Write an equation to model the problem. Use x to represent ",120.00,,,
578,3,under_count,statistics,True,A random sample of 49 female cottonmouth snakes yielded a sample mean of 8.31 snakes per litter. Assume that $\sigma=2.4$. a) Use the data provided above to obtain an approximate 95.44\% confidence in,95.44,,,
584,2,under_count,unknown,False,"A mass is oscillating on the end of a spring. The distance, $y$, of the mass from its equilibrium point is given by the formula y=7 z \cos (12 \pi w t) where $y$ is in centimeters, $t$ is time in seco",6.000,,,
585,5,under_count,statistics,True,"It is considered quite common to have feet of unequal length. In a sample of 10 healthy college students the right-foot and left-foot lengths are given (in mm). Test the claim that, on average, there ","-0.2235, 2.262, -2.262",,,
587,4,under_count,statistics,True,This is a problem on interpretation of regression equations which have quadratic terms in explanatory variables. Context of data set: A paper helicopter experiment (http://www.paperhelicopterexperimen,A,,,
591,8,under_count,algebra,True,Here is a little more review concerning trig functions. Using the formula for sin() and cos() of the sum of two angles. $2\cos(6x+1)=$ [ANS] $\cos(6x)$-[ANS] $\sin(6x)$ $2\sin(5x+2)=$ [ANS] $\cos(5x)$,"3.162, -0.3218, 4.123, 1.326",,,
595,2,under_count,unknown,False,"This question concerns the likelihood for logistic regression. Suppose your data consist of $(x_i,y_i),i=1,\ldots,165$, with values (8,0), (6,1), (7,1), (8,1), (4,0), (4,0),... Part a) Consider the li",\text{product},,,
601,2,under_count,unknown,False,Factor the expression and simplify your answer as much as possible: $6 s^2+s-1=\big($ [ANS] $\big) \big($ [ANS] $\big)$,(3s - 1)(2s + 1),,,
622,4,under_count,statistics,True,There is a lot of interest in the relationship between studying music and studying math. We will look at some sample data that investigates this relationship. Here are the Math SAT scores from 9 stude,"3.854, 2.567, \text{Yes}",,,
633,2,under_count,algebra,True,(a) What operation on both sides of the equation $7x=56$ isolates the variable on one side? There may be more than one correct answer. [ANS] A. Multiplying by $7$  B. Multiplying by $1/7$  C. Adding $,8.000,,,
638,4,under_count,statistics,True,"An Office of Admission document claims that 55.9\% of UVA undergraduates are female. To test this claim, a random sample of 225 UVA undergraduates was selected. In this sample, 56.4\% were female. Is ",D,,,
657,8,under_count,statistics,True,The purpose of this question is to compare the variability of $\overline{x}_1$ and $\overline{x}_2$ with the variability of $(\overline{x}_1-\overline{x}_2)$. (a) $\ $ Suppose the first sample of $100,10.33,,,
676,3,under_count,proof,False,One hundred volunteers who suffer from severe depression are available for a study. Fifty are selected at random and are given a new drug that is thought to be particularly effective in treating sever,A,,,
708,2,under_count,unknown,False,One number is $9$ less than a second number. Find a pair of such number that their product is as small as possible. These two numbers are [ANS]. (Use a comma to separate your numbers.) The smallest po,-20.25,,,
715,4,under_count,statistics,True,"Consider the population of four juvenile condors. Their weights in pounds are: 5, 7, 9, 13 (a) Let $x$ be the weight of a juvenile condor. Write the possible unique values for $x$: (NOTE: Separate eac",8.500,,,
721,3,under_count,statistics,True,"For each problem, select the best response. (a) How much do you plan to spend for gifts this holiday season? How much do you plan to spend for gifts this holiday season? An interviewer asks this quest",A,,,
748,12,under_count,probability,True,"It has been suggusted that the highest priority of retirees is travel. Thus, a study was conducted to investigate the differences in the length of stay of a trip for pre-and post-retirees. A sample of",B,,,
749,6,under_count,calculus,True,"Consider the sequence 9, 14, 19, 24, 29, 34... Compute the difference between successive terms and enter your answer as a list. (For example, if the sequence were 2, 5, 9, you would enter the comma se","9 + 5n, (-1)^{n+1}(5n + 9)",,,
750,3,under_count,unknown,False,"Oil leaks from a tank. At hour $t=0$ there are 350 gallons of oil in the tank. Each hour after that, 5\% of the oil leaks out. (a) What percent of the original 350 gallons has leaked out after 9 hours","C, E",,,
753,4,under_count,unknown,False,"Steadia is an island which experienced approximately linear population growth from 1950 to 2000. On the other hand, Randomian has experienced some turmoil more recently and did not experience linear n",16.56,,,
787,3,under_count,calculus,True,"A country's consumption of iron increases 5.7\% per year. Assuming this rate of increase, its demand during the next year will be 8,000,000 tons. The country has 158 years of iron reserves at this rat",47.00,,,
793,4,under_count,statistics,True,"A manufacturer of light bulbs advertises that, on average, its long-life bulb will last more than 5300 hours. To test this claim, a statistician took a random sample of 103 bulbs and measured the amou",D,,,
818,2,under_count,unknown,False,Write the expression as a single fraction. Simplify your answer. $\begin{array}{cccc}\hline &  \frac{6}{a}+\frac{5}{b}=& & [ANS] [ANS] \\ \hline \end{array}$,\frac{5a + 6b}{ab},,,
858,4,under_count,statistics,True,"It is widely accepted that people are a little taller in the morning than at night. Here we perform a test on how big the difference is. In a sample of 35 adults, the mean difference between morning h","2.300, 1.691, Yes",,,
886,2,under_count,statistics,True,"In developing an interval estimate for a population mean, a sample of 50 observations was used. The interval estimate was $19.76 \pm 1.32$. Had the sample size been 200 instead of 50, the interval est",C,,,
889,2,under_count,unknown,False,"Decide whether the expression \frac{20 y}{4 y+5} can be put in the form \frac{ax}{a+x}, where $a$ is a constant and $x$ may involve variables. If it can be put in this form, identify $a$ and $x$. If i",4y,,,
890,4,under_count,unknown,False,A study investigated the effect of the length and the repetition of TV advertisements on students' desire to eat at a Sub-U-Like sandwich franchise. Sixty students watched a 50-minute television progr,6,,,
894,8,under_count,algebra,True,"The variables are x=SP500 market monthly log return and y=monthly return of American Express for 48 months beginning in January 2009. For input into R, the data vectors for monthly market return and m",9,,,
917,3,under_count,statistics,True,The time in hours for a worker to repair an electrical instrument is a Normally distributed random variable with a mean of $\mu$ and a standard deviation of 50. The repair times for 12 such instrument,43,,,
924,2,under_count,statistics,True,"According to one mathematical model, the average life expenctancy for American men born in 1900 was 55 years. Life expectancy has increased by about 0.2 year for each birth year after 1900. If this tr",2010,,,
929,3,under_count,statistics,True,"Some car tires can develop what is known as ""heel and toe"" wear if not rotated after a certain mileage. To assess this issue, a consumer group investigated the tire wear on two brands of tire, A and B",A,,,
