item_id,question,predicted_kaggle_answer,confidence_pct,tier
26,"If $abc-ab-bc-ca+a+b+c=2008$ for positive integers $a$ , $b$ , and $c$ , then determine the minimum value of $a+b+c$ .",I,77.43,3
27,"Solve the following equations in the interval [0,2 $\pi$]. Note: Give the answer as a multiple of $\pi$. Do not use decimal numbers. The answer should be a fraction or an integer. Note that $\pi$ is already included in the answer so you just have to enter the appropriate multiple. E.g. if the answer is $\pi/2$ you should enter 1/2. If there is more than one answer enter them separated by commas. $\sin(t)=\frac{\sqrt{3}}{2}$ t=[ANS] $\pi$ $\sin(t)=-\frac{1}{2}$ t=[ANS] $\pi$","\frac{7}{6}, \frac{11}{6}",43.26,4
28,"a) In a dictionary 16 pages are 1 millimeter thick. To find the thickness of 1120 pages we must (1) multiply or (2) divide Answer 1 or 2. [ANS]. The thickness is [ANS] mm. b) A book contains 12 sections with 64 pages each. To find the total number of pages in the book we must (1) multiply or (2) divide Answer 1 or 2. [ANS]. The book has [ANS] pages. c) A book company has received an order for 3920 books. If there are 28 books in each box, to find out how many boxes are needed 
we must (1) multiply or (2) divide Answer 1 or 2. [ANS]. The company needs [ANS] boxes.","2, 140.00",25.31,5
29,"A mixture of 60 liters of paint is 25\% red tint, 30\% yellow tint and 45\% water. 8 liters of yellow tint are added to the original mixture. The percent of yellow tint in the new mixture is [ANS]. Answer must be correct to 1 decimal place.",39,45.37,4
30,"College officials want to estimate the percentage of students who carry a gun, knife, or other such weapon. How many randomly selected students must be surveyed in order to be $97$ \% confident that the sample percentage has a margin of error of $2$ percentage points?
(a) $\ $ Assume that there is no available information that could be used as an estimate of $\hat{p}$. Answer: [ANS]
(b) $\ $ Assume that another study indicated that $6$ \% of college students carry weapons.
Answer: [ANS]","2944, 664",67.78,3
31,"Divide or state that the division is undefined. (In this case, enter undefined.) a) $ \frac{6}{-2}=$ [ANS]
b) $ \frac{-126}{-3}=$ [ANS]","-3, 42",97.68,1
32,"The distance between $(4,-3)$ and $(-6,-4)$ is [ANS]
The midpoint of the line segment that joins the given points is given by: $($ [ANS], [ANS] $)$.","10.05, -1.000, -3.500",43.41,4
33,"A rectangle, $HOMF$, has sides $HO=11$ and $OM=5$. A triangle $ABC$ has $H$ as the intersection of the altitudes, $O$ the center of the circumscribed circle, $M$ the midpoint of $BC$, and $F$ the foot of the altitude from $A$. What is the length of $BC$?",F,77.43,3
34,"Given the following values for a variable: minimum value is 3, first quartile (Q1) is 4.5, median is 9, third quartile (Q3) is 10.5, and maximum value is 20, which of the following statements is correct?",J,99.0,1
35,Applying a horizontal stretch by a factor of $p$ (where $p$ is a constant such that $p >1$) to $h (x)=\ln x$ is equivalent to applying what shift to $h$? Give both the direction and the amount of the shift (in terms of $p$). Answer: This is equivalent to applying a shift [ANS] by [ANS] units.,"\text{down}, \ln p",62.86,3
36,Multiply using the product rule: $(-8x^{5} y^{6})(-5x^{5} y^{3})$=[ANS],40x^{10}y^9,77.43,3
37,"Chucky takes his first step on January 1, 2000. Every day after that, he takes 31 more steps than the day before. Tommy takes his first steps on February 1, 2000. On that day, Tommy takes 11 steps. Every day after that, Tommy takes twice as many steps as the day before. Who walks farther on Valentine's Day? [ANS]
Who walks farther on Groundhog Day? [ANS]
What is the last day in February that Chucky walks farther than Tommy? [ANS]
Note: Your answer to parts one and two should be names. Your answer to part three should be the last day in February that Chucky takes more steps than Tommy.","Tommy, Chucky, 7",83.28,2
38,"Calculate the following products:
$$
\int_{C} \frac{d z} {( z-1 )^{2} ( z^{2}+1 )}, C_{1} x^{2}+y^{2}=2 ( x+y )
$$",B,99.0,1
39,One piece of paper is approximately $17$ millimeters in thickness. A stack of paper is $8075$ millimeters tall. About how many pieces of paper are there in the stack? Solution: There are about [ANS] pieces of paper in the stack.,475,99.0,1
40,"A homing pigeon starts 800 miles from home and flies 50 miles toward home each day. Express the distance from home $D$, in miles, as a function of the number of days $d$. Enter your answer as an equation with $D$ on the left side, and an expression involving $d$ on the right. [ANS]",INVALID,39.62,5
41,"Consider a $2025 \times 2025$ grid of unit squares. Matilda wishes to place on the grid some rectangular tiles, possibly of different sizes, such that each side of every tile lies on a grid line and every unit square is covered by at most one tile.
Determine the minimum number of tiles Matilda needs to place so that each row and each column of the grid has exactly one unit square that is not covered by any tile.",4048,74.09,3
42,"Lindsey thinks a certain potato chip maker is putting fewer chips in their regular bags of chips. From a random sample of 17 bags of potato chips she calculated a P value of 0.095 for the sample.
(a) At a 5\% level of significance, is there evidence that Lindsey is correct? (Type: Yes or No): [ANS]
(b) At a 10\% level of significance, is there evidence that she is correct? (Type: Yes or No): [ANS]
(c) In a statistical test of hypotheses, we say that the data are statistically significant at level $\alpha$ if [ANS] A. the P-value is less than $\alpha$.  B. the P-value is larger than $\alpha$.  C. $\alpha$ is small.  D. $\alpha=0.05$.","No, Yes, A",97.68,1
43,Use half angle formulas to fill in the blanks in the identity below: $(\sin(7x))^4$=[ANS] $-\frac{1}{2}\cos($ [ANS] $x)+\frac{1}{8}\cos ($ [ANS] $x)$,"\dfrac{3}{8},\ 14,\ 28",59.19,4
44,"Select True or False, depending on whether the corresponding statement is true or false.
[ANS] 1. For each $x$ term in the multiple regression equation, the corresponding $\beta$ is referred to as a partial regression coefficient. [ANS] 2. In reference to the equation $\hat{y}=-0.80+0.12x_1+0.08x_2$, the value-0.80 is the $y-$ intercept. [ANS] 3. In a multiple regression problem involving 24 observations and three independent variables, the estimated regression equation is $\hat{y}=72+3.2x_1+1.5x_2-x_3$. For this model, $SST=800$ and $SSE=245$. The value of the $F$ statistic for testing the significance of this model is 15.102. [ANS] 4. In order to test the significance of a multiple regression model involving 4 independent variables and 25 observations, the numerator and denominator degrees of freedom (respectively) for the critical value of $F$ are 3 and 21.","True, True, True, False",69.16,3
45,"We now define an algorithm: The definition of a(n) is the sequence where a(n) represents the number of male offspring in a hypothetical population modelled by two interrelated recurrences, tracking the growth of both male and female populations over time. Given the input x_list (a series of values): [64, 65, 66, 67, 68, 69, 70, 71, 72, 73], determine the corresponding output sequence y_list.",A,55.37,4
46,"A random sample of $100$ observations from a population with standard deviation $20.3575072960673$ yielded a sample mean of $93.5$.
(a) $\ $ Given that the null hypothesis is $\mu=90$ and the alternative hypothesis is $\mu > 90$ using $\alpha=.05$, find the following: (i) $\ $ critical $z$ score $\ $ [ANS]
(ii) $\ $ test statistic $=$ [ANS]
(b) $\ $ Given that the null hypothesis is $\mu=90$ and the alternative hypothesis is $\mu \ne 90$ using $\alpha=.05$, find the following: (i) $\ $ the positive critical $z$ score $\ $ [ANS]
(ii) $\ $ the negative critical $z$ score $\ $ [ANS]
(iii) $\ $ test statistic $=$ [ANS]
The conclusion from part (a) is: [ANS] A. There is insufficient evidence to reject the null hypothesis  B. Reject the null hypothesis  C. None of the above
The conclusion from part (b) is: [ANS] A. There is insufficient evidence to reject the null hypothesis  B. Reject the null hypothesis  C. None of the above","1.645, 1.719, 1.960, -1.960, 1.719, B, A",72.87,3
47,Find all natural numbers that satisfy $3^{m}-1$ being divisible by $2^{m}$.,F,99.0,1
48,Rewrite the exponential equation $e^{-2} \approx 0.135$ in equivalent logarithmic form. There may be more than one correct answer. [ANS] A. $-1 \approx \ln(0.135)$  B. $-2 \approx \log(0.135)$  C. $-2 \approx \ln(0.135)$  D. $0.135 \approx \log(-2)$  E. None of the above,C,99.0,1
49,"Assume you are using a significance level of $\alpha=0.05$ to test the claim that $\mu < 17$ and that your sample is a random sample of $45$ values. Find $\beta$, the probability of making a type II error (failing to reject a false null hypothesis), given that the population actually has a normal distribution with $\mu=13$ and $\sigma=7.$ $\beta=$ [ANS]",0.01433,38.36,5
50,"An apple contains 140 calories and 3 g of fiber. A banana contains 150 calories and 4 g of fiber. Set up a system of equations that could be solved to determine the number of apples ($A$) and bananas ($B$) that should be eaten to obtain 5930 calories and 142 g of fiber. Equation 1: [ANS]
Equation 2: [ANS]","140A + 150B = 5930, 3A + 4B = 142",66.47,3
51,"Using the multiplication table, compute $651 _{8} \times 32 _{8}$
$\begin{array}{cccccccc}\hline \times & 1 & 2 & 3 & 4 & 5 & 6 & 7 \\ \hline 1 & 1 & 2 & 3 & 4 & 5 & 6 & 7 \\ \hline 2 & 2 & 4 & 6 & 10 & 12 & 14 & 16 \\ \hline 3 & 3 & 6 & 11 & 14 & 17 & 22 & 25 \\ \hline 4 & 4 & 10 & 14 & 20 & 24 & 30 & 34 \\ \hline 5 & 5 & 12 & 17 & 24 & 31 & 36 & 43 \\ \hline 6 & 6 & 14 & 22 & 30 & 36 & 44 & 52 \\ \hline 7 & 7 & 16 & 25 & 34 & 43 & 52 & 61 \\ \hline \end{array}$ 61 $651 _{8} \times 32 _{8}=$ [ANS] (Write your answer in base 8, of course.)",25352_8,55.37,4
52,You work in a lab. One day you need 616 oz of a chemical solution consisting of three parts alcohol and five parts acid. How much of each should be used? Answer: [ANS] oz of alcohol and [ANS] oz of acid,"231, 385",97.68,1
53,"A bird is lost in a 3 by 3 by 3 cubical maze. The bird flies from room to room going to adjoining rooms with equal probability through each of the walls. To be specific, the corner rooms have 3 exits. What is the entropy rate of this random walk? Use base 2 logarithm and return the entropy rate in bits.",F,99.0,1
54,"Let $P$ be a polygon formed by the edges of an infinite chessboard, which does not intersect itself. Let the numbers $a_1,a_2,a_3$ represent the number of unit squares that have exactly $1,2\text{ or } 3$ edges on the boundary of $P$ respectively. Find the largest real number $k$ such that the inequality $a_1+a_2>ka_3$ holds for each polygon constructed with these conditions.",1,74.09,3
55,"Write an equation for $y$ in terms of $x$ if $y$ is proportional to the fourth power of $x$, and $y=405$ when $x=3$. [ANS]",5x^4,95.11,1
56,"For each problem, select the best response.
(a) Can one predict a student's score on the midterm exam in a statistics course from the number of hours the student spent studying for the exam? To explore this, the teacher of the course asks students how many hours they spent studying for the exam and then makes a scatterplot of the time students spent studying and their scores on the exam. In making the scatterplot, the teacher should [ANS] A. plot the score on the exam on the horizontal axis.  B. first determine if the scores on the exam approximately follow a normal distribution.  C. use a plotting scale that makes the overall trend roughly linear.  D. plot time spent studying for the exam on the horizontal axis.  E. None of the above.
(b) A gambler conducts a study to determine whether the time it took a horse to run its last race can be used to predict the time it takes the horse to run its next race. In this study, the explanatory variable is [ANS] A. all horses used in the study.  B. the time it takes a horse to run its next race.  C. the gambler's winnings.  D. the time it took a horse to run its last race.  E. None of the above.
(c) Does mandatory gun ownership prevent crime? To study this, the number of burglaries committed each month in a small town were recorded for 75 months prior to passage of a bill requiring citizens to own guns and for 56 months after passage of the bill. The goal was to see if the number of burglaries committed was affected by requiring citizens to own guns. The response variable here is [ANS] A. the number of burglaries committed.  B. whether or not a burglary was committed by a gun owner.  C. the number of guns owned.  D. whether or not gun ownership is required by law.  E. None of the above.","D, D, A",97.68,1
57,"A rectangular plot, 19 ft by 18 ft, is to be used for a garden. It is decided to put a pavement inside the entire border so that 110 square feet of the plot is left for flowers. How wide should the pavement be? Answer: [ANS] feet",5,81.65,2
58,"Let $\mathbb{Z}_{>0}$ denote the set of positive integers. Let $f : \mathbb{Z}_{>0} \rightarrow \mathbb{Z}_{>0}$ be a function satisfying the following property: for $m,n \in \mathbb{Z}_{>0}$, the equation
\[
f(mn)^2 = f(m^2)f(f(n))f(mf(n))
\]holds if and only if $m$ and $n$ are coprime.

Let $S_n$ denote the set of all possible values of $f(n)$ that are strictly smaller than $n$. Determine $\sum_{n=1}^20 \sum{k \in S_n} k$.    ",0,95.51,1
59,"Evaluate the numerical expression $343^\frac{2}{3}.$ Answer: [ANS]
Note: You cannot use any operations except division (/) and negation (-). You cannot use any operations except division (/) and negation (-).",49,99.0,1
60,"Suppose we were comparing the mean age of buyers of new domestic cars to the mean age of buyers of new imported cars.
What is the variable under consideration? [ANS] A. buyers of imported cars  B. buyers of domestic cars  C. age of buyers  D. None of the above
What are the two populations under consideration? [ANS] A. buyers of new domestic cars and buyers of new imported cars  B. cars and buyers  C. age of buyers of new domestic cars and age of buyers of new imported cars  D. None of the above","C, A",97.68,1
61,"A local pet shop charges \$0.76 per cricket up to 150 crickets, and \$0.69 per cricket thereafter. Write a piecewise-defined linear function which calculates the price $P$, in dollars, of purchasing $c$ crickets.
$\begin{array}{cccc}\hline &  P(c)=\left\lbrace \begin{array}{cc} &\\ &\\ &\\ &\\ &\\ &\\ &\\ &\\ &\\ &\\ \end{array}\right. & & [ANS]if [ANS] \leq c \leq [ANS] [ANS]if c > [ANS] \\ \hline \end{array}$","0.7600c, 0, 150, 0.6900c + 10.50, 150",87.91,2
62,"Multiply the following integers.
${(-1)\cdot(-5)\cdot(-3)=}$ [ANS]
${6\cdot(-8)\cdot(-4)=}$ [ANS]
${(-89)\cdot(-62)\cdot0=}$ [ANS]","-15, 192, 0",97.68,1
63,"The following data were drawn from a normal population. Find a 92.4\% confidence interval for the mean.
\begin{array}{ccccccccccc} 18 & 19 & 21 & 14 & 14 & 18 & 18 & 15 & 17 & 20 \end{array} UCL=[ANS]
LCL=[ANS]","15.84, 18.96",81.86,2
64,"A population of animals oscillates sinusoidally between a low of 500 on January 1 and a high of 1200 on July 1. Graph the population against time and use your graph to find a formula for the population $P$ as a function of time $t$, in months since the start of the year. Assume that the period of $P$ is one year. $P(t)=$ [ANS]",850 - 350 \cos\left(\frac{\pi}{6} t\right),45.48,4
65,"Multiply: (Note: If necessary, use fractions not decimals.) a) $\frac{3}{7}(-2)=$ [ANS]
b) $\frac{2}{3}(\frac{3}{7})=$ [ANS]","-\dfrac{6}{7}, \dfrac{2}{7}",53.47,4
66,"A pilot flies in a straight path for 1 hour and 30 min. She then makes a course correction, heading 10 degrees to the right of her original course, and flies 2 hours in the new direction. If she maintains a constant speed of 675 miles per hour, how far is she from her starting position?
Answer: [ANS] miles",2354,77.0,3
67,"In the year 2004, a total of 7.6 million passengers took a cruise vacation. The global cruise industry has been growing at 9\% per year for the last decade. Assume that this growth rate continues.
(a) Write a formula for to approximate the number, $N$, of cruise passengers (in millions) $t$ years after 2004. $N=$ [ANS]
(b) How many cruise passengers (in millions) are predicted in the year 2011? $N=$ [ANS]
(c) How many cruise passengers (in millions) were there in the year 2000? $N=$ [ANS]","7.6(1.09)^t, 13.89, 5.384",22.05,5
68,"Suppose you want to test the claim the paired sample data given below come from a population for which the mean difference is $\mu_d=0$. \begin{array}{c|ccccccc} x & 80 & 75 & 62 & 73 & 65 & 76 & 70 \cr \hline y & 78 & 84 & 68 & 78 & 75 & 66 & 72 \cr \end{array} Use a $0.01$ significance level to find the following:
(a) $\ $ The mean value of the differnces $d$ for the paired sample data $\overline{d}=$ [ANS]
(b) $\ $ The standard deviation of the differences $d$ for the paired sample data $s_d=$ [ANS]
(c) $\ $ The t test statistic $t=$ [ANS]
(d) $\ $ The positive critical value $t=$ [ANS]
(e) $\ $ The negative critical value $t=$ [ANS]
(f) $\ $ Does the test statistic fall in the critical region? [ANS] A. No  B. Yes
(g) $\ $ Construct a $99$ \% conficence interval for the population mean of all differences $x-y$. [ANS] $< \mu_d <$ [ANS]",5.442,40.62,4
69,"The function $f(x)=\frac{x \sin^2 x}{1+\sin x}$, then the integral $\int_0^{\pi} f(x)dx=$().",G,77.43,3
70,"A school just won a grant, and decided to spend ${{\textstyle\frac{5}{8}}}$ of the grant to purchase new equipment. The school administrators decide to spend the new equipment money in $7$ months. Assume every month the same amount of money will be spent on new equipment. What fraction of the grant will be spent to purchase new equipment every month? Every month, [ANS] of the grant will be spent to purchase new equipment.",\dfrac{5}{56},61.66,3
71,"You are working on a new temperature scale that will unify the earth. After some thought you decide to call it the-universal-scale. Let $F$ denote the temperature in degrees Fahrenheit, and let $X$ denote your new temperature scale. You want it to be such that if $F=0$ then $X=18$ and if $F=100$ then $X=134$. You also want $X$ to be such that if you plot $X$ against $F$ you obtain a straight line. You obtain the formula $X=m F+b$ where $m$=[ANS]
and $b$=[ANS]
Hint: Think of this problem as one of finding the slope-intercept form of a straight line in the $(F,X)$ plane given two points on the line.","29/25,18",59.19,4
72,"If $\sin(A)=0.55$ and $\cos(A) < 0$, determine:
$\cos(A)=$ [ANS]
$\sin(2A)=$ [ANS]
$\cos(2A)=$ [ANS]
$\tan(2A)=$ [ANS]
The quadrant for $2A$ is [ANS]. Be certain to express all answers to at least four decimal places. Be certain to express all answers to at least four decimal places.",IV,35.78,5
73,"Given $X \sim N(0, 1), Y \sim N(0, 1)$ and they are independent. Let $U = X^{2} + Y^{2}$, $V = \frac{X}{Y}$. Find the joint probability density $f_{UV}(u, v)$ of the two-dimensional random variable $(U, V)$ is ().",E,99.0,1
74,"To test the efficacy of a new cholesterol-lowering medication, 10 people are selected at random. Each has their LDL levels measured (shown below as Before), then take the medicine for 10 weeks, and then has their LDL levels measured again (After).
\begin{array}{ccc} \mbox{Subject} & \mbox{Before} & \mbox{After} \\ 1 & 178 & 174 \\ 2 & 162 & 137 \\ 3 & 166 & 154 \\ 4 & 175 & 158 \\ 5 & 137 & 119 \\ 6 & 140 & 124 \\ 7 & 161 & 149 \\ 8 & 162 & 129 \\ 9 & 143 & 111 \\ 10 & 154 & 136 \\ \end{array}
Give a 94.6\% confidence interval for $\mu_B-\mu_A$, the difference between LDL levels before and after taking the medication. Confidence Interval=[ANS]","12.32, 25.08",62.8,3
75,"Mike can be paid in one of two ways based on the amount of merchandise he sells: Plan A: A salary of $\$1{,}100.00$ per month, plus a commission of $11\%$ of sales, OR Plan B: A salary of $\$1{,}450.00$ per month, plus a commission of $15\%$ of sales in excess of $\$8{,}000.00$. For what amount of monthly sales is plan B better than plan A if we can assume that Mike's sales are always more than $\$8{,}000.00$? Write your answer an inequality involving $x$, where $x$ represents the total monthly sales. Answer: [ANS]",x > 21250,77.43,3
76,6-10=[ANS].-6-5=[ANS].-9-(-12)=[ANS]. 20-(-13)=[ANS].-18-14=[ANS].-18-(-27)=[ANS]. 15-29=[ANS].-26-(-13)=[ANS].,"-4, -11, 3, 33, -32, 9, -14, -13",97.68,1
77,"A study of human development showed two types of movies to a group of children. Crackers were available in a bowl, and the investigators compared the number of crackers eaten by the children while watching the different kinds of movies. One kind was shown at 8 A.M. and another at 11 A.M. It was found that during the movie shown at 11 A.M., more crackers were eaten than during the movie shown at 8 A.M. The investigators concluded that the different types of movies had an effect on appetite.
(a) This is an example of a [ANS] A. block design.  B. simple random sample.  C. matched pairs design.  D. None of the above.
(b) The response variable in this experiment is [ANS] A. the bowls.  B. the different kinds of movies.  C. the time the movie was shown.  D. the number of crackers eaten.
(c) A lurking variable in this experiment is [ANS] A. the time the movie was shown.  B. the bowls.  C. the different kinds of movies.  D. the number of crackers eaten.",A,75.26,3
78,"If distance of the origin from the plane passing through the point $(2,2,1)$ and $(9,3,6)$ and perpendicular to the plane $2x+6y+6z=9$ be $'d'$ then $5\sqrt{2}d=$",A,99.0,1
