id,category,confidence,skip_reason,source_found_answer,source_url,source_type,source_notes
0265,FREE,90,multi_slot_understocked,A. The mode,https://statistics.laerd.com/statistical-guides/measures-central-tendency-mean-mode-median.php,textbook_stats,Canonical fact: nominal data -> mode (Laerd table Nominal=Mode; Maricopa; BCcampus all state verbatim). Question asks measure meaningful for nominal data = mode = option A. Conceptual fact stated identically across authoritative pages -> GOLD (was NOT_FOUND).
0286,MCQ,80,partial_classification,|p_x''(0)|=x(x+1)(2x+1)/6 > 89688,https://math.stackexchange.com/questions/4821302,putnam_2023_A1,"Putnam 2023 A1 STRUCTURE: p_x=prod_{k=1}^x cos(k o), MSE states |p_x''(0)|=x(x+1)(2x+1)/6 (Putnam used threshold 2023 -> n=18). OUR threshold=89688. Source states the FORMULA but not the answer for 89688; picking the smallest-x option needs computation. PARTIAL: rule stated, option left for downstream solve."
0319,FREE,78,partial_classification,"1F 2T 3T 4F - canonical sd/variance facts, multi-slot",https://en.wikipedia.org/wiki/Standard_deviation,textbook_stats,"sd vs variance T/F. 1 sd always exceeds variance FALSE (false when var<1); 2 sd = +sqrt(variance) TRUE; 3 sd in original units, variance not TRUE; 4 sd may be +/-, variance always + FALSE (sd>=0). Facts canonical/verbatim but 4-slot assembly is application. PARTIAL."
0368,FREE,75,partial_classification,"(a)C 17 ppl at 5:05; (b)D; (c)D; (d)E - canonical function-notation reading, multi-slot application",https://openstax.org/books/algebra-1/pages/4-3-2-writing-statements-from-function-notation,textbook_math,"Function-notation interpretation. EXACT template twin (montgomeryadvertiser, f(4)=11->11 ppl at 5:04 PM=A there) + OpenStax establish the canonical reading f(in)=out -> at [in] there are [out]. Parts: (a)=C, (b)=D, (c)=D, (d)=E. RULE stated verbatim but 4-slot answer is application. PARTIAL."
0452,FREE,72,partial_classification,"42 (chi-square indep df=(r-1)(c-1)=7*6, canonical rule; value is application)",https://en.wikipedia.org/wiki/Chi-squared_test,textbook_stats,"Chi-square test of independence df = (rows-1)(cols-1), canonical. 8x7 -> (8-1)(7-1)=42. RULE stated verbatim everywhere but 42 is a 1-step computation. PARTIAL: 42 indicated, left as application not page-stated."
0471,MCQ,80,partial_classification,"43? (opt[2]) - Ray Li problem, answer not legibly stated",https://cs.stanford.edu/~rayyli/static/contest/tests/geoaime.pdf,ray_li_mock_geo_AIME,"Ray Li Mock Geometry AIME (March 2011) Problem 3 EXACTLY (tri ABC BC=9, BP=PQ=2 QC=5, circ APQ cuts AB AC at D E, BD=CE, find m+n for AB/AC). PDF has the PROBLEM only, no solution/answer. Identified source; answer not on a readable page. PARTIAL."
0477,FREE,90,multi_slot_understocked,A. Leading questions,https://aapor.org/wp-content/uploads/2023/01/Question-Wording.pdf,textbook_survey,"Canonical survey-design fact: avoid LEADING questions (AAPOR, ABS forms standards, Stanford Handbook of Survey Research all state avoid leading questions verbatim). Answer = option A Leading questions. Stated identically across authoritative sources -> GOLD (was NOT_FOUND)."
0486,MCQ,80,partial_classification,"m=1008 -> 8 (opt[1]) - C(1008,10) from C(999+10-1,10)",https://artofproblemsolving.com/wiki/index.php/Mock_AIME_4_2006-2007_Problems/Problem_8,mock_aime,"Mock AIME 4 2006-07 Problem 8 EXACTLY (incr seq a_1<=..<=a_10<=2007, a_i-i even, =C(m,n), m mod 1000). AoPS solution states it = choose 10 w/replacement from 999-elt set = C(1008,10), so m=1008 -> m mod 1000 = 8 = opt[1]. BUT AoPS renders LaTeX as images -> explicit 1008/8 NOT legible in fetch. PARTIAL: derivation stated, opt[1]=8 indicated."
0492,MCQ,90,multi_slot_understocked,A. 81%,https://www.mathwords.com/c/coefficient_of_determination.htm,textbook_stats,"Canonical: % variation explained = coefficient of determination R^2 = r^2. r=0.90 -> R^2=0.81=81%. Mathwords (uses r=0.90 example -> 81%), LibreTexts, StatProofBook all state R^2=r^2 verbatim. Option A=81%. GOLD (was NOT_FOUND)."
0567,MCQ,88,low_confidence,A. The intervals in a frequency distribution may overlap...,https://en.wikipedia.org/wiki/Frequency_distribution,textbook_stats,"Which statement is FALSE. Canonical rule (Wikipedia non-overlapping intervals; Pearson mutually exclusive, avoid overlap; Vaia overlap causes confusion) = class intervals must NOT overlap. So option A (intervals may overlap) is the FALSE statement -> answer A. Stated verbatim across authoritative pages. GOLD (was NOT_FOUND)."
0603,FREE,75,partial_classification,(a)=C median; (b)=A 50% (further parts not resolved),https://treese41528.github.io/STAT350/Website/chapter3/lectures/3-5-choosing-the-right-measure-resistance-to-extreme-values.html,textbook_stats,"Multi-part. (a) least affected by outlier = median = C (canonical: median resistant/robust to outliers, stated verbatim STAT350/Fanshawe/Harvard DSbook). (b) % between Q1 and Q3 = 50% = A (IQR=middle 50%). Later parts (c)+ not captured in preview. PARTIAL: leading parts canonical, full multi-slot answer not assembled."
0813,MCQ,85,low_confidence,A. A non-normal population with a small sample and an unknown population variance.,https://stats.libretexts.org/Courses/Fresno_City_College/Math_11%3A_Elementary_Statistics/07%3A_Estimation/7.02%3A_Estimation_of_a_Population_Mean/7.2.02%3A_Small_Sample_Estimation_of_a_Population_Mean,textbook_stats,When is a CI impossible. Canonical: small sample needs normality (t-interval) or large n (CLT); non-normal + small + unknown var fails both (LibreTexts small samples only if population is normal; Stats.SE in general impossible). Only option A is the impossible case; B/C permit a CI. Answer A. GOLD (was NOT_FOUND).
0890,FREE,75,partial_classification,"(a)A (b)A (c)C (d)6 - named Sub-U-Like study, multi-slot",https://careers.montgomeryadvertiser.com/question/15876771.html,textbook_stats,Sub-U-Like study = FIXED named textbook study (Numerade/montgomeryadvertiser host it). Parts: (a) experiment-controlled-exposure=A; (b) subjects=60 students=A; (c) response=craving 0-10=C; (d) treatments=2 lengths x 3 reps=6. Each canonical for this named study but 4-slot assembly -> PARTIAL not GOLD.
0893,MCQ,90,multi_slot_understocked,A. qualitative variable,https://unstats.un.org/wiki/display/genderstatmanual/Types+of+data+involved+in+gender+statistics,textbook_stats,"Canonical: gender/sex = QUALITATIVE (categorical) variable. UN Stats (qualitative variables... such as sex), Wikipedia (nominal scales = qualitative), Brainly twin (gender->nominal). Item asks variable TYPE -> A qualitative variable. GOLD (was NOT_FOUND)."
0903,MCQ,92,multi_slot_understocked,A. exactly 0.50,https://saylordotorg.github.io/text_introductory-statistics/s06-descriptive-statistics.html,textbook_stats,"Canonical: median divides total histogram area into 0.5 left / 0.5 right (Saylor, BBC Bitesize, Quizlet STAT351 which has the EXACT question wording). Median is a positional 50/50 split regardless of skew. Option A=exactly 0.50. GOLD (was NOT_FOUND)."
0927,FREE,78,partial_classification,"1F 2T 3T 4T 5F 6F - canonical log identities, multi-slot",https://en.wikipedia.org/wiki/List_of_logarithmic_identities,textbook_math,"Each slot is a named log identity (canonical, verbatim everywhere): 1 ln A ln B = ln A+ln B FALSE; 2 p ln A=ln A^p TRUE; 3 log sqrt A=1/2 log A TRUE; 4 log AB=log A+log B TRUE; 5 sqrt(ln A)=ln A^(1/2) FALSE; 6 log A/log B = log A - log B FALSE. Identities stated verbatim but 6-slot T/F is application. PARTIAL."
