id,answer,category,confidence,promotion_class,source_quality,source_type,source_url,source_found_answer,source_notes
0376,All positive integers n such that v_p(n) != 1 for all primes p = 3 (mod 4),FREE,95,clean_value_other,strong,hmmt_2025_feb_team,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/feb/team/solutions.pdf,All positive integers n such that v_p(n) != 1 for all primes p = 3 (mod 4),"HMMT 2025 Feb Team Round #10 EXACTLY (all values of gcd(a^2+b^2+c^2, abc)). Solutions PDF (fetched/read) states Answer: all positive integers n with v_p(n) != 1 for all p = 3 mod 4. Upgraded from NOT_FOUND after reading the official solutions PDF."
0405,H,MCQ,95,mcq_exact_option_match,strong,OEIS,https://oeis.org/A000716/b000716.txt,"[11701998, 16790136, 23964594, 34034391, 48104069, 67679109, 94800537, 132230021, 183686994, 254170332]",OEIS A000716 'number of partitions of n into parts of 3 kinds' = problem verbatim. b-file read directly: a(29..38) = option [7] list EXACTLY (verified programmatically). Verbatim b-file -> option [7].
0440,G,MCQ,high,mcq_letter_mapped_numeric,strong,Putnam 1990,https://mast.queensu.ca/~mikeroth/putnam/handouts/week01.pdf,5/2,
0474,C,MCQ,high,mcq_exact_option_match,strong,MSE,https://math.stackexchange.com/questions/1991252,248,
0518,E,MCQ,95,mcq_exact_option_match,strong,OEIS,https://oeis.org/A003986/b003986.txt,"[6, 7, 12, 11, 10, 11, 12, 13, 13, 11]",OEIS A003986 'Table of n OR k (bitwise) read by antidiagonals' = problem verbatim. b-file read directly: linear a(84..93) = option [4] list EXACTLY (verified programmatically). Verbatim b-file -> option [4].
0549,J,MCQ,95,mcq_exact_option_match,strong,oeis,https://oeis.org/A000161/b000161.txt,"[1, 0, 2, 1, 0, 0, 1, 0, 1, 0]","OEIS A000161 = 'number of partitions of n into 2 squares' (= ways to write n as sum of two squares, allowing permutations; matches the descriptor). Read b-file a(98..107)=[1,0,2,1,0,0,1,0,1,0] -> uniquely matches option index 9 VERBATIM (programmatic match, only option equal to the b-file values). 2nd-pass correction: earlier pass mis-tried A000925 (ordered nonneg, has a 4 not in options); A000161 is the right entry."
0570,H,MCQ,90,clean_letter,strong,OEIS,https://oeis.org/A130198,H,"A130198 single paradiddle, period-8 [0,1,0,0,1,0,1,1]. x=86-95 = [1,1,0,1,0,0,1,0,1,1] = option H."
0596,G,MCQ,95,mcq_exact_option_match,strong,OEIS,https://oeis.org/A007433/b007433.txt,"[1818, 1353, 1746, 1377, 2754, 1371, 2178, 1881, 3024, 1683]",OEIS A007433 'Inverse Moebius transform applied twice to squares' = problem verbatim (per OeisWiki Moebius-transform index). b-file read directly: a(32..41) = option [6] EXACTLY. Verbatim b-file -> option [6].
0644,A,MCQ,93,mcq_exact_option_match,strong,OEIS,https://oeis.org/A007694/b007694.txt,41,"OEIS A007694 Numbers k such that phi(k) divides k = exactly the set item 644 counts. b-file (fetched/read) lists terms in order; largest <=2010 is the 41st term (1944); 42nd term = 2048 > 2010. So count of n<=2010 with phi(n)|n = 41 (read as the index of last qualifying term, not computed). opt[0]=41 verbatim. UPGRADED PARTIAL->GOLD via readable OEIS b-file."
0647,J,MCQ,95,mcq_exact_option_match,strong,OEIS,https://oeis.org/A002329/b002329.txt,"[75, 16, 78, 13, 66, 81, 166, 78, 18, 43]",OEIS A002329 'Periods of reciprocals of integers prime to 10' = problem verbatim. b-file read directly: a(61..70) = option [9] list EXACTLY. Verbatim b-file -> option [9].
0663,F,MCQ,95,mcq_exact_option_match,strong,OEIS,https://oeis.org/A107920/b107920.txt,"[-84915, 194399, 364229, -24569, -753027, -703889, 802165, 2209943, 605613, -3814273]",OEIS A107920 'Lucas and Lehmer numbers with parameters (1 +- sqrt(-7))/2' = problem verbatim. b-file read directly: a(36..45) = option [5] EXACTLY. Verbatim b-file -> option [5].
0668,G,MCQ,95,mcq_exact_option_match,strong,math.stackexchange,https://math.stackexchange.com/questions/1176874/compute-v-2-left20052100-20032100-right,103,"MSE 1176874 EXACTLY computes v_2(2005^(2^100)-2003^(2^100)). Page states ""I make that 103"" (LTE: v2(2)+v2(4008)+v2(2^100)-1=1+3+100-1=103). Item asks largest n with 2^n | that = 103. opt[6]=103 verbatim. GOLD."
0675,B,MCQ,95,mcq_exact_option_match,strong,OEIS,https://oeis.org/A003485/b003485.txt,"[106, 108, 112, 113, 114, 116, 120, 121, 122, 124]",OEIS A003485 'Hurwitz-Radon function at powers of 2' = problem verbatim. b-file read directly: a(53..62) = option [1] list EXACTLY. Verbatim b-file -> option [1].
0709,E,MCQ,95,mcq_exact_option_match,strong,OEIS,https://oeis.org/A001175/b001175.txt,"[42, 58, 120, 60, 30, 48, 96, 140, 120, 136]",OEIS A001175 'Pisano periods: period of Fibonacci numbers mod n' = problem verbatim. b-file read directly: a(58..67) = option [4] list EXACTLY. Verbatim b-file -> option [4].
0711,D,MCQ,95,mcq_exact_option_match,strong,OEIS,https://oeis.org/A057963/b057963.txt,"[2550, 511, 55, 495, 2310, 6930, 14322, 20790, 20955, 14025]","OEIS A057963 'Triangle T(n,k) of number of minimal 2-covers of a labeled n-set that cover k points uniquely' = problem verbatim. b-file read directly: linear a(45..54) = option [3] list EXACTLY. Verbatim b-file -> option [3]."
0719,E,MCQ,95,mcq_exact_option_match,strong,math.stackexchange,https://math.stackexchange.com/questions/1858310/how-many-distinct-ways-are-there-to-2-color-the-8-vertices-of-a-cube,23,MSE 1858310 + MAA PDF EXACTLY: color 8 vertices of cube with 2 colors up to rotation = Burnside (2^8+6*2^2+17*2^4)/24 = 552/24 = 23 (stated verbatim). opt[4]=23 verbatim. GOLD.
0772,H,MCQ,95,mcq_exact_option_match,strong,OEIS,https://oeis.org/A090281/b090281.txt,"[2, 3, 4, 4, 3, 2, 1, 1, 2, 3]",OEIS A090281 'Plain Bob Minimus: position of bell 1 (treble) in n-th permutation' = problem verbatim. b-file read directly: a(90..99) = option [7] list EXACTLY. Verbatim b-file -> option [7].
0778,I,MCQ,92,mcq_exact_option_match,weak,vaia_textbook,https://www.vaia.com/en-us/textbooks/combined-science/molecular-driving-forces-statistical-thermodynamics-in-biology-chemistry-physics-and-nanoscience-2-edition/chapter-1/problem-1-combining-independent-probabilities-you-have-appli/,0.685,"Molecular Driving Forces (Dill/Bromberg) Ch1 Problem 1 EXACTLY (UCSF/DSM/H, p=0.10/0.30/0.50, independent, P(at least one)). NAMED textbook problem with FIXED constants. Vaia + Studypool state verbatim P(at least one acceptance)=0.685 (=1-0.9*0.7*0.5). opt[8]=0.685. GOLD (was NOT_FOUND)."
0799,8096,FREE,95,clean_value_numeric,strong,hmmt_2025_feb_team,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/feb/team/solutions.pdf,8096,"HMMT 2025 Feb Team Round #4 EXACTLY (Jerry, rooks in 2025x2025, no rook attacks 4 others, max rooks). Solutions PDF (fetched/read) states Answer: 8096 (=4n-4 for n=2025). Free-form, stated answer -> GOLD."
0805,C,MCQ,95,mcq_exact_option_match,strong,OEIS,https://oeis.org/A190528/b190528.txt,"[40386518, 96018831, 228284497, 542745740, 1290376448, 3067866323, 7293843428, 17341091936, 41228396592, 98020395245]",OEIS A190528 'Number of n-step one-sided prudent walks avoiding exactly three consecutive West steps' = problem verbatim. b-file: a(20..29) = option [2] EXACTLY. Verbatim b-file -> option [2].
0808,D,MCQ,95,mcq_exact_option_match,strong,OEIS,https://oeis.org/A193231/b193231.txt,"[44, 46, 47, 40, 41, 43, 42, 85, 84, 86]","OEIS A193231 'Blue code for n: in binary coding of polynomial over GF(2), substitute x+1 for x' = problem verbatim. b-file read directly: a(57..66) = option [3] EXACTLY. Verbatim b-file -> option [3]."
0856,H,MCQ,95,mcq_exact_option_match,strong,putnam_2022_A5,https://kskedlaya.org/putnam-archive/2022s.pdf,290,"Putnam 2022 A5 EXACTLY (Alice/Bob, row of 2022 squares, place 2-adjacent tiles, Alice maximizes uncovered). Official Putnam solutions PDF (fetched/read) states ""the number in question equals 290"" (a(2022)=2+floor(2022/7)=290). opt[7]=290 verbatim -> GOLD."
0862,I,MCQ,95,mcq_exact_option_match,strong,OEIS,https://oeis.org/A065423/b065423.txt,"[32, 66, 33, 68, 34, 70, 35, 72, 36, 74]",OEIS A065423 'Number of ordered length 2 compositions of n with at least one even summand' = problem verbatim. b-file read directly: a(66..75) = option [8] list EXACTLY. Verbatim b-file -> option [8].
0874,J,MCQ,95,mcq_exact_option_match,strong,OEIS,https://oeis.org/A004515/b004515.txt,"[67, 69, 66, 68, 100, 102, 104, 101, 103, 110]",OEIS A004515 'Generalized nim sum n+n in base 5' = problem verbatim (problem states base 5). b-file: a(46..55) = option [9] EXACTLY. Verbatim b-file -> option [9].
0877,F,MCQ,93,mcq_exact_option_match,strong,OEIS,https://oeis.org/A077239/b077239.txt,"[9725506567, 56684406277, 330380931095, 1925601180293, 11223226150663, 65413755723685, 381259308191447, 2222142093424997, 12951593252358535, 75487417420726213]","OEIS A077239 'Bisection (odd part) of Chebyshev sequence with Diophantine property' (a(n)^2-8*b(n)^2=17). NOTE: ~6 OEIS seqs share this exact name; disambiguated by DATA - A077244 did NOT match, A077239 a(12..21) = option [5] EXACTLY. Verbatim b-file -> option [5]."
0934,D,MCQ,95,mcq_exact_option_match,strong,OEIS,https://oeis.org/A055573/b055573.txt,"[44, 54, 49, 41, 64, 47, 46, 54, 71, 72]",OEIS A055573 'Number of terms in simple continued fraction for n-th harmonic number H_n' = problem verbatim. b-file read directly: a(64..73) = option [3] list EXACTLY. Verbatim b-file -> option [3].
0940,B,MCQ,95,mcq_exact_option_match,strong,OEIS,https://oeis.org/A257993/b257993.txt,"[1, 2, 1, 4, 1, 2, 1, 2, 1, 3]",OEIS A257993 'Least gap in the partition having Heinz number n; index of the least prime not dividing n' = problem verbatim. b-file read directly: a(87..96) = option [1] list EXACTLY. Verbatim b-file -> option [1].
