id,answer
398,A
399,E
400,E
401,"\frac{450}{\pi}^\circ,\,240^\circ,\,\frac{165}{\pi}^\circ,\,-135^\circ"
402,J
403,J
404,52\%
405,J
406,-7
407,C
408,"\frac{5816}{9999},\frac{3017}{99990},\frac{574}{999},\frac{653}{9990},\frac{428}{999}"
409,"(-5.0535,11.3001),(-0.5134,6.7599)"
410,"45^\circ, 4\text{ s}"
411,\frac{392\pi}{45}
412,\frac{4\sqrt{78}-35}{72}
413,"0.893,(1.77,\mathrm{infty}),0.20,\mathrm{A}"
414,I
415,"\sqrt{\frac{A}{6}},A,\left(\frac{A}{6}\right)^{3/2},A"
416,"11,16"
417,"1.01, 0.97, 28, 29.1, 1.04"
418,"2.96,\ 1.76,\ 0.0018,\ B"
419,n^2
420,H
421,"-\frac{9\sqrt5}{20},-\frac{\sqrt5}{20}"
422,(N+1)^2(4N+1)
423,-\frac{1}{2}
424,"\text{parameter},\text{parameter},\text{statistic},\text{statistic}"
425,7
426,11
427,\text{No listed option}
428,"43,55"
429,\$7.05
430,E
431,"5,42"
432,"1.204,\;2.129,\;4.346,\;5.271"
433,C
434,A
435,"0.4457, 0.5368, A"
436,20
437,"(76.37, 79.63)"
438,"5,9,1,10,2,0,10,x^3y^7,1"
439,-\frac{4}{13}
440,G
441,260
442,J
443,\text{No listed option; mathematically }Q(8)\equiv 413 \pmod{1000}
444,"113,35,112,61,148,43"
445,E
446,"\sqrt{\frac{363}{86}},\ \frac{245}{502}"
447,x \le 4
448,"x^3-4x^2-6x+30,\ x^2-9x+20"
449,"3.59, 0.0008, B"
450,A
451,"0.129032258064516,0.193548387096774,0.209677419354839,14,0.177419354838710,0.0645161290322581"
452,42
453,1350
454,"1.5,\frac{15}{16}"
455,C
456,"-7.83,A,B"
457,C
458,3
459,"\sin^2(A),\frac{\cos(A)}{\sin(A)},\sec^2(A),\frac{1}{\tan(A)},\frac{1}{\sin(A)}"
460,"F,F,T,T,T,T,F"
461,"2,302"
462,"-7,8"
463,J
464,G
465,H
466,26.9
467,"C\approx 0.0267w+0.033,\ A,\ A,\ 4.97"
468,"0.6714,0.8816"
469,"s^2,0.1575A,0.1575s^2,\text{C},81,\text{square feet},14.175,\text{dollars},19.0575,\text{dollars}"
470,"1.960,2.201,2.326,2.718,2.576,3.106"
471,C
472,I
473,"[-7,-3]"
474,E
475,\frac{2}{3}
476,G
477,"A,C"
478,-\frac{3}{10}
479,"40.357,43.643,40.011,43.989"
480,"2.5,2.5"
481,A
482,H
483,\text{None of the listed options}
484,C
485,135
486,B
487,"-21.1,-0.961"
488,4050
489,385
490,"23,\text{BTUs/ft}^2,410,\text{ft}^2"
491,"1255.37,1091.05,1419.69,\text{No},\text{Central Limit Theorem}"
492,"A,A"
493,"14.56,\text{B},0.0687<(p_1-p_2)<0.1083"
494,"7,0.062"
495,"100,100,200,0.255,5.991,B"
496,9.594^\circ
497,"1.1106,88.8065^\circ,88.8065^\circ,0.9004"
498,15
499,"36.9,0.3226,32.26,2.149"
500,J
501,F
502,\frac{8}{11}
503,"y=-43000x+833000,446000,2019"
504,"-\frac32,-\frac{3\sqrt3}{2}"
505,"1,3,6,-5,-4,2"
506,A
507,I
508,\frac{n(n-1)}2
509,H
510,\frac{3}{2}
511,I
512,64p^2+64p+16
513,"-1.4051,1.4051,1.7507"
514,I
515,"-8, 1, 12, 19"
516,"7,-11,4,0"
517,E
518,E
519,"427.5813419821836,5086.650065113366,46.42814040782384"
520,44
521,F
522,"-0.472,\ 0.472"
523,2097150
524,E
525,H
526,y=128x^4+16x^2+4
527,"8,700,25000,\frac{2000}{7}"
528,"43164,2069"
529,\frac{429}{20}
530,"8/9,7/9,5"
531,"C,\ D,\ F,\ H"
532,I
533,0.056
534,G
535,"-4,\,-6"
536,E
537,42
538,A
539,"7,8"
540,"A,B,A"
541,5
542,"285,\frac{59540}{9},\frac{\sqrt{59540}}{3},A"
543,"\$1.43,\$0.54"
544,\text{A. It is a power function.}
545,400000
546,"92,126,146,72,172"
547,H
548,"x+0.20x=144,\$120.00"
549,B
550,"\text{None of the listed options; } \iiint_E z\,dV=\frac{109}{450}"
551,\sqrt{28}
552,"36332.24,33119.50"
553,"24,\frac{8}{5}"
554,D
555,"1.11,0.1335"
556,C
557,5
558,f(x)=\frac{13}{2}x-25
559,-280
560,"C,A,A"
561,E
562,H
563,20\%
564,D
565,"-7.006,-7.06,-7.6"
566,3
567,"A,A"
568,"-10,3"
569,B
570,H
571,F
572,"8,-6,6,8"
573,\frac{17}{72}
574,\text{C and E}
575,G
576,"\frac{5}{2},\frac{1}{2}"
577,F
578,"7.62,9.00,95.44"
579,C
580,D
581,F
582,1035
583,119
584,"7z,6w"
585,"-0.224,2.262,-2.262,\text{No},\text{fail to reject }H_0"
586,"1.0123,-0.5011,-0.0446,0.0016"
587,"\text{a: B,C,D,E,F,J,\ b: C,\ c: A,B,\ d: A}"
588,E
589,D
590,D
591,"2\cos(1),2\sin(1),2\sin(2),2\cos(2),\sqrt{10},-\arctan(1/3),\sqrt{17},\arctan(4)"
592,I
593,19.4
594,F
595,"A,D,E,G,probability"
596,G
597,B
598,G
599,1.81
600,I
601,"3s-1,2s+1,(3s-1)(2s+1)"
602,"-\frac{791}{112},\frac{23}{32},\frac{1197}{28}"
603,"C,A,B"
604,J
605,45.6
606,E
607,"(0,0,4),(0,0,14),(6,6,20),(-6,-6,0),(-4,-4,10),(-4,-4,-12)"
608,"B,A,A,1981"
609,30\sqrt{85}\text{ miles}
610,4\pi
611,1.356
612,"68,81"
613,I
614,I
615,"14,9"
616,J
617,"left,7,up,6"
618,A
619,"-3.23,0.0012,A"
620,"\frac{4}{\sqrt7},\frac{16}{7},2.167,\text{B}"
621,153-k
622,"3.85,2.567,\text{Yes}"
623,"T,F,F,F,T,T"
624,F
625,5(x+2)(x+3)
626,G
627,\frac{163\sqrt{163}\pi}{6}
628,"76,75.7,75.67,75.673"
629,17247
630,"71.981,564.365"
631,A
632,23
633,"B,D,8"
634,109
635,"37.6,0.746,-25.4\%"
636,990100
637,"A,B,F,C,D,E"
638,"0.151,(-infty,-1.751)U(1.751,infty),0.880,D"
639,3.325
640,G
641,"6.4,46.08,46.08"
642,"6,\frac{\pi}{3},13"
643,"\text{True},\text{False},\text{False},\text{True},\text{False}"
644,D
645,129n-11500
646,A
647,J
648,"W=11.51+0.83x,30.60"
649,300
650,J
651,"73,\ 114.49"
652,163
653,"-\frac{45}{7}t+\frac{600}{7},\frac{600}{7},\frac{330}{7}"
654,"\sqrt{19},2,2,2"
655,S=0.85L
656,6x^2-23x+15
657,"180-2\sqrt{14},180+2\sqrt{14},180-2\sqrt{12.7},180+2\sqrt{12.7},0,\sqrt{26.7},-2\sqrt{26.7},2\sqrt{26.7}"
658,A
659,29.91
660,C
661,"r=4+\frac{h}{1000},w=\frac{2880}{\left(4+\frac{h}{1000}\right)^2}"
662,23
663,F
664,"\frac{83}{100},\frac{83}{99}"
665,B
666,"76e^{\left(\frac{\ln(419/76)}{4}\right)t},million dollars,42.78"
667,H
668,G
669,H
670,D
671,"1.71,113.2"
672,D
673,437400
674,8x+7
675,B
676,"D,A,A"
677,F
678,13960
679,11
680,"0.035,0.0525,0.0775,A"
681,"28900,170,135,205"
682,G
683,-0.65
684,-1.55
685,C \text{ and } D
686,D
687,24500
688,2051325
689,"45,43"
690,H
691,"(19.67, 26.99)"
692,1.24
693,"30,\frac{15}{2},\frac{11}{2}"
694,"C(x)=6750+9x,\ R(x)=36x,\ P(x)=27x-6750,\ 250"
695,E
696,"x+8,-8,-81"
697,60
698,-50.92
699,"6,3"
700,F
701,22
702,-u^4-4u^3+3u^2-6u-8
703,E
704,"3.65,1.645,B"
705,"\text{True,False,False,True}"
706,2034.29
707,"5200,2600"
708,"-\frac{9}{2},\frac{9}{2},-\frac{81}{4}"
709,E
710,"2\pi-\arccos\!\left(\frac18\right)-3,\;2\pi+\arccos\!\left(\frac18\right)-3"
711,C
712,"D,D,A"
713,"-3,\text{not real}"
714,\$84.00
715,"5,7,9,13,\frac{17}{2},6,7,9,8,10,11,\frac{17}{2}"
716,\frac{19}{33}
717,7992
718,"66206244.\overline{4},72704000,median"
719,E
720,D
721,"C,A,A"
722,2079444975
723,"-\frac{\sqrt3}{2},-\frac{\sqrt2}{2}"
724,2
725,"41.300,13.277,A"
726,"7,48"
727,A
728,80000
729,G
730,I
731,J
732,H
733,"68,247,97,17"
734,"4830,4.83"
735,"28,42.5,55,-29,82,27,A"
736,sqrt(30)/2
737,2140
738,"A,C,A,A"
739,\frac{Q}{1-Z}
740,\frac{5184}{81\cos^2(t)-64\sin^2(t)}
741,H
742,241.0
743,430
744,"26.875,32.1875"
745,"2\sin C\cos C,\cos A\cos B-\sin A\sin B,\frac{2\tan C}{1-\tan^2 C},\sin A\cos B-\cos A\sin B,\sin A\cos B+\cos A\sin B,\cos A\cos B+\sin A\sin B,\frac{\sin x}{1+\cos x},\cos^2 C-\sin^2 C"
746,"17417,30856,808694,103863,876259,924095,21108"
747,A
748,"222.45,186.55,79.43,66.57,50.04,41.96,31.01,25.99,20.81,3,11.345,B"
749,"5,5,5,5,5,\text{is},14/9,19/14,24/19,29/24,34/29,\text{is not},9+5n,(-1)^{n+1}(9+5n)"
750,"36.98\%,\ln(0.95),C,E"
751,31
752,D
753,"A,0.246,A,16.6"
754,60x^2+65x
755,F
756,"109.27\text{ ft},520.16\text{ ft}"
757,C. Kevin\ only
758,C
759,C. normal distribution
760,D
761,f(n)=5f(n-1)+4
762,110x^2+42x
763,"4+9,\frac{8}{3}"
764,\frac{(a+b)(a-b)^4}{c^5}
765,A
766,"4.3750,7.3333,11.4286"
767,D
768,G
769,1620
770,"3,4,1,3,2,1,2,2,\frac12,2"
771,2
772,H
773,\frac{3a-14}{3}
774,"24,28,33,39,42"
775,y=6\sin(x-7)-6
776,17\frac{1}{2}
777,8
778,I
779,F
780,3t^{14}+6t^{12}+9t^{10}
781,sqrt(15)/8
782,-1517
783,H
784,\frac{17}{60}
785,"\text{False},\text{True},\text{False},\text{False}"
786,C
787,"16446944,\ 41.56,\ 46.92"
788,A
789,"8,8,-8,-8"
790,-20x^2+45x-25=0
791,F
792,\frac{\log(V/T)}{\log(h/g)}
793,"1.35,(1.48,\inf),0.0885,D"
794,"4.47,4"
795,"450,2,6"
796,F
797,C
798,"\text{no real solution},\text{EXTRANEOUS}"
799,8100
800,140
801,\text{A}
802,\frac{26}{7}
803,124
804,F
805,J
806,"-\frac{\sqrt{869}}{45},-\frac{34}{45},\frac{\sqrt{869}}{34},\frac{34}{\sqrt{869}},-\frac{45}{34},-\frac{45}{\sqrt{869}}"
807,E
808,B
809,1130
810,\text{None of the above}
811,1.336 \times 10^{-19}
812,r^{12}\sin^6 t\cos^6 t=8
813,"A,C"
814,"5,3.1636,0.6327,0.9293,30,20.4244,0.6808,35,23.5881"
815,H
816,"8.7,10.5333\ldots"
817,\frac{88}{21}
818,"6b+5a,ab"
819,E
820,15
821,"C,A,A,A"
822,\frac{700\pi}{11}
823,501
824,C
825,D
826,1800
827,H
828,"99.63,\mu,110.37"
829,8464
830,\frac{44\pi}{15}
831,E
832,J
833,"-19/3,3/4,48/6,40/3"
834,"\frac{\pi}{4},\frac{3\pi}{2},-\frac{19\pi}{6}"
835,126
836,2025
837,D
838,"(23.66, 28.34)"
839,G
840,F
841,"\sin(40+8\sqrt{x}),5+\sqrt{\sin(8x)}"
842,"65.47,1.50,6.26,1.833,B"
843,"2y,10"
844,J
845,5
846,"3,1,2,3,-2"
847,H
848,E
849,4(n+1)
850,C
851,B \text{ and } C
852,414.72
853,C
854,"-\frac{47}{8},-\frac{47}{6}"
855,"20000,2000"
856,D
857,"A,0.8967,0.9153,A,0.8996,0.9222"
858,"2.30,1.691,\text{Yes}"
859,"1,2,2,4"
860,22
861,G
862,I
863,\frac{1}{t^{69}}
864,"\frac{35}{3},25"
865,\frac{7}{x}-8
866,H
867,E
868,\text{No listed option; correct value is }96
869,"\frac{41}{2},\frac{x+y+xy}{2}"
870,D
871,G
872,"infinity,0"
873,A
874,J
875,C
876,C
877,F
878,I
879,H
880,"\frac{35}{37},\frac{35}{12}"
881,D
882,"1200,3600"
883,657
884,(x-59)^2+74
885,"18,139.875,18,B"
886,"A,C"
887,I
888,I
889,"5,4y"
890,"A,A,C,6"
891,A
892,69.65
893,"A,C"
894,"0.027,0.465,2.013,-0.131,0.231,-0.133,0.228,10"
895,70\left(\frac{2}{7}\right)^{\frac{x-10}{20}}
896,"\text{False,True,False,False,True,True,False,True}"
897,84.875
898,48
899,D
900,"1200,3600"
901,H
902,"9,6"
903,"A,C"
904,A
905,"B,C"
906,"x=2,\ x=5"
907,450
908,"100(0.83)^t,100(0.83)^5,39.390"
909,1520
910,"1134,16"
911,J
912,6013
913,G
914,"0.1901,0.2474"
915,-2
916,"3\sqrt{2},6\sqrt{2},18"
917,"189.8,246.4,43"
918,E
919,\frac{3875}{12012}
920,178
921,D
922,B
923,"y=-6.2x+297.6,93,48"
924,"n=55+0.2t,2010"
925,266
926,-3t^2-6t+2
927,"\text{False},\text{True},\text{True},\text{True},\text{False},\text{False}"
928,E
929,"6.086,(-0.72,3.12),A"
930,E
931,"3,-3"
932,26
933,E
934,J
935,H
936,\frac{275}{16}
937,640
938,\$49.88
939,E
940,B
941,"A,C,A,A,B,C"
942,36
