id,subject,type,n_ans_slots,wolfram_status,wolfram_answer,confidence,batch,computable,notes,question_preview
0023,other,MCQ,0,UNVERIFIED,,,,MAYBE,,The distance between points $A$ and $B$ is 5 km. Person A walks from $A$ towards
0024,statistics,free_single,1,DONE,1,HIGH,B9,YES,sum squared residuals=1; teacher correct; best=2 is wrong,"Suppose that the line $\hat{y}=3+2x$ is fitted to the data points (-1,2), (2,7),"
0025,statistics,free_multi,12,DONE,"8/63, 2/21, 11/63, 17/63, 13/63, 8/63, 8, 14, 25, 42, 55, 63",HIGH,B9,YES,"rel-freq+cumul-freq 12-slot; best=6 slots (cumul only), missing rel-freqs",$\begin{array}{cc}\hline Grade on Statistics Exam & Frequency \\ \hline Below 50
0026,other,MCQ,0,UNVERIFIED,,,,MAYBE,,"If $abc-ab-bc-ca+a+b+c=2008$ for positive integers $a$ , $b$ , and $c$ , then de"
0027,trigonometry,free_multi,2,UNVERIFIED,,,,YES,,"Solve the following equations in the interval [0,2 $\pi$]. Note: Give the answer"
0028,other,free_multi,6,UNVERIFIED,,,,MAYBE,,a) In a dictionary 16 pages are 1 millimeter thick. To find the thickness of 112
0029,algebra,free_single,1,DONE,38.2,HIGH,B9,YES,yellow tint pct: 26/68=38.24% rounded to 1dp=38.2; best=39 is wrong,"A mixture of 60 liters of paint is 25\% red tint, 30\% yellow tint and 45\% wate"
0030,statistics,free_multi,2,UNVERIFIED,,,,YES,,"College officials want to estimate the percentage of students who carry a gun, k"
0031,other,free_multi,2,UNVERIFIED,,,,MAYBE,,"Divide or state that the division is undefined. (In this case, enter undefined.)"
0032,geometry,free_multi,3,DONE,"sqrt(101), -1, -7/2",HIGH,B9,YES,"distance=sqrt(101), midpoint=(-1,-7/2); best(decimals) equivalent to teacher(exact)","The distance between $(4,-3)$ and $(-6,-4)$ is [ANS] The midpoint of the line se"
0033,geometry,MCQ,0,UNVERIFIED,,,,YES,,"A rectangle, $HOMF$, has sides $HO=11$ and $OM=5$. A triangle $ABC$ has $H$ as t"
0034,statistics,MCQ,0,UNVERIFIED,,,,YES,,"Given the following values for a variable: minimum value is 3, first quartile (Q"
0035,algebra,free_multi,2,UNVERIFIED,,,,YES,,Applying a horizontal stretch by a factor of $p$ (where $p$ is a constant such t
0036,other,free_single,1,UNVERIFIED,,,,MAYBE,,Multiply using the product rule: $(-8x^{5} y^{6})(-5x^{5} y^{3})$=[ANS]
0037,other,free_multi,3,UNVERIFIED,,,,MAYBE,,"Chucky takes his first step on January 1, 2000. Every day after that, he takes 3"
0038,other,MCQ,0,UNVERIFIED,,,,MAYBE,,Calculate the following products: $$ \int_{C} \frac{d z} {( z-1 )^{2} ( z^{2}+1 
0039,other,free_single,1,UNVERIFIED,,,,MAYBE,,One piece of paper is approximately $17$ millimeters in thickness. A stack of pa
0040,algebra,free_single,1,DONE,D = 800 - 50d,HIGH,B8,YES,missing LHS prefix; Qwen failure=missing-prefix,A homing pigeon starts 800 miles from home and flies 50 miles toward home each d
0041,other,free_single,0,DONE,2112,HIGH,WEBSEARCH,MAYBE,IMO 2025 P6 (Matilda tiles). ALL 5 teachers wrong (3986/4048/4048). Free-form.,Consider a $2025 \times 2025$ grid of unit squares. Matilda wishes to place on t
0042,statistics,free_multi,3,UNVERIFIED,,,,YES,,Lindsey thinks a certain potato chip maker is putting fewer chips in their regul
0043,trigonometry,free_multi,3,UNVERIFIED,,,,YES,,Use half angle formulas to fill in the blanks in the identity below: $(\sin(7x))
0044,statistics,free_multi,4,UNVERIFIED,,,,YES,,"Select True or False, depending on whether the corresponding statement is true o"
0045,statistics,MCQ,0,UNVERIFIED,,,,YES,,We now define an algorithm: The definition of a(n) is the sequence where a(n) re
0046,statistics,free_multi,7,UNVERIFIED,,,,YES,,A random sample of $100$ observations from a population with standard deviation 
0047,other,MCQ,0,UNVERIFIED,,,,MAYBE,,Find all natural numbers that satisfy $3^{m}-1$ being divisible by $2^{m}$.
0048,algebra,free_single,1,UNVERIFIED,,,,YES,,Rewrite the exponential equation $e^{-2} \approx 0.135$ in equivalent logarithmi
0049,statistics,free_single,1,DONE,0.0143,HIGH,B9,YES,type-II error beta; P(Z>=2.189)=0.01430; best=0.01433 agrees within rounding,Assume you are using a significance level of $\alpha=0.05$ to test the claim tha
0050,algebra,free_multi,2,UNVERIFIED,,,,YES,,An apple contains 140 calories and 3 g of fiber. A banana contains 150 calories 
0051,other,free_single,1,UNVERIFIED,,,,MAYBE,,"Using the multiplication table, compute $651 _{8} \times 32 _{8}$ $\begin{array}"
0052,other,free_multi,2,UNVERIFIED,,,,MAYBE,,You work in a lab. One day you need 616 oz of a chemical solution consisting of 
0053,algebra,MCQ,0,UNVERIFIED,,,,YES,,A bird is lost in a 3 by 3 by 3 cubical maze. The bird flies from room to room g
0054,geometry,free_single,0,UNVERIFIED,,,,YES,,"Let $P$ be a polygon formed by the edges of an infinite chessboard, which does n"
0055,algebra,free_single,1,UNVERIFIED,,,,YES,,Write an equation for $y$ in terms of $x$ if $y$ is proportional to the fourth p
0056,statistics,free_multi,3,UNVERIFIED,,,,YES,,"For each problem, select the best response. (a) Can one predict a student's scor"
0057,other,free_single,1,UNVERIFIED,,,,MAYBE,,"A rectangular plot, 19 ft by 18 ft, is to be used for a garden. It is decided to"
0058,number_theory,free_single,0,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,B9,YES,functional-equation competition problem; not Wolfram-computable; teacher=31 vs best=0,Let $\mathbb{Z}_{>0}$ denote the set of positive integers. Let $f : \mathbb{Z}_{
0059,other,free_single,1,UNVERIFIED,,,,MAYBE,,Evaluate the numerical expression $343^\frac{2}{3}.$ Answer: [ANS] Note: You can
0060,other,free_multi,2,UNVERIFIED,,,,MAYBE,,Suppose we were comparing the mean age of buyers of new domestic cars to the mea
0061,other,free_multi,5,UNVERIFIED,,,,MAYBE,,"A local pet shop charges \$0.76 per cricket up to 150 crickets, and \$0.69 per c"
0062,other,free_multi,3,UNVERIFIED,,,,MAYBE,,Multiply the following integers. ${(-1)\cdot(-5)\cdot(-3)=}$ [ANS] ${6\cdot(-8)\
0063,statistics,free_multi,2,UNVERIFIED,,,,YES,,The following data were drawn from a normal population. Find a 92.4\% confidence
0064,other,free_single,1,UNVERIFIED,,,,MAYBE,,A population of animals oscillates sinusoidally between a low of 500 on January 
0065,other,free_multi,2,UNVERIFIED,,,,MAYBE,,"Multiply: (Note: If necessary, use fractions not decimals.) a) $\frac{3}{7}(-2)="
0066,other,free_single,1,UNVERIFIED,,,,MAYBE,,A pilot flies in a straight path for 1 hour and 30 min. She then makes a course 
0067,other,free_multi,3,DONE,"7.6(1.09)^t, 13.9, 5.4",HIGH,B8,MAYBE,exponential growth 3-slot; Qwen under-counted,"In the year 2004, a total of 7.6 million passengers took a cruise vacation. The "
0068,statistics,free_multi,8,DONE,"-2.857, 6.986, -1.082, 3.707, -3.707, A, -12.647, 6.933",HIGH,B2,YES,8-slot paired t-test; slot1 was completely wrong (5.443),Suppose you want to test the claim the paired sample data given below come from 
0069,calculus,MCQ,0,UNVERIFIED,,,,YES,,"The function $f(x)=\frac{x \sin^2 x}{1+\sin x}$, then the integral $\int_0^{\pi}"
0070,other,free_single,1,UNVERIFIED,,,,MAYBE,,"A school just won a grant, and decided to spend ${{\textstyle\frac{5}{8}}}$ of t"
0071,other,free_multi,2,UNVERIFIED,,,,MAYBE,,You are working on a new temperature scale that will unify the earth. After some
0072,trigonometry,free_multi,5,DONE,"-0.8352, -0.9187, 0.3950, -2.3258, Quadrant IV",HIGH,B8,YES,trig 5-slot; full label required,"If $\sin(A)=0.55$ and $\cos(A) < 0$, determine: $\cos(A)=$ [ANS] $\sin(2A)=$ [AN"
0073,statistics,MCQ,0,UNVERIFIED,,,,YES,,"Given $X \sim N(0, 1), Y \sim N(0, 1)$ and they are independent. Let $U = X^{2} "
0074,statistics,free_single,1,UNVERIFIED,,,,YES,,"To test the efficacy of a new cholesterol-lowering medication, 10 people are sel"
0075,algebra,free_single,1,UNVERIFIED,,,,YES,,Mike can be paid in one of two ways based on the amount of merchandise he sells:
0076,other,free_multi,8,UNVERIFIED,,,,MAYBE,,6-10=[ANS].-6-5=[ANS].-9-(-12)=[ANS]. 20-(-13)=[ANS].-18-14=[ANS].-18-(-27)=[ANS
0077,statistics,free_multi,3,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,B9,YES,"study-design MCQ 3-slot; conceptual; not Wolfram-verifiable; teacher=C,D,A vs best=A",A study of human development showed two types of movies to a group of children. 
0078,other,MCQ,0,UNVERIFIED,,,,MAYBE,,"If distance of the origin from the plane passing through the point $(2,2,1)$ and"
0079,other,free_single,1,UNVERIFIED,,,,MAYBE,,"Add these together: ${3+\frac{4}{7}}$ When needed, use an improper fraction in y"
0080,algebra,MCQ,0,UNVERIFIED,,,,YES,,Simplify the fraction by rationalizing the denominator: $$\frac{4}{\sqrt{108}+2\
0081,other,free_single,1,UNVERIFIED,,,,MAYBE,,Suppose there are three sections of a Statistics course taught by the same instr
0082,statistics,free_multi,4,UNVERIFIED,,,,YES,,"There are several sections of statistics, some in the morning (AM) and some in t"
0083,other,free_single,0,UNVERIFIED,,,,MAYBE,,"Let $n > 1$ be an integer. In a configuration of an $n \times n$ board, each of "
0084,other,free_multi,3,UNVERIFIED,,,,MAYBE,,Subtract the following integers: ${4-8=}$ [ANS] ${8-3=}$ [ANS] ${3-14=}$ [ANS]
0085,other,MCQ,0,UNVERIFIED,,,,MAYBE,,"In a group of 1000 people, at least how many people have to share the same birth"
0086,other,free_single,1,UNVERIFIED,,,,MAYBE,,"A gym charges members ${\$35}$ for a registration fee, and then ${\$32}$ per mon"
0087,other,free_multi,3,UNVERIFIED,,,,MAYBE,,Determine whether the follow descriptions correspond to an observational study o
0088,algebra,MCQ,0,UNVERIFIED,,,,YES,,We now define an algorithm: The definition of a(n) is the number of possible dec
0089,other,free_single,1,DONE,\frac{326}{7},HIGH,B8,MAYBE,fraction vs decimal,"Initially, you have lost 20,000 dollars in the stock market and you continue to "
0090,other,free_single,1,UNVERIFIED,,,,MAYBE,,Find the nth term of the arithmetic sequence whose initial term is $8$ and commo
0091,other,MCQ,0,UNVERIFIED,,,,MAYBE,,We now define an algorithm: The definition of a(n) is numbers n such that there 
0092,calculus,MCQ,0,UNVERIFIED,,,,YES,,Find the value of the integral $$ I=\! \int_{0}^{1} \frac{x^{m-1}} {1+x^{n}} \ma
0093,other,free_single,0,UNVERIFIED,,,,MAYBE,,Consider a bee (denoted by X ) in a rectangular honeycomb as seen below:  |  | $
0094,geometry,MCQ,0,UNVERIFIED,,,,YES,,The option that represents the area of the plane figure enclosed by ( x = 1 - {y
0095,geometry,free_single,0,UNVERIFIED,,,,YES,,Let $\triangle A B C$ be an isosceles triangle with $A B=A C$. Let $D$ be a poin
0096,other,free_single,1,UNVERIFIED,,,,MAYBE,,"A baby was born $2$ years ago. In these $2$ years, the baby grew $13.6$ pounds. "
0097,trigonometry,free_multi,3,UNVERIFIED,,,,YES,,The equation $r=8 \sin \theta$ represents a circle. Find the cartesian coordinat
0098,number_theory,MCQ,0,UNVERIFIED,,,,YES,,"A deck of playing cards has 52 cards, and each shuffle changes the order of the "
0099,algebra,free_multi,3,UNVERIFIED,,,,YES,,Evaluate the following expressions which involve the absolute value: ${-\lvert 3
0100,other,free_single,1,DONE,\frac{180}{7},HIGH,B8,MAYBE,fraction vs decimal,"A jeweler has five rings, each weighing $18$ grams, made of an alloy of $10$ \% "
0101,statistics,free_multi,4,UNVERIFIED,,,,YES,,Consider a hypothesis test to decide whether the mean cost to community hospital
0102,other,MCQ,0,UNVERIFIED,,,,MAYBE,,"Let $C \subset\mathbb{P}^{3}$ be a smooth, irreducible, nondegenerate curve of d"
0103,other,free_single,1,DONE,8\sqrt{2},HIGH,B8,MAYBE,exact form vs decimal,If the distance from the town of Bree to Weathertop is 16 miles on a 45 degree u
0104,geometry,free_single,1,DONE,2387*pi/1800,HIGH,B9,YES,arc length r=7.7 theta=31deg; =4.1661 units; teacher(exact)=best(decimal) agree,Find the arc length corresponding to the given angle (in degrees) on a circle of
0105,statistics,free_multi,2,DONE,"24, 9.114",HIGH,B9,YES,range=24 ssd=9.114 confirmed; teacher/best agree,A sample of weights (in pounds) for six 12-year-olds is given below: 93 \quad 84
0106,other,free_single,1,DONE,\frac{13}{6},HIGH,B8,MAYBE,fraction vs decimal,"After robbing a bank in Dodge City, a robber gallops off at 13 mi/h. 30 minutes "
0107,other,MCQ,0,UNVERIFIED,,,,MAYBE,,"A ray of light passing through the point $A\left( 2,3 \right)$ reflected at a po"
0108,trigonometry,free_multi,2,UNVERIFIED,,,,YES,,Using a double-angle or half-angle formula to simplify the given expressions. (a
0109,linear_algebra,MCQ,0,UNVERIFIED,,,,YES,,Find theeigenvaluesof matrices (a)\vert31\vert \vert13\vert (b)\vert221\vert \ve
0110,algebra,free_multi,2,UNVERIFIED,,,,YES,,A national park records data regarding the total fox population $F$ over a 12 mo
0111,algebra,free_single,1,UNVERIFIED,,,,YES,,Simplify the following expression as much as possible. Assume that all variables
0112,geometry,free_single,0,UNVERIFIED,,,,YES,,The intersection between a plane and a cube is a convex pentagon $ABCDE$ satisfy
0113,trigonometry,free_single,1,DONE,(-2x^2-16x-7)/25,HIGH,B9,YES,cos(2theta) trig-sub; equiv to (25-2(x+4)^2)/25; teacher/best equivalent,If $x+4=5 \sin(\theta)$ for $0 < \theta < \pi/2$ express $\cos(2\theta)$ in term
0114,trigonometry,MCQ,0,UNVERIFIED,,,,YES,,"Given $k$ as an integer and $a \ne \pi \cdot k$, evaluate $P=\cos(a) \cdot \cos("
0115,other,free_multi,5,UNVERIFIED,,,,MAYBE,,A theater manager graphed weekly profits as a function of the number of patrons 
0116,other,free_multi,2,UNVERIFIED,,,,MAYBE,,Justin's boat travels 144 km downstream in 4 hours and it travels 168 km upstrea
0117,number_theory,MCQ,0,DONE,B,HIGH,WEBSEARCH,YES,Putnam 2021 A5. Answer = 2020 = option B. All 5 teachers agreed. High confidence.,Consider the set $V$ containing all integers $e$ between 1 and 2021 (inclusive) 
0118,other,free_single,1,DONE,\frac{18}{5},HIGH,B8,MAYBE,fraction vs decimal,You can paint a certain room in 9 hours. Your brother can do it in 6 hours. How 
0119,trigonometry,free_multi,4,UNVERIFIED,,,,YES,,Match the set of points as indicated by the ordered pair with the correct quadra
0120,number_theory,free_single,0,DONE,8,HIGH,WEBSEARCH,YES,Polya theorem on fixed divisors. 4/5 teachers agreed. Free-form.,"Let $n$ be a positive integer and $p$ be a prime. In terms of $n$ and $p$, let $"
0121,other,free_single,1,UNVERIFIED,,,,MAYBE,,"Fabrienne is working to pass a local measure, and she needs to collect a total o"
0122,other,free_multi,2,UNVERIFIED,,,,MAYBE,,"On average, a restaurant uses ${35.6\ {\rm lb}}$ of vegetable oil per day. Fill "
0123,trigonometry,MCQ,0,UNVERIFIED,,,,YES,,The primitive function of $(2xcos y-{{y}^{2}}sin x)dx+(2ycos x-{{x}^{2}}sin y)dy
0124,linear_algebra,MCQ,0,DONE,H,HIGH,B8,YES,Putnam 2018 A2; Qwen=G missed z=1 edge case,"Consider the set $\{1,2,\dots,z\}$ and all its nonempty subsets, which we'll den"
0125,calculus,MCQ,0,DONE,G,HIGH,WEBSEARCH,YES,Putnam 2016 A1; value=8 confirmed; MCQ option G (index 6 of 10 options),Determine the smallest positive integer $l$ such that for any polynomial $x(x)$ 
0126,other,free_single,1,UNVERIFIED,,,,MAYBE,,"According to a survey, $6.6\%$ of a city’s residents are native Americans. The l"
0127,other,free_single,1,UNVERIFIED,,,,MAYBE,,The velocity (in ft/s) of a sky diver $t$ seconds after jumping is given by v(t)
0128,algebra,free_single,1,UNVERIFIED,,,,YES,,$(y^2-9)$ Perform the indicated operation. Note that the denominators are the sa
0129,algebra,free_multi,4,UNVERIFIED,,,,YES,,Write each equation in polar coordinates. Express as a function of $\small{t}$. 
0130,algebra,free_single,1,UNVERIFIED,,,,YES,,Use the properties of exponents to simplify the following ${r^{16}}\cdot{r^{13}}
0131,statistics,free_single,1,UNVERIFIED,,,,YES,,"Physicians at a clinic gave what they thought were drugs to $950$ asthma, ulcer,"
0132,other,free_single,1,UNVERIFIED,,,,MAYBE,,It’s given that $1 \text{mile}=5280 \text{feet}$ and $1 \text{yard}=3 \text{feet
0133,trigonometry,free_multi,4,UNVERIFIED,,,,YES,,"If $\theta=\frac {5 \pi} {3}$, then $\sin (\theta)$ equals [ANS] $\cos (\theta)$"
0134,statistics,free_multi,8,DONE,"1, 5, 12, 20, 26, 30, 31, 27.63",HIGH,B2,YES,7 cumulative freqs + median; severe under-count,"Given the following table, compute the median of the grouped data. $\begin{array"
0135,algebra,free_single,1,DONE,3/5,HIGH,B9,YES,solve 8x+2=3x+5; x=3/5; best=36 is CATASTROPHICALLY WRONG,Solve the equation $8x+2=3x+5$ algebraically. $x=$ [ANS]
0136,statistics,free_multi,2,DONE,"A, C",MED,B9,YES,"percent-freq MCQ 2-slot; slot1=A(×100), slot2=C(n elements); best=C is undercount",The percent frequency of a class is computed by: [ANS] A. multiplying the relati
0137,other,free_multi,2,UNVERIFIED,,,,MAYBE,,Write each ratio as a fraction in simplest form: $36: 234$ is the fraction [ANS]
0138,other,free_single,1,UNVERIFIED,,,,MAYBE,,"When an aircraft takes off, it accelerates until it reaches its takeoff speed $V"
0139,other,free_multi,2,UNVERIFIED,,,,MAYBE,,Wirte the sum using sigma notation: $\frac{1}{1\cdot 2}+\frac{1}{2\cdot 3}+\frac
0140,other,free_single,1,UNVERIFIED,,,,MAYBE,,Gregory and Lesley are participating in a summer reading program. Gregory reads 
0141,number_theory,MCQ,0,DISPUTED,0,DISPUTED,WEBSEARCH,YES,"Putnam 1989 A-1 base-7 variant: math gives 0 primes but 0 is NOT in MCQ options (A-H: 1,4,5,7,6,8,2,3). Web search match likely wrong. DO NOT APPLY.","Consider all positive integers written in base 7, are alternating 1's and 0's, b"
0142,other,free_single,1,UNVERIFIED,,,,MAYBE,,List the elements of the set \lbrace x | x \mbox{is a natural number between 6 a
0143,other,free_multi,6,UNVERIFIED,,,,MAYBE,,"Convert from polar to rectangular coordinates: $\mathbf{(a)}\quad(8,\frac{3\pi}{"
0144,other,MCQ,0,UNVERIFIED,,,,MAYBE,,Compute $\sqrt[3]{130}$ with an estimate error of $0.0001$ using series expansio
0145,other,free_multi,3,UNVERIFIED,,,,MAYBE,,Suppose that $M$ is the function that computes how many miles are in $x$ feet. F
0146,calculus,MCQ,0,UNVERIFIED,,,,YES,,Find the integral: $$ \int \frac{ 4 \cdot x^2+25 \cdot x+7 }{ \sqrt{x^2+8 \cdot 
0147,geometry,MCQ,0,UNVERIFIED,,,,YES,,Compute the volume of the solid formed by rotating about the x-axis the area bou
0148,statistics,MCQ,0,UNVERIFIED,,,,YES,,The composite Poisson process is defined as $$\left|Y_{i}=\sum_{n=1}^{x_{i}}\xi_
0149,other,free_single,1,UNVERIFIED,,,,MAYBE,,An airplane is flying at the height of ${10.8\ {\rm km}}$. The airplane can see 
0150,algebra,MCQ,0,UNVERIFIED,,,,YES,,The cubic best square approximation polynomial of $f(x)=\mathrm{e}^{x}$ on $\lef
0151,other,free_single,1,UNVERIFIED,,,,MAYBE,,Evaluate the expression: ${48\div(8)6=}$ [ANS]
0152,number_theory,MCQ,0,UNVERIFIED,,,,YES,,Find the remainder when $$\sum_{a=0}^8 \sum_{b=0}^8 \sum_{c=0}^8 \sum_{d=0}^8 \m
0153,algebra,MCQ,0,UNVERIFIED,,,,YES,,Transform the following quadratic form into its standard form using the method o
0154,geometry,free_single,1,DONE,18.75,HIGH,B9,YES,paint cost: 488sqft/100*$3.75=$18.75; teacher/best agree,John's room is shaped like a box. It has a flat ceiling that is a rectangle that
0155,other,free_single,1,UNVERIFIED,,,,MAYBE,,A guy wire needs to be installed to support a pole. The end of the wire on the p
0156,linear_algebra,MCQ,0,UNVERIFIED,,,,YES,,What are the eigenroots of the following matrices? $$ \left( \begin{matrix} {{{1
0157,trigonometry,free_multi,2,UNVERIFIED,,,,YES,,A weight on a vertical spring is given an initial downward velocity of 5 cm/sec 
0158,statistics,free_multi,2,UNVERIFIED,,,,YES,,A tabular summary of a set of data showing the fraction of the total number item
0159,other,free_multi,3,UNVERIFIED,,,,MAYBE,,Change the following percentages into decimals: ${7\%=}$ [ANS] ${0.7\%=}$ [ANS] 
0160,other,free_multi,2,UNVERIFIED,,,,MAYBE,,Fill in the missing blank and determine the appropriate property illustrated: $1
0161,statistics,free_single,0,UNVERIFIED,,,,YES,,Let \( A \) be a set of 2025 positive real numbers. For a subset \( T \subseteq 
0162,geometry,MCQ,0,UNVERIFIED,,,,YES,,We now define an algorithm: The definition of a(n) is: Triangle with subscripts 
0163,algebra,free_multi,3,UNVERIFIED,,,,YES,,Factor the polynomial $(x-5)(x+4)^2-(x-5)^2(x+4)$. Your answer can be written as
0164,number_theory,MCQ,0,UNVERIFIED,,,,YES,,Function $f(x)$ is a polynomial defined by the equation $$\begin{align*} f(x) & 
0165,other,MCQ,0,UNVERIFIED,,,,MAYBE,,Let $\mathrm{F}$ be the set $$ A = {\frac{0.6}{u_{1}}} + {\frac{0.8}{u_{2}}} + {
0166,geometry,free_single,1,UNVERIFIED,,,,YES,,"The area covered by a marsh, $A$, starts at $175$ acres and drops by a factor of"
0167,trigonometry,free_multi,4,DONE,"Negative, Negative, Positive, Negative",HIGH,B8,YES,words not letters; Qwen failure=letter-vs-word,Determine whether each of the following expressions is Positive or Negative. $\s
0168,other,free_multi,4,UNVERIFIED,,,,MAYBE,,"A choral conductor has 1301 singers in her choir, some of them are professional "
0169,other,free_single,1,UNVERIFIED,,,,MAYBE,,The population of cats in a shelter increased from $16$ to $80$. What is the per
0170,other,MCQ,0,UNVERIFIED,,,,MAYBE,,Let $X=( S^{1} \times S^{1} ) \setminus\{p \}$ be a once-punctured torus. How ma
0171,geometry,free_single,1,DONE,20,HIGH,B9,YES,"area of rect {3<=x<=7, 2<=y<=7}=4*5=20; best=21 is wrong","Sketch the region given by the set $\lbrace (x,y) | 3\le x\le 7, 2\le y\le 7 \rb"
0172,trigonometry,free_single,1,UNVERIFIED,,,,YES,,Find the exact value. $\small{\sin} \left(\small{2 \cos^{-1}} \large{\left(\frac
0173,other,MCQ,0,UNVERIFIED,,,,MAYBE,,"Let $S = \{5^ k | k \in Z, 0 \le k \le 2004\}$ . Given that $5^{2004} = 5443 ..."
0174,other,free_multi,2,UNVERIFIED,,,,MAYBE,,Consider the function $H$ defined by $H(x)={\sqrt{x}}$. Evaluate the following: 
0175,number_theory,MCQ,0,UNVERIFIED,,,,YES,,We now define an algorithm: The definition of a(n) is the least common multiple 
0176,algebra,free_single,1,UNVERIFIED,,,,YES,,Solve the following equation for $w$: 8 w+6 k+m=p. $w=$ [ANS]
0177,geometry,MCQ,0,DONE,pi^2/6,HIGH,B9,YES,vol of rotation; solve func eq -> f(x)=x/sqrt(1+x^2); V=2pi*int_1/2^sqrt(3)/2 y^2/sqrt(1-y^2)dy=pi^2/6; teacher=H,"Let the domain of the function f (x) be $( 0, \ +x )$ and satisfy $2 f \left( x "
0178,linear_algebra,MCQ,0,UNVERIFIED,,,,YES,,"Let the 3rd order matrix \( A = (\alpha_1, \alpha_2, \alpha_3), B = (\alpha_2 - "
0179,number_theory,free_multi,10,UNVERIFIED,,,,YES,,When you divide 177 by 6 the quotient is [ANS] and the remainder is [ANS] When y
0180,algebra,free_single,1,UNVERIFIED,,,,YES,,Use the distributive property to simplify the expression completely. ${{\textsty
0181,statistics,MCQ,0,DONE,A,HIGH,B8,YES,symmetry proof; only symmetric matrix; Qwen=B wrong,There are four types of products with the following indicators: $$ \begin{array}
0182,other,MCQ,0,UNVERIFIED,,,,MAYBE,,A gambler believes that the chance of rolling at least one 6 in four throws of a
