id,subject,type,n_ans_slots,wolfram_status,wolfram_answer,confidence,batch,computable,notes,question_preview
0022,geometry,MCQ,0,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,B13,YES,polyhedron 37 faces vertex count; teacher/best both=G (agree but not Wolfram-verifiable),"Let $P$ be a polyhedron with $37$ faces, all of which are equilateral triangles,"
0023,other,MCQ,0,UNVERIFIED,,,,MAYBE,,The distance between points $A$ and $B$ is 5 km. Person A walks from $A$ towards
0024,statistics,free_single,1,DONE,1,HIGH,B9,YES,sum squared residuals=1; teacher correct; best=2 is wrong,"Suppose that the line $\hat{y}=3+2x$ is fitted to the data points (-1,2), (2,7),"
0025,statistics,free_multi,12,DONE,"8/63, 2/21, 11/63, 17/63, 13/63, 8/63, 8, 14, 25, 42, 55, 63",HIGH,B9,YES,"rel-freq+cumul-freq 12-slot; best=6 slots (cumul only), missing rel-freqs",$\begin{array}{cc}\hline Grade on Statistics Exam & Frequency \\ \hline Below 50
0026,other,MCQ,0,UNVERIFIED,,,,MAYBE,,"If $abc-ab-bc-ca+a+b+c=2008$ for positive integers $a$ , $b$ , and $c$ , then de"
0027,trigonometry,free_multi,2,DONE,"1/3, 2/3, 7/6, 11/6",HIGH,B15,YES,"sin=sqrt3/2->1/3,2/3; sin=-1/2->7/6,11/6; best=""7/6,11/6"" undercount (missing eq1)","Solve the following equations in the interval [0,2 $\pi$]. Note: Give the answer"
0028,other,free_multi,6,UNVERIFIED,,,,MAYBE,,a) In a dictionary 16 pages are 1 millimeter thick. To find the thickness of 112
0029,algebra,free_single,1,DONE,38.2,HIGH,B9,YES,yellow tint pct: 26/68=38.24% rounded to 1dp=38.2; best=39 is wrong,"A mixture of 60 liters of paint is 25\% red tint, 30\% yellow tint and 45\% wate"
0030,statistics,free_multi,2,DONE,"2944, 664",HIGH,B13,YES,sample size: a) p=0.5 n=2944; b) given p->664; teacher/best agree,"College officials want to estimate the percentage of students who carry a gun, k"
0031,other,free_multi,2,UNVERIFIED,,,,MAYBE,,"Divide or state that the division is undefined. (In this case, enter undefined.)"
0032,geometry,free_multi,3,DONE,"sqrt(101), -1, -7/2",HIGH,B9,YES,"distance=sqrt(101), midpoint=(-1,-7/2); best(decimals) equivalent to teacher(exact)","The distance between $(4,-3)$ and $(-6,-4)$ is [ANS] The midpoint of the line se"
0033,geometry,MCQ,0,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,B13,YES,triangle orthocenter/circumcenter geometry; teacher/best both=F (agree),"A rectangle, $HOMF$, has sides $HO=11$ and $OM=5$. A triangle $ABC$ has $H$ as t"
0034,statistics,MCQ,0,DONE,20 is an outlier (Q3+1.5*IQR=19.5<20),MED,B19,YES,"boxplot: IQR=6, upper fence 19.5, max 20 -> outlier; best=J; needs options to confirm letter","Given the following values for a variable: minimum value is 3, first quartile (Q"
0035,algebra,free_multi,2,DONE,"down, ln(p)",HIGH,B16,YES,horiz stretch p of ln(x): ln(x/p)=ln(x)-ln(p) -> down by ln(p); best correct,Applying a horizontal stretch by a factor of $p$ (where $p$ is a constant such t
0036,other,free_single,1,UNVERIFIED,,,,MAYBE,,Multiply using the product rule: $(-8x^{5} y^{6})(-5x^{5} y^{3})$=[ANS]
0037,other,free_multi,3,UNVERIFIED,,,,MAYBE,,"Chucky takes his first step on January 1, 2000. Every day after that, he takes 3"
0038,other,MCQ,0,UNVERIFIED,,,,MAYBE,,Calculate the following products: $$ \int_{C} \frac{d z} {( z-1 )^{2} ( z^{2}+1 
0039,other,free_single,1,UNVERIFIED,,,,MAYBE,,One piece of paper is approximately $17$ millimeters in thickness. A stack of pa
0040,algebra,free_single,1,DONE,D = 800 - 50d,HIGH,B8,YES,missing LHS prefix; Qwen failure=missing-prefix,A homing pigeon starts 800 miles from home and flies 50 miles toward home each d
0041,other,free_single,0,DONE,2112,HIGH,WEBSEARCH,MAYBE,IMO 2025 P6 (Matilda tiles). ALL 5 teachers wrong (3986/4048/4048). Free-form.,Consider a $2025 \times 2025$ grid of unit squares. Matilda wishes to place on t
0042,statistics,free_multi,3,DONE,"No, Yes, A",HIGH,B13,YES,"P=0.095: a)5% No, b)10% Yes, c)A; teacher/best agree",Lindsey thinks a certain potato chip maker is putting fewer chips in their regul
0043,trigonometry,free_multi,3,DONE,"3/8, 14, 28",HIGH,B15,YES,sin^4(7x)=3/8-1/2cos(14x)+1/8cos(28x); best correct (TrigReduce confirmed),Use half angle formulas to fill in the blanks in the identity below: $(\sin(7x))
0044,statistics,free_multi,4,DONE,"True, True, True, False",HIGH,B13,YES,regression T/F 4-slot; teacher/best agree,"Select True or False, depending on whether the corresponding statement is true o"
0045,statistics,MCQ,0,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,B13,YES,OEIS male-offspring recurrence MCQ; teacher/best both=A (agree but not computable),We now define an algorithm: The definition of a(n) is the sequence where a(n) re
0046,statistics,free_multi,7,DONE,"1.645, 1.719, 1.960, -1.960, 1.719, B, A",MED,B16,YES,hypothesis test 7-slot; best has all 7; z-crit/stat plausible,A random sample of $100$ observations from a population with standard deviation 
0047,other,MCQ,0,UNVERIFIED,,,,MAYBE,,Find all natural numbers that satisfy $3^{m}-1$ being divisible by $2^{m}$.
0048,algebra,free_single,1,DONE,C (-2 ~ ln(0.135)),HIGH,B19,YES,e^-2=0.135 -> -2=ln(0.135)=option C; MATCH (best=C),Rewrite the exponential equation $e^{-2} \approx 0.135$ in equivalent logarithmi
0049,statistics,free_single,1,DONE,0.0143,HIGH,B9,YES,type-II error beta; P(Z>=2.189)=0.01430; best=0.01433 agrees within rounding,Assume you are using a significance level of $\alpha=0.05$ to test the claim tha
0050,algebra,free_multi,2,DONE,"140A+150B=5930, 3A+4B=142",HIGH,B16,YES,apple/banana system; best correct (calories + fiber equations),An apple contains 140 calories and 3 g of fiber. A banana contains 150 calories 
0051,other,free_single,1,UNVERIFIED,,,,MAYBE,,"Using the multiplication table, compute $651 _{8} \times 32 _{8}$ $\begin{array}"
0052,other,free_multi,2,UNVERIFIED,,,,MAYBE,,You work in a lab. One day you need 616 oz of a chemical solution consisting of 
0053,algebra,MCQ,0,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,B19,YES,bird-in-3x3x3-maze Markov competition; best=F; not Wolfram-computable,A bird is lost in a 3 by 3 by 3 cubical maze. The bird flies from room to room g
0054,geometry,free_single,0,DONE,1,MED,B14,YES,"chessboard polygon a1>=a3+something; teacher+best agree=1; competition, not Wolfram-verified","Let $P$ be a polygon formed by the edges of an infinite chessboard, which does n"
0055,algebra,free_single,1,DONE,5x^4,HIGH,B18,YES,"y=kx^4, 405=k*81->k=5; y=5x^4; MATCH (best correct)",Write an equation for $y$ in terms of $x$ if $y$ is proportional to the fourth p
0056,statistics,free_multi,3,DONE,"D, D, A",MED,B17,YES,regression concept MCQ 3-slot; best all slots present,"For each problem, select the best response. (a) Can one predict a student's scor"
0057,other,free_single,1,UNVERIFIED,,,,MAYBE,,"A rectangular plot, 19 ft by 18 ft, is to be used for a garden. It is decided to"
0058,number_theory,free_single,0,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,B9,YES,functional-equation competition problem; not Wolfram-computable; teacher=31 vs best=0,Let $\mathbb{Z}_{>0}$ denote the set of positive integers. Let $f : \mathbb{Z}_{
0059,other,free_single,1,UNVERIFIED,,,,MAYBE,,Evaluate the numerical expression $343^\frac{2}{3}.$ Answer: [ANS] Note: You can
0060,other,free_multi,2,UNVERIFIED,,,,MAYBE,,Suppose we were comparing the mean age of buyers of new domestic cars to the mea
0061,other,free_multi,5,UNVERIFIED,,,,MAYBE,,"A local pet shop charges \$0.76 per cricket up to 150 crickets, and \$0.69 per c"
0062,other,free_multi,3,UNVERIFIED,,,,MAYBE,,Multiply the following integers. ${(-1)\cdot(-5)\cdot(-3)=}$ [ANS] ${6\cdot(-8)\
0063,statistics,free_multi,2,DONE,"15.84, 18.96",HIGH,B17,YES,"92.4% CI: mean=17.4, s=2.413, t(9)~2.045 -> (15.84,18.96); best correct",The following data were drawn from a normal population. Find a 92.4\% confidence
0064,other,free_single,1,UNVERIFIED,,,,MAYBE,,A population of animals oscillates sinusoidally between a low of 500 on January 
0065,other,free_multi,2,UNVERIFIED,,,,MAYBE,,"Multiply: (Note: If necessary, use fractions not decimals.) a) $\frac{3}{7}(-2)="
0066,other,free_single,1,UNVERIFIED,,,,MAYBE,,A pilot flies in a straight path for 1 hour and 30 min. She then makes a course 
0067,other,free_multi,3,DONE,"7.6(1.09)^t, 13.9, 5.4",HIGH,B8,MAYBE,exponential growth 3-slot; Qwen under-counted,"In the year 2004, a total of 7.6 million passengers took a cruise vacation. The "
0068,statistics,free_multi,8,DONE,"-2.857, 6.986, -1.082, 3.707, -3.707, A, -12.647, 6.933",HIGH,B2,YES,8-slot paired t-test; slot1 was completely wrong (5.443),Suppose you want to test the claim the paired sample data given below come from 
0069,calculus,MCQ,0,DONE,pi(4-pi)/2,HIGH,B14,YES,int_0^pi x sin^2 x/(1+sin x) dx = pi(4-pi)/2 = 1.3484; teacher+best=G; value confirmed,"The function $f(x)=\frac{x \sin^2 x}{1+\sin x}$, then the integral $\int_0^{\pi}"
0070,other,free_single,1,UNVERIFIED,,,,MAYBE,,"A school just won a grant, and decided to spend ${{\textstyle\frac{5}{8}}}$ of t"
0071,other,free_multi,2,UNVERIFIED,,,,MAYBE,,You are working on a new temperature scale that will unify the earth. After some
0072,trigonometry,free_multi,5,DONE,"-0.8352, -0.9187, 0.3950, -2.3258, Quadrant IV",HIGH,B8,YES,trig 5-slot; full label required,"If $\sin(A)=0.55$ and $\cos(A) < 0$, determine: $\cos(A)=$ [ANS] $\sin(2A)=$ [AN"
0073,statistics,MCQ,0,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,B19,YES,"joint pdf of U=X^2+Y^2,V=X/Y transformation; best=E; hard to verify letter","Given $X \sim N(0, 1), Y \sim N(0, 1)$ and they are independent. Let $U = X^{2} "
0074,statistics,free_single,1,DONE,"12.36, 25.04",HIGH,B19,YES,"paired diff CI 94.6%: mean=18.7,s=9.056,t(9)=2.22 -> (12.36,25.04); MATCH (best=12.32,25.08 rounding)","To test the efficacy of a new cholesterol-lowering medication, 10 people are sel"
0075,algebra,free_single,1,DONE,x > 21250,HIGH,B14,YES,Plan A vs B: 1100+0.11x vs 1450+0.09x -> x>21250 wait sign; teacher+best agree x>21250,Mike can be paid in one of two ways based on the amount of merchandise he sells:
0076,other,free_multi,8,UNVERIFIED,,,,MAYBE,,6-10=[ANS].-6-5=[ANS].-9-(-12)=[ANS]. 20-(-13)=[ANS].-18-14=[ANS].-18-(-27)=[ANS
0077,statistics,free_multi,3,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,B9,YES,"study-design MCQ 3-slot; conceptual; not Wolfram-verifiable; teacher=C,D,A vs best=A",A study of human development showed two types of movies to a group of children. 
0078,other,MCQ,0,UNVERIFIED,,,,MAYBE,,"If distance of the origin from the plane passing through the point $(2,2,1)$ and"
0079,other,free_single,1,UNVERIFIED,,,,MAYBE,,"Add these together: ${3+\frac{4}{7}}$ When needed, use an improper fraction in y"
0080,algebra,MCQ,0,DONE,sqrt(3)/12,HIGH,B19,YES,4/(6sqrt3+4sqrt3+6sqrt3)=4/(16sqrt3)=sqrt3/12; value verified; MCQ best=G,Simplify the fraction by rationalizing the denominator: $$\frac{4}{\sqrt{108}+2\
0081,other,free_single,1,UNVERIFIED,,,,MAYBE,,Suppose there are three sections of a Statistics course taught by the same instr
0082,statistics,free_multi,4,DONE,"1.309, 1.677, ?, No",MED,B15,YES,"two-sample t 4-slot; best=""1.309,1.677,No"" undercount 3of4; slot3 (df/p) needs source","There are several sections of statistics, some in the morning (AM) and some in t"
0083,other,free_single,0,UNVERIFIED,,,,MAYBE,,"Let $n > 1$ be an integer. In a configuration of an $n \times n$ board, each of "
0084,other,free_multi,3,UNVERIFIED,,,,MAYBE,,Subtract the following integers: ${4-8=}$ [ANS] ${8-3=}$ [ANS] ${3-14=}$ [ANS]
0085,other,MCQ,0,UNVERIFIED,,,,MAYBE,,"In a group of 1000 people, at least how many people have to share the same birth"
0086,other,free_single,1,UNVERIFIED,,,,MAYBE,,"A gym charges members ${\$35}$ for a registration fee, and then ${\$32}$ per mon"
0087,other,free_multi,3,UNVERIFIED,,,,MAYBE,,Determine whether the follow descriptions correspond to an observational study o
0088,algebra,MCQ,0,DONE,C,MED,B14,YES,OEIS polynomial decomposition; teacher+best agree=C; not Wolfram-computable,We now define an algorithm: The definition of a(n) is the number of possible dec
0089,other,free_single,1,DONE,\frac{326}{7},HIGH,B8,MAYBE,fraction vs decimal,"Initially, you have lost 20,000 dollars in the stock market and you continue to "
0090,other,free_single,1,UNVERIFIED,,,,MAYBE,,Find the nth term of the arithmetic sequence whose initial term is $8$ and commo
0091,other,MCQ,0,UNVERIFIED,,,,MAYBE,,We now define an algorithm: The definition of a(n) is numbers n such that there 
0092,calculus,MCQ,0,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,B19,YES,parametric integral int_0^1 x^(m-1)/(1+x^n)dx; no numeric answer; best=E,Find the value of the integral $$ I=\! \int_{0}^{1} \frac{x^{m-1}} {1+x^{n}} \ma
0093,other,free_single,0,UNVERIFIED,,,,MAYBE,,Consider a bee (denoted by X ) in a rectangular honeycomb as seen below:  |  | $
0094,geometry,MCQ,0,DONE,4/3,HIGH,B19,YES,"area x=1-y^2,x=0: int_-1^1(1-y^2)dy=4/3; value verified; MCQ best=C",The option that represents the area of the plane figure enclosed by ( x = 1 - {y
0095,geometry,free_single,0,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,B19,YES,isosceles triangle circumcircle competition; best=12; not Wolfram-computable,Let $\triangle A B C$ be an isosceles triangle with $A B=A C$. Let $D$ be a poin
0096,other,free_single,1,UNVERIFIED,,,,MAYBE,,"A baby was born $2$ years ago. In these $2$ years, the baby grew $13.6$ pounds. "
0097,trigonometry,free_multi,3,DONE,"0, 4, 4",HIGH,B17,YES,"r=8sinθ -> x^2+(y-4)^2=16; center(0,4) r=4; best correct",The equation $r=8 \sin \theta$ represents a circle. Find the cartesian coordinat
0098,number_theory,MCQ,0,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,B19,YES,52-card riffle permutation order competition; best=A; not computable,"A deck of playing cards has 52 cards, and each shuffle changes the order of the "
0099,algebra,free_multi,3,DONE,"-6, 12, -6",HIGH,B17,YES,-|3-9|=-6; |-3-9|=12; -1|9-3|=-6; best correct,Evaluate the following expressions which involve the absolute value: ${-\lvert 3
0100,other,free_single,1,DONE,\frac{180}{7},HIGH,B8,MAYBE,fraction vs decimal,"A jeweler has five rings, each weighing $18$ grams, made of an alloy of $10$ \% "
0101,statistics,free_multi,4,DONE,"C, C, A, C",MED,B17,YES,hypothesis test concept MCQ 4-slot; best all slots present,Consider a hypothesis test to decide whether the mean cost to community hospital
0102,other,MCQ,0,UNVERIFIED,,,,MAYBE,,"Let $C \subset\mathbb{P}^{3}$ be a smooth, irreducible, nondegenerate curve of d"
0103,other,free_single,1,DONE,8\sqrt{2},HIGH,B8,MAYBE,exact form vs decimal,If the distance from the town of Bree to Weathertop is 16 miles on a 45 degree u
0104,geometry,free_single,1,DONE,2387*pi/1800,HIGH,B9,YES,arc length r=7.7 theta=31deg; =4.1661 units; teacher(exact)=best(decimal) agree,Find the arc length corresponding to the given angle (in degrees) on a circle of
0105,statistics,free_multi,2,DONE,"24, 9.114",HIGH,B9,YES,range=24 ssd=9.114 confirmed; teacher/best agree,A sample of weights (in pounds) for six 12-year-olds is given below: 93 \quad 84
0106,other,free_single,1,DONE,\frac{13}{6},HIGH,B8,MAYBE,fraction vs decimal,"After robbing a bank in Dodge City, a robber gallops off at 13 mi/h. 30 minutes "
0107,other,MCQ,0,UNVERIFIED,,,,MAYBE,,"A ray of light passing through the point $A\left( 2,3 \right)$ reflected at a po"
0108,trigonometry,free_multi,2,DONE,"72, 12x",HIGH,B14,YES,"cos^2-sin^2=cos(2t): A=72, B=12x; teacher+best agree",Using a double-angle or half-angle formula to simplify the given expressions. (a
0109,linear_algebra,MCQ,0,DONE,"(a) 4,2 (b) 5,1,1 (c) 3,-1,1",HIGH,B19,YES,eigenvalues of 3 matrices computed; value verified; MCQ best=B,Find theeigenvaluesof matrices (a)\vert31\vert \vert13\vert (b)\vert221\vert \ve
0110,algebra,free_multi,2,DONE,"3, 9",MED,B14,YES,"fox population sinusoid params; teacher+best agree=3,9",A national park records data regarding the total fox population $F$ over a 12 mo
0111,algebra,free_single,1,DONE,8x^3,HIGH,B14,YES,4thrt(64x^5)*4thrt(64x^7)=4thrt(4096 x^12)=8x^3; teacher+best agree,Simplify the following expression as much as possible. Assume that all variables
0112,geometry,free_single,0,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,B18,YES,cube cross-section pentagon competition; best=600; not Wolfram-computable,The intersection between a plane and a cube is a convex pentagon $ABCDE$ satisfy
0113,trigonometry,free_single,1,DONE,(-2x^2-16x-7)/25,HIGH,B9,YES,cos(2theta) trig-sub; equiv to (25-2(x+4)^2)/25; teacher/best equivalent,If $x+4=5 \sin(\theta)$ for $0 < \theta < \pi/2$ express $\cos(2\theta)$ in term
0114,trigonometry,MCQ,0,DONE,sin(2^(n+1) a)/(2^(n+1) sin a),MED,B19,YES,product cos(a)...cos(2^n a)=sin(2^(n+1)a)/(2^(n+1)sin a) identity; MCQ best=D,"Given $k$ as an integer and $a \ne \pi \cdot k$, evaluate $P=\cos(a) \cdot \cos("
0115,other,free_multi,5,UNVERIFIED,,,,MAYBE,,A theater manager graphed weekly profits as a function of the number of patrons 
0116,other,free_multi,2,UNVERIFIED,,,,MAYBE,,Justin's boat travels 144 km downstream in 4 hours and it travels 168 km upstrea
0117,number_theory,MCQ,0,DONE,B,HIGH,WEBSEARCH,YES,Putnam 2021 A5. Answer = 2020 = option B. All 5 teachers agreed. High confidence.,Consider the set $V$ containing all integers $e$ between 1 and 2021 (inclusive) 
0118,other,free_single,1,DONE,\frac{18}{5},HIGH,B8,MAYBE,fraction vs decimal,You can paint a certain room in 9 hours. Your brother can do it in 6 hours. How 
0119,trigonometry,free_multi,4,DONE,"A, C, B, D",MED,B17,YES,quadrant matching 4-slot; best all slots present,Match the set of points as indicated by the ordered pair with the correct quadra
0120,number_theory,free_single,0,DONE,8,HIGH,WEBSEARCH,YES,Polya theorem on fixed divisors. 4/5 teachers agreed. Free-form.,"Let $n$ be a positive integer and $p$ be a prime. In terms of $n$ and $p$, let $"
0121,other,free_single,1,UNVERIFIED,,,,MAYBE,,"Fabrienne is working to pass a local measure, and she needs to collect a total o"
0122,other,free_multi,2,UNVERIFIED,,,,MAYBE,,"On average, a restaurant uses ${35.6\ {\rm lb}}$ of vegetable oil per day. Fill "
0123,trigonometry,MCQ,0,DONE,x^2 cos(y) + y^2 cos(x),HIGH,B19,YES,exact differential primitive: d(x^2cosy+y^2cosx) matches; value verified; MCQ best=G,The primitive function of $(2xcos y-{{y}^{2}}sin x)dx+(2ycos x-{{x}^{2}}sin y)dy
0124,linear_algebra,MCQ,0,DONE,H,HIGH,B8,YES,Putnam 2018 A2; Qwen=G missed z=1 edge case,"Consider the set $\{1,2,\dots,z\}$ and all its nonempty subsets, which we'll den"
0125,calculus,MCQ,0,DONE,G,HIGH,WEBSEARCH,YES,Putnam 2016 A1; value=8 confirmed; MCQ option G (index 6 of 10 options),Determine the smallest positive integer $l$ such that for any polynomial $x(x)$ 
0126,other,free_single,1,UNVERIFIED,,,,MAYBE,,"According to a survey, $6.6\%$ of a city’s residents are native Americans. The l"
0127,other,free_single,1,UNVERIFIED,,,,MAYBE,,The velocity (in ft/s) of a sky diver $t$ seconds after jumping is given by v(t)
0128,algebra,free_single,1,DONE,(y-3)/(y+3),HIGH,B19,YES,(y^2-9)/(y+3)^2=(y-3)/(y+3); MATCH (best correct),$(y^2-9)$ Perform the indicated operation. Note that the denominators are the sa
0129,algebra,free_multi,4,DONE,"5/sin(t), sqrt(7), -3cos(t), 2sqrt(2)tan(t)",HIGH,B17,YES,polar conversions: y=5->r=5/sint; x^2+y^2=7->r=sqrt7; best correct,Write each equation in polar coordinates. Express as a function of $\small{t}$. 
0130,algebra,free_single,1,DONE,r^42,HIGH,B19,YES,r^16*r^13*r^13=r^42; MATCH (best correct),Use the properties of exponents to simplify the following ${r^{16}}\cdot{r^{13}}
0131,statistics,free_single,1,DONE,0.1084,HIGH,B19,YES,"prop z=(0.55-0.53)/sqrt(0.53*0.47/950)=1.235, p=1-Phi=0.1084; MATCH (best correct)","Physicians at a clinic gave what they thought were drugs to $950$ asthma, ulcer,"
0132,other,free_single,1,UNVERIFIED,,,,MAYBE,,It’s given that $1 \text{mile}=5280 \text{feet}$ and $1 \text{yard}=3 \text{feet
0133,trigonometry,free_multi,4,DONE,"-0.8660, 0.5000, -1.732, 2.000",HIGH,B17,YES,"θ=5π/3: sin=-√3/2,cos=1/2,tan=-√3,sec=2; best correct","If $\theta=\frac {5 \pi} {3}$, then $\sin (\theta)$ equals [ANS] $\cos (\theta)$"
0134,statistics,free_multi,8,DONE,"1, 5, 12, 20, 26, 30, 31, 27.63",HIGH,B2,YES,7 cumulative freqs + median; severe under-count,"Given the following table, compute the median of the grouped data. $\begin{array"
0135,algebra,free_single,1,DONE,3/5,HIGH,B9,YES,solve 8x+2=3x+5; x=3/5; best=36 is CATASTROPHICALLY WRONG,Solve the equation $8x+2=3x+5$ algebraically. $x=$ [ANS]
0136,statistics,free_multi,2,DONE,"A, C",MED,B9,YES,"percent-freq MCQ 2-slot; slot1=A(×100), slot2=C(n elements); best=C is undercount",The percent frequency of a class is computed by: [ANS] A. multiplying the relati
0137,other,free_multi,2,UNVERIFIED,,,,MAYBE,,Write each ratio as a fraction in simplest form: $36: 234$ is the fraction [ANS]
0138,other,free_single,1,UNVERIFIED,,,,MAYBE,,"When an aircraft takes off, it accelerates until it reaches its takeoff speed $V"
0139,other,free_multi,2,UNVERIFIED,,,,MAYBE,,Wirte the sum using sigma notation: $\frac{1}{1\cdot 2}+\frac{1}{2\cdot 3}+\frac
0140,other,free_single,1,UNVERIFIED,,,,MAYBE,,Gregory and Lesley are participating in a summer reading program. Gregory reads 
0141,number_theory,MCQ,0,DISPUTED,0,DISPUTED,WEBSEARCH,YES,"Putnam 1989 A-1 base-7 variant: math gives 0 primes but 0 is NOT in MCQ options (A-H: 1,4,5,7,6,8,2,3). Web search match likely wrong. DO NOT APPLY.","Consider all positive integers written in base 7, are alternating 1's and 0's, b"
0142,other,free_single,1,UNVERIFIED,,,,MAYBE,,List the elements of the set \lbrace x | x \mbox{is a natural number between 6 a
0143,other,free_multi,6,UNVERIFIED,,,,MAYBE,,"Convert from polar to rectangular coordinates: $\mathbf{(a)}\quad(8,\frac{3\pi}{"
0144,other,MCQ,0,UNVERIFIED,,,,MAYBE,,Compute $\sqrt[3]{130}$ with an estimate error of $0.0001$ using series expansio
0145,other,free_multi,3,UNVERIFIED,,,,MAYBE,,Suppose that $M$ is the function that computes how many miles are in $x$ feet. F
