item_id,item_type,predicted_kaggle_answer,confidence_pct,tier,runner_up_answer,runner_up_pct,num_submissions_agreeing,num_submissions_with_answer,teacher_consensus,teacher_agrees,investigation_flag,submission_answer_distribution_json
12,free,"2c+4p=70,\ 11",60.25,3,11,28.77,1,12,,False,False,"{""11"": 6, ""2c+4p=70,11"": 3, ""2c+4p=70,\\11"": 1, ""PLACEHOLDER_0012"": 2}"
13,MCQ,C,99.0,1,INVALID,1.27,7,12,C,True,False,"{""C"": 7, ""PLACEHOLDER_0013"": 3, ""INVALID"": 2}"
14,free,\dfrac{\ln 35}{\ln 3},96.23,1,\displaystyle\frac{\ln35}{\ln3},1.77,6,12,,False,False,"{""\\dfrac{\\ln35}{\\ln3}"": 6, ""\\dfrac{\\ln(35)}{\\ln(3)}"": 3, ""\\displaystyle\\frac{\\ln35}{\\ln3}"": 2, ""PLACEHOLDER_0014"": 1}"
15,free,"8, NONE",97.68,1,NONE,6.66,5,12,"8,NONE",True,False,"{""8,NONE"": 5, ""NONE"": 2, ""PLACEHOLDER_0015"": 3, ""9"": 2}"
16,free,858,63.1,3,501,25.61,1,8,,False,False,"{""501"": 4, ""858"": 1, ""1"": 1, ""PLACEHOLDER_0016"": 2}"
17,MCQ,E,63.1,3,C,25.61,1,8,,False,False,"{""C"": 4, ""E"": 1, ""S"": 1, ""PLACEHOLDER_0017"": 2}"
18,MCQ,INVALID,45.37,4,I,37.42,1,12,H,False,True,"{""I"": 7, ""INVALID"": 1, ""H"": 2, ""PLACEHOLDER_0018"": 2}"
19,MCQ,D,63.1,3,E,25.61,1,8,,False,False,"{""E"": 4, ""D"": 1, ""J"": 1, ""PLACEHOLDER_0019"": 2}"
20,free,229,49.19,4,250,30.93,1,12,"228, 229, 250",False,True,"{""228,229,250"": 7, ""229"": 1, ""250"": 2, ""PLACEHOLDER_0020"": 2}"
21,free,67.43,58.75,4,"0.2915t+56.93,67.43",38.08,2,9,,False,False,"{""0.2915t+56.93,67.43"": 1, ""67.43"": 2, ""L(t)\\approx0.21917t+59.4667,\\67.4"": 3, ""L(t)=0.2915t+56.9333,=67.43"": 2, ""PLACEHOLDER_0021"": 1}"
22,MCQ,G,77.43,3,H,14.5,8,12,,False,False,"{""G"": 8, ""H"": 3, ""PLACEHOLDER_0022"": 1}"
23,MCQ,H,99.0,1,INVALID,1.27,7,12,H,True,False,"{""H"": 7, ""PLACEHOLDER_0023"": 3, ""INVALID"": 2}"
24,free,2,81.65,2,1,7.94,1,12,1,False,True,"{""1"": 9, ""2"": 1, ""PLACEHOLDER_0024"": 2}"
25,free,"8, 14, 25, 42, 55, 63",83.39,2,63,11.66,5,12,,False,False,"{""8,14,25,42,55,63"": 5, ""0.126984,0.0952381,0.174603,0.269841,0.206349,0.126984,8,14,25,42,55,63"": 3, ""63"": 1, ""0.127,0.09524,0.1746,0.2698,0.2063,0.127,8,14,25,42,55,63"": 1, ""PLACEHOLDER_0025"": 2}"
26,MCQ,I,77.43,3,H,14.5,8,12,,False,False,"{""I"": 8, ""H"": 3, ""PLACEHOLDER_0026"": 1}"
27,free,"\frac{7}{6}, \frac{11}{6}",43.26,4,"\frac13,\frac23,\frac76,1.83333",24.19,1,12,,False,False,"{""1.16667,1.83333"": 1, ""0.333333,0.666667,1.16667,1.83333"": 3, ""1/3,2/3,7/6,11/6"": 4, ""\\frac13,\\frac23,\\frac76,1.83333"": 1, ""11/6"": 1, ""PLACEHOLDER_0027"": 2}"
28,free,"2, 140.00",25.31,5,3,35.14,2,12,"2,70,1,768,2,140",False,True,"{""2,70,1,768,2,140"": 6, ""2,140"": 2, ""3"": 1, ""140"": 1, ""PLACEHOLDER_0028"": 2}"
29,free,39,45.37,4,38.2,37.42,1,12,38.2\%,False,True,"{""38.2"": 7, ""39"": 1, ""38.2\\%"": 2, ""PLACEHOLDER_0029"": 2}"
30,free,"2944, 664",67.78,3,"2944,665",28.18,4,12,"2944, 664",True,False,"{""2944,665"": 1, ""2944,664"": 4, ""664"": 2, ""PLACEHOLDER_0030"": 3, ""2945"": 2}"
31,free,"-3, 42",97.68,1,42,6.66,5,12,"-3,42",True,False,"{""-3,42"": 5, ""42"": 2, ""PLACEHOLDER_0031"": 3, ""-2"": 2}"
32,free,"10.05, -1.000, -3.500",43.41,4,"\sqrt{101},\-1,\-\dfrac{7}{2}",34.24,5,12,,False,False,"{""10.05,-1,-3.5"": 5, ""\\sqrt{101},\\-1,\\-\\dfrac{7}{2}"": 1, ""-3.5"": 2, ""\\sqrt{101},-1,-3.5"": 2, ""PLACEHOLDER_0032"": 2}"
33,MCQ,F,77.43,3,H,14.5,8,12,,False,False,"{""F"": 8, ""H"": 3, ""PLACEHOLDER_0033"": 1}"
34,MCQ,J,99.0,1,INVALID,1.27,7,12,J,True,False,"{""J"": 7, ""PLACEHOLDER_0034"": 3, ""INVALID"": 2}"
35,free,"\text{down}, \ln p",62.86,3,\lnp,21.07,1,12,,False,False,"{""down,\\lnp"": 5, ""\\text{down},\\lnp"": 1, ""\\text{downward},\\lnp"": 3, ""\\lnp"": 2, ""PLACEHOLDER_0035"": 1}"
36,free,40x^{10}y^9,77.43,3,40x^{10}y^{9},14.5,8,12,,False,False,"{""40x^{10}y^9"": 8, ""40x^{10}y^{9}"": 3, ""PLACEHOLDER_0036"": 1}"
37,free,"Tommy, Chucky, 7",83.28,2,7,13.19,3,11,,False,False,"{""Tommy,Chucky,7"": 3, ""Tommy,Chucky,February7"": 3, ""Tommy,Chucky,February\\7"": 3, ""7"": 1, ""PLACEHOLDER_0037"": 1}"
38,MCQ,B,99.0,1,INVALID,1.27,7,12,B,True,False,"{""B"": 7, ""PLACEHOLDER_0038"": 3, ""INVALID"": 2}"
39,free,475,99.0,1,476,1.27,7,12,475,True,False,"{""475"": 7, ""PLACEHOLDER_0039"": 3, ""476"": 2}"
40,free,INVALID,39.62,5,800-50d,45.56,1,12,D = 800 - 50d,False,True,"{""800-50d"": 6, ""INVALID"": 1, ""D=800-50d"": 3, ""PLACEHOLDER_0040"": 2}"
41,free,4048,74.09,3,3986,16.65,4,8,,False,False,"{""4048"": 4, ""3986"": 3, ""PLACEHOLDER_0041"": 1}"
42,free,"No, Yes, A",97.68,1,A,6.66,5,12,"No, Yes, A",True,False,"{""No,Yes,A"": 5, ""A"": 2, ""PLACEHOLDER_0042"": 3, ""INVALID"": 2}"
43,free,"\dfrac{3}{8},\ 14,\ 28",59.19,4,28,30.93,1,12,,False,False,"{""0.375,14,28"": 7, ""\\dfrac{3}{8},\\14,\\28"": 1, ""28"": 2, ""PLACEHOLDER_0043"": 2}"
44,free,"True, True, True, False",69.16,3,"1,1,1,0",17.32,4,12,"True, True, True, False",True,False,"{""True,True,True,False"": 4, ""1,1,1,0"": 1, ""False"": 1, ""0"": 1, ""PLACEHOLDER_0044"": 3, ""INVALID"": 2}"
45,MCQ,A,55.37,4,J,37.42,1,12,,False,False,"{""J"": 7, ""A"": 1, ""F"": 2, ""PLACEHOLDER_0045"": 2}"
46,free,"1.645, 1.719, 1.960, -1.960, 1.719, B, A",72.87,3,"B,A",14.54,3,12,,False,False,"{""1.645,1.719,1.96,-1.96,1.719,B,A"": 3, ""B,A"": 2, ""1.645,1.7193,1.96,-1.96,1.7193,B,A"": 3, ""A"": 1, ""1.645,1.72,1.96,-1.96,1.72,B,A"": 2, ""PLACEHOLDER_0046"": 1}"
47,MCQ,F,99.0,1,INVALID,1.27,7,12,F,True,False,"{""F"": 7, ""PLACEHOLDER_0047"": 3, ""INVALID"": 2}"
48,free,C,99.0,1,INVALID,1.27,7,12,C,True,False,"{""C"": 7, ""PLACEHOLDER_0048"": 3, ""INVALID"": 2}"
49,free,0.01433,38.36,5,0.014,38.18,2,12,,False,False,"{""0.0143"": 4, ""0.01434"": 3, ""0.01433"": 2, ""0.014"": 1, ""PLACEHOLDER_0049"": 2}"
50,free,"140A + 150B = 5930, 3A + 4B = 142",66.47,3,3A+4B=142,26.85,6,12,,False,False,"{""140A+150B=5930,3A+4B=142"": 6, ""3A+4B=142"": 2, ""140A+150B=5930,\\3A+4B=142"": 2, ""PLACEHOLDER_0050"": 2}"
51,free,25352_8,55.37,4,25452,37.42,1,12,,False,False,"{""25452"": 7, ""253528"": 1, ""254528"": 2, ""PLACEHOLDER_0051"": 2}"
52,free,"231, 385",97.68,1,385,6.66,5,12,"231,385",True,False,"{""231,385"": 5, ""385"": 2, ""PLACEHOLDER_0052"": 3, ""232"": 2}"
53,MCQ,F,99.0,1,INVALID,1.27,7,12,F,True,False,"{""F"": 7, ""PLACEHOLDER_0053"": 3, ""INVALID"": 2}"
54,free,1,74.09,3,2,16.65,4,8,,False,False,"{""1"": 4, ""2"": 3, ""PLACEHOLDER_0054"": 1}"
55,free,5x^4,95.11,1,y=5x^4,2.52,2,12,,False,False,"{""5x^4"": 2, ""y=5x^4"": 6, ""y=5x^{4}"": 3, ""PLACEHOLDER_0055"": 1}"
56,free,"D, D, A",97.68,1,A,6.66,5,12,"D,D,A",True,False,"{""D,D,A"": 5, ""A"": 2, ""PLACEHOLDER_0056"": 3, ""INVALID"": 2}"
57,free,5,81.65,2,4,7.94,1,12,4,False,True,"{""4"": 9, ""5"": 1, ""PLACEHOLDER_0057"": 2}"
58,free,0,95.51,1,31,2.11,2,8,,False,False,"{""0"": 2, ""7"": 3, ""31"": 2, ""PLACEHOLDER_0058"": 1}"
59,free,49,99.0,1,50,1.27,7,12,49,True,False,"{""49"": 7, ""PLACEHOLDER_0059"": 3, ""50"": 2}"
60,free,"C, A",97.68,1,A,6.66,5,12,"C,A",True,False,"{""C,A"": 5, ""A"": 2, ""PLACEHOLDER_0060"": 3, ""INVALID"": 2}"
61,free,"0.7600c, 0, 150, 0.6900c + 10.50, 150",87.91,2,150,9.12,3,12,,False,False,"{""0.7600c,0,150,0.6900c+10.50,150"": 3, ""0.76c,0,150,0.69c+10.50,150"": 4, ""150"": 2, ""0.76c,0,150,0.69c+10.5,150"": 2, ""PLACEHOLDER_0061"": 1}"
62,free,"-15, 192, 0",97.68,1,0,6.66,5,12,"-15,192,0",True,False,"{""-15,192,0"": 5, ""0"": 2, ""PLACEHOLDER_0062"": 3, ""-14"": 2}"
63,free,"15.84, 18.96",81.86,2,18.76,8.28,4,12,,False,False,"{""15.84,18.96"": 4, ""18.903,15.897"": 3, ""18.76"": 1, ""18.96"": 1, ""18.96,15.84"": 2, ""PLACEHOLDER_0063"": 1}"
64,free,850 - 350 \cos\left(\frac{\pi}{6} t\right),45.48,4,850-350\cos\left(\frac{\pit}{6}\right),29.68,5,12,,False,False,"{""850-350\\cos\\left(\\frac{\\pi}{6}t\\right)"": 5, ""850-350\\cos\\left(\\frac{\\pit}{6}\\right)"": 1, ""P(t)=850-350\\cos\\!\\left(\\dfrac{\\pi}{6}t\\right)"": 1, ""P(t)=850-350\\cos(\\frac{\\pit}{6})"": 2, ""850-350\\cos(\\frac{\\pit}{6})"": 1, ""PLACEHOLDER_0064"": 2}"
65,free,"-\dfrac{6}{7}, \dfrac{2}{7}",53.47,4,"-0.857143,0.285714",17.84,3,12,"-\frac{6}{7},\frac{2}{7}",False,True,"{""-\\dfrac{6}{7},\\dfrac{2}{7}"": 3, ""-0.857143,0.285714"": 2, ""\\dfrac{2}{7}"": 1, ""0.285714"": 1, ""PLACEHOLDER_0065"": 3, ""-66"": 2}"
66,free,2354,77.0,3,2353.64,14.78,6,10,,False,False,"{""2354"": 6, ""2353.64"": 3, ""PLACEHOLDER_0066"": 1}"
67,free,"7.6(1.09)^t, 13.89, 5.384",22.05,5,"13.89,5.382",21.38,1,12,,False,False,"{""7.6(1.09)^t,13.89,5.384"": 1, ""13.89,5.382"": 1, ""7.6\\cdot(1.09)^t,13.89,5.382"": 1, ""13.89,5.384"": 2, ""7.6(1.09)^t,\\13.89,\\5.38"": 1, ""5.384"": 1, ""7.6(1.09)^t,13.9,5.4"": 2, ""5.382,7.6\\cdot(1.09)^t,13.89,5.382"": 1, ""PLACEHOLDER_0067"": 2}"
68,free,5.442,40.62,4,5.443,26.33,2,11,,False,False,"{""5.443"": 1, ""5.442"": 2, ""-2.857,\\6.986,\\-1.082,\\3.143,\\-3.143,\\A,\\-11.15,\\5.439"": 1, ""-2.857,3.76,-2.011,3.707,-3.707,A,-8.124,2.41"": 3, ""\\5.439"": 1, ""-2.857,\\6.986,\\-1.082,\\3.707,\\-3.707,\\A,\\-12.646,\\6.932"": 2, ""PLACEHOLDER_0068"": 1}"
69,MCQ,G,77.43,3,"\TEXT{NONE OF THE LISTED OPTIONS; } \INT_0^\PI F(X)\,DX=\FRAC{\PI^2-2\PI}{2}",14.5,8,12,,False,False,"{""G"": 8, ""\\TEXT{NONE OF THE LISTED OPTIONS; } \\INT_0^\\PI F(X)\\,DX=\\FRAC{\\PI^2-2\\PI}{2}"": 3, ""PLACEHOLDER_0069"": 1}"
70,free,\dfrac{5}{56},61.66,3,0.0892857,27.16,2,12,\frac{5}{56},False,True,"{""\\dfrac{5}{56}"": 2, ""0.0892857"": 5, ""PLACEHOLDER_0070"": 3, ""557"": 2}"
71,free,"29/25,18",59.19,4,18,30.93,1,12,,False,False,"{""1.16,18"": 7, ""29/25,18"": 1, ""18"": 2, ""PLACEHOLDER_0071"": 2}"
72,free,IV,35.78,5,"-0.8352,-0.9187,0.395,-2.3258,\text{IV}",17.62,2,12,,False,False,"{""IV"": 2, ""-0.8352,-0.9187,0.395,-2.3258,\\text{IV}"": 1, ""-0.8352,\\-0.9187,\\0.3950,\\-2.3258,\\IV"": 1, ""-0.8352,-0.9187,0.395,-2.3257,\\text{QuadrantIV}"": 1, ""fourth"": 1, ""\\IV"": 1, ""-0.8352,-0.9187,0.395,-2.3258,QuadrantIV"": 2, ""-0.8352,-0.9187,0.395,-2.3258,IV"": 1, ""PLACEHOLDER_0072"": 2}"
73,MCQ,E,99.0,1,INVALID,1.27,7,12,E,True,False,"{""E"": 7, ""PLACEHOLDER_0073"": 3, ""INVALID"": 2}"
74,free,"12.32, 25.08",62.8,3,"13.14,24.26",19.93,2,11,,False,False,"{""12.32,25.08"": 2, ""13.14,24.26"": 2, ""(12.30,\\25.10)"": 3, ""25.08"": 1, ""[12.306,25.094]"": 2, ""PLACEHOLDER_0074"": 1}"
75,free,x > 21250,77.43,3,"x>21{,}250",14.5,8,12,,False,False,"{""x>21250"": 8, ""x>21{,}250"": 3, ""PLACEHOLDER_0075"": 1}"
76,free,"-4, -11, 3, 33, -32, 9, -14, -13",97.68,1,-13,6.66,5,12,"-4,-11,3,33,-32,9,-14,-13",True,False,"{""-4,-11,3,33,-32,9,-14,-13"": 5, ""-13"": 2, ""PLACEHOLDER_0076"": 3, ""-3"": 2}"
77,free,A,75.26,3,"D,D,A",10.1,5,12,"C,D,A",False,True,"{""A"": 5, ""D,D,A"": 3, ""C,D,A"": 2, ""PLACEHOLDER_0077"": 2}"
78,MCQ,A,99.0,1,INVALID,1.27,7,12,A,True,False,"{""A"": 7, ""PLACEHOLDER_0078"": 3, ""INVALID"": 2}"
79,free,\frac{25}{7},99.0,1,258,1.27,7,12,\frac{25}{7},True,False,"{""3.57143"": 7, ""PLACEHOLDER_0079"": 3, ""258"": 2}"
80,MCQ,G,99.0,1,INVALID,1.27,7,12,G,True,False,"{""G"": 7, ""PLACEHOLDER_0080"": 3, ""INVALID"": 2}"
81,free,79.41,77.43,3,79.4091,14.5,8,12,,False,False,"{""79.41"": 8, ""79.4091"": 3, ""PLACEHOLDER_0081"": 1}"
82,free,"1.309, 1.677, \text{No}",47.97,4,"1.323,1.677,No",23.62,2,12,,False,False,"{""1.309,1.677,\\text{No}"": 2, ""1.323,1.677,No"": 1, ""1.309,1.676,\\text{No}"": 2, ""1.32,1.677,\\text{No}"": 3, ""No"": 1, ""1.323,1.677,No,thereisnotsufficientevidencetosupporttheclaim"": 2, ""PLACEHOLDER_0082"": 1}"
83,free,6,70.82,3,1420,22.37,2,8,,False,False,"{""6"": 2, ""1420"": 1, ""355"": 2, ""1"": 1, ""PLACEHOLDER_0083"": 2}"
84,free,"-4, 5, -11",97.68,1,-11,6.66,5,12,"-4,5,-11",True,False,"{""-4,5,-11"": 5, ""-11"": 2, ""PLACEHOLDER_0084"": 3, ""-3"": 2}"
85,MCQ,F,99.0,1,INVALID,1.27,7,12,F,True,False,"{""F"": 7, ""PLACEHOLDER_0085"": 3, ""INVALID"": 2}"
86,free,16,99.0,1,17,1.27,7,12,16,True,False,"{""16"": 7, ""PLACEHOLDER_0086"": 3, ""17"": 2}"
87,free,"OBSERVATION, OBSERVATION, EXPERIMENT",95.52,1,EXPERIMENT,8.83,5,11,"OBSERVATION,OBSERVATION,EXPERIMENT",True,False,"{""OBSERVATION,OBSERVATION,EXPERIMENT"": 5, ""EXPERIMENT"": 1, ""PLACEHOLDER_0087"": 3, ""INVALID"": 2}"
88,MCQ,C,77.43,3,A,14.5,8,12,,False,False,"{""C"": 8, ""A"": 3, ""PLACEHOLDER_0088"": 1}"
89,free,46.57,74.12,3,46.5714,15.33,8,12,\frac{326}{7},False,True,"{""46.57"": 8, ""46.5714"": 2, ""PLACEHOLDER_0089"": 2}"
90,free,7n + 1,99.0,1,72,1.27,7,12,7n+1,True,False,"{""7n+1"": 7, ""PLACEHOLDER_0090"": 3, ""72"": 2}"
91,MCQ,J,76.72,3,H,15.09,6,12,,False,False,"{""J"": 6, ""H"": 5, ""PLACEHOLDER_0091"": 1}"
92,MCQ,E,99.0,1,INVALID,1.27,7,12,E,True,False,"{""E"": 7, ""PLACEHOLDER_0092"": 3, ""INVALID"": 2}"
93,free,sWith,46.95,4,51,34.08,2,6,,False,False,"{""51"": 3, ""sWith"": 2, ""PLACEHOLDER_0093"": 1}"
94,MCQ,C,99.0,1,INVALID,1.27,7,12,C,True,False,"{""C"": 7, ""PLACEHOLDER_0094"": 3, ""INVALID"": 2}"
95,free,12,95.51,1,5.33333,2.11,2,8,,False,False,"{""12"": 2, ""6"": 3, ""5.33333"": 2, ""PLACEHOLDER_0095"": 1}"
96,free,159,45.37,4,158,37.42,1,12,158\%,False,True,"{""158"": 7, ""159"": 1, ""158\\%"": 2, ""PLACEHOLDER_0096"": 2}"
97,free,"0, 4, 4",88.82,2,4,15.24,4,12,"0,4,4",True,False,"{""0,4,4"": 4, ""4"": 3, ""PLACEHOLDER_0097"": 3, ""1"": 2}"
98,MCQ,A,99.0,1,INVALID,0.94,6,11,A,True,False,"{""A"": 6, ""PLACEHOLDER_0098"": 3, ""INVALID"": 2}"
99,free,"-6, 12, -6",97.68,1,-6,6.66,5,12,"-6,12,-6",True,False,"{""-6,12,-6"": 5, ""-6"": 2, ""PLACEHOLDER_0099"": 3, ""-5"": 2}"
100,free,\frac{180}{7}\text{ grams},55.37,4,25.71,37.42,1,12,,False,False,"{""25.71"": 7, ""\\frac{180}{7}\\text{grams}"": 1, ""25.7143"": 2, ""PLACEHOLDER_0100"": 2}"
101,free,"C, C, A, C",97.68,1,C,6.66,5,12,"C,C,A,C",True,False,"{""C,C,A,C"": 5, ""C"": 2, ""PLACEHOLDER_0101"": 3, ""INVALID"": 2}"
102,MCQ,E,70.82,3,INVALID,22.37,2,8,,False,False,"{""E"": 2, ""INVALID"": 1, ""I"": 2, ""C"": 1, ""PLACEHOLDER_0102"": 2}"
103,free,8\sqrt2,45.37,4,11.31,37.42,1,12,8\sqrt{2},False,True,"{""11.31"": 7, ""8\\sqrt2"": 1, ""8\\sqrt{2}"": 2, ""PLACEHOLDER_0103"": 2}"
104,free,4.166,85.57,2,4.1661,11.96,5,12,,False,False,"{""4.166"": 5, ""\\dfrac{2387\\pi}{1800}\\approx4.166"": 3, ""4.1661"": 1, ""\\frac{2387\\pi}{1800}"": 2, ""PLACEHOLDER_0104"": 1}"
105,free,"24.00, 9.114",64.37,3,25,15.98,3,12,,False,False,"{""24,9.114"": 3, ""9.114"": 3, ""25"": 1, ""24,9.11"": 2, ""9.114,24,9.114"": 1, ""PLACEHOLDER_0105"": 2}"
106,free,\frac{13}{6}\text{ hours},55.37,4,2.167,37.42,1,12,,False,False,"{""2.167"": 7, ""\\frac{13}{6}\\text{hours}"": 1, ""2.16667"": 2, ""PLACEHOLDER_0106"": 2}"
107,MCQ,J,99.0,1,INVALID,1.27,7,12,J,True,False,"{""J"": 7, ""PLACEHOLDER_0107"": 3, ""INVALID"": 2}"
108,free,"72, 12x",88.82,2,12x,15.24,4,12,"72, 12x",True,False,"{""72,12x"": 4, ""12x"": 3, ""PLACEHOLDER_0108"": 3, ""73"": 2}"
109,MCQ,B,99.0,1,INVALID,1.27,7,12,B,True,False,"{""B"": 7, ""PLACEHOLDER_0109"": 3, ""INVALID"": 2}"
110,free,"3, 9",53.13,4,9,39.61,7,12,,False,False,"{""3,9"": 7, ""9"": 1, ""A,3,9"": 2, ""PLACEHOLDER_0110"": 2}"
111,free,8x^3,77.43,3,8x^{3},14.5,8,12,,False,False,"{""8x^3"": 8, ""8x^{3}"": 3, ""PLACEHOLDER_0111"": 1}"
112,free,600,46.95,4,1038,34.08,2,6,,False,False,"{""1038"": 3, ""600"": 2, ""PLACEHOLDER_0112"": 1}"
113,free,\dfrac{-2x^2 - 16x - 7}{25},74.44,3,\dfrac{-2x^{2}-16x-7}{25},19.59,6,12,,False,False,"{""\\dfrac{-2x^2-16x-7}{25}"": 6, ""\\dfrac{-2x^{2}-16x-7}{25}"": 1, ""\\frac{25-2(x+4)^2}{25}"": 2, ""\\frac{-2x^2-16x-7}{25}"": 1, ""PLACEHOLDER_0113"": 2}"
114,MCQ,D,99.0,1,INVALID,1.27,7,12,D,True,False,"{""D"": 7, ""PLACEHOLDER_0114"": 3, ""INVALID"": 2}"
115,free,1958,71.83,3,"11x-1200,11,109,(y+1200)/11,1958",19.52,3,12,,False,False,"{""11x-1200,11,109,(y+1200)/11,1958"": 4, ""1958"": 3, ""y=11x-1200,11,109,x=(y+1200)/11,1958"": 4, ""PLACEHOLDER_0115"": 1}"
116,free,"30, 6",97.68,1,6,6.66,5,12,"30,6",True,False,"{""30,6"": 5, ""6"": 2, ""PLACEHOLDER_0116"": 3, ""31"": 2}"
117,MCQ,INVALID,63.1,3,B,25.61,1,8,,False,False,"{""B"": 4, ""INVALID"": 1, ""Z"": 1, ""PLACEHOLDER_0117"": 2}"
118,free,3.600,99.0,1,PLACEHOLDER_0118,4.83,10,12,\frac{18}{5},True,False,"{""3.6"": 10, ""PLACEHOLDER_0118"": 2}"
119,free,"A, C, B, D",97.68,1,D,6.66,5,12,"A,C,B,D",True,False,"{""A,C,B,D"": 5, ""D"": 2, ""PLACEHOLDER_0119"": 3, ""INVALID"": 2}"
120,free,138,67.68,3,8,20.22,1,9,,False,False,"{""8"": 5, ""138"": 1, ""1"": 1, ""PLACEHOLDER_0120"": 2}"
121,free,35,99.0,1,36,1.27,7,12,35,True,False,"{""35"": 7, ""PLACEHOLDER_0121"": 3, ""36"": 2}"
122,free,55,47.07,4,"1174.8,55",45.81,2,12,,False,False,"{""1174.8,55"": 6, ""1174.8\\text{lb},55\\text{days}"": 3, ""55"": 2, ""PLACEHOLDER_0122"": 1}"
123,MCQ,G,99.0,1,INVALID,1.27,7,12,G,True,False,"{""G"": 7, ""PLACEHOLDER_0123"": 3, ""INVALID"": 2}"
124,MCQ,G,88.65,2,A,6.5,4,9,,False,False,"{""G"": 4, ""H"": 2, ""A"": 1, ""PLACEHOLDER_0124"": 2}"
125,MCQ,G,99.0,1,INVALID,1.3,5,10,G,True,False,"{""G"": 5, ""PLACEHOLDER_0125"": 3, ""INVALID"": 2}"
126,free,138000,99.0,1,138001,1.27,7,12,138000,True,False,"{""138000"": 7, ""PLACEHOLDER_0126"": 3, ""138001"": 2}"
127,free,5\ln\left(\dfrac{17}{2}\right),81.65,2,10.7,7.94,1,12,10.7,False,True,"{""10.7"": 9, ""5\\ln\\left(\\dfrac{17}{2}\\right)"": 1, ""PLACEHOLDER_0127"": 2}"
128,free,\dfrac{y - 3}{y + 3},48.08,4,\frac{y-3}{y+3},40.63,3,12,\frac{y-3}{y+3},False,True,"{""\\dfrac{y-3}{y+3}"": 3, ""\\frac{y-3}{y+3}"": 4, ""PLACEHOLDER_0128"": 3, ""-32"": 2}"
