item_id,best_answer,teacher_consensus,format_flags
568,"-10, 3","-10,3",format_only_diff_teacher
572,"8, -6, 6, 8","8,-6,6,8",format_only_diff_teacher
603,"C, A, B","C,A,B",format_only_diff_teacher
612,"68, 81","68,81",format_only_diff_teacher
615,"14, 9","14,9",format_only_diff_teacher
621,153 - k,153-k,format_only_diff_teacher
625,5(x + 2)(x + 3),5(x+2)(x+3),format_only_diff_teacher
628,"76, 75.7, 75.67, 75.673","76,75.7,75.67,75.673",format_only_diff_teacher
630,"71.981, 564.365","71.981,564.365",format_only_diff_teacher
637,"A, B, F, C, D, E","A,B,F,C,D,E",format_only_diff_teacher
645,129n - 11500,129n-11500,format_only_diff_teacher
654,"\sqrt{19}, 2, 2, 2","\sqrt{19},2,2,2",format_only_diff_teacher
664,"\dfrac{83}{100}, \dfrac{83}{99}","\frac{83}{100},\frac{83}{99}",format_only_diff_teacher
674,8x + 7,8x+7,format_only_diff_teacher
689,"45, 43","45,43",format_only_diff_teacher
699,"6, 3","6,3",format_only_diff_teacher
707,"5200, 2600","5200,2600",format_only_diff_teacher
713,"-3, \text{not real}","-3,not real",backsolve_disagree|format_only_diff_teacher
726,"7, 48","7,48",format_only_diff_teacher
733,"68, 247, 97, 17","68,247,97,17",format_only_diff_teacher
738,"A, C, A, A","A,C,A,A",format_only_diff_teacher
744,"26.875, 32.1875","26.875,32.1875",format_only_diff_teacher
746,"17417, 30856, 808694, 103863, 876259, 924095, 21108","17417,30856,808694,103863,876259,924095,21108",format_only_diff_teacher
754,60x^2 + 65x,60x^2+65x,format_only_diff_teacher
764,\dfrac{(a + b)(a - b)^4}{c^5},\frac{(a+b)(a-b)^4}{c^5},format_only_diff_teacher
773,\dfrac{3a - 14}{3},\frac{3a-14}{3},format_only_diff_teacher
774,"24, 28, 33, 39, 42","24,28,33,39,42",format_only_diff_teacher
780,3t^{14} + 6t^{12} + 9t^{10},3t^{14}+6t^{12}+9t^{10},format_only_diff_teacher
789,"8, 8, -8, -8","8,8,-8,-8",format_only_diff_teacher
795,"450, 2, 6","450,2,6",format_only_diff_teacher
813,"A, C","A,C",format_only_diff_teacher
821,"C, A, A, A","C,A,A,A",format_only_diff_teacher
846,"3, 1, 2, 3, -2","3,1,2,3,-2",format_only_diff_teacher
849,4(n + 1),4(n+1),format_only_diff_teacher
855,"20000, 2000","20000,2000",format_only_diff_teacher
859,"1, 2, 2, 4","1,2,2,4",format_only_diff_teacher
882,"1200, 3600","1200,3600",format_only_diff_teacher
886,"A, C","A,C",format_only_diff_teacher
889,"5, 4y","5,4y",format_only_diff_teacher
893,"A, C","A,C",format_only_diff_teacher
900,"1200, 3600","1200,3600",format_only_diff_teacher
902,"3, 2","3,2",format_only_diff_teacher
903,"A, C","A,C",format_only_diff_teacher
905,"B, C","B,C",format_only_diff_teacher
910,"1134, 16","1134,16",format_only_diff_teacher
931,"3, -3","3,-3",format_only_diff_teacher
941,"A, C, A, A, B, C","A,C,A,A,B,C",format_only_diff_teacher
