item_id,best_answer,raw_confidence,adjusted_confidence,tier,runner_up,runner_up_conf,n_supporting,n_with_answer,teacher_consensus,teacher_agrees,teacher_agreement
72,"-0.8352, -0.9187, 0.3950, -2.3258,",0.2911,0.2911,5,IV,0.2725,2,15,"-0.8352, -0.9187, 0.3950, -2.3257, Quadrant IV",False,0.33
73,E,0.8465,0.8965,2,I,0.1442,9,15,E,True,1.0
74,"12.32, 25.08",0.5412,0.5412,4,"13.14, 24.26",0.1717,2,12,"[12.306, 25.094]",False,0.33
75,x > 21250,0.776,0.826,2,"x>21{, }250",0.1439,11,15,x > 21250,True,0.67
76,"-4, -11, 3, 33, -32, 9, -14, -13",0.8756,0.9256,1,"-13, -14, 9, -32, 33, 3, -11, -4",0.071,7,15,"-4,-11,3,33,-32,9,-14,-13",True,1.0
77,A,0.6629,0.6629,3,"A, D, D",0.212,5,16,"C,D,A",False,0.67
78,A,0.9869,0.99,1,INVALID,0.0125,10,15,A,True,1.0
79,\frac{25}{7},0.9869,0.99,1,258,0.0125,10,15,\frac{25}{7},True,1.0
80,G,0.8465,0.8965,2,H,0.1442,9,15,G,True,1.0
81,80.92,0.6631,0.6631,3,79.41,0.2721,1,15,79.41,False,0.67
82,"1.309, 1.677,",0.3494,0.3494,5,"1.323, 1.677, No",0.2702,2,15,"1.323, 1.677, No, there is not sufficient evidence to support the claim",False,0.33
83,6,0.5998,0.5998,4,1420,0.1894,2,9,1420,False,0.33
84,"-4, 5, -11",0.8756,0.9256,1,"-11, 5, -4",0.071,7,15,"-4,5,-11",True,1.0
85,F,0.8465,0.8965,2,3,0.1442,9,15,F,True,1.0
86,16,0.9869,0.99,1,17,0.0125,10,15,16,True,1.0
87,"OBSERVATION, OBSERVATION, EXPERIMENT",0.8607,0.9107,1,"EXPERIMENT, OBSERVATION, OBSERVATION",0.0698,7,14,"OBSERVATION,OBSERVATION,EXPERIMENT",True,1.0
88,C,0.776,0.826,2,A,0.1439,11,15,C,True,0.67
89,46.57,0.9926,0.9926,1,PLACEHOLDER_0089,0.0053,10,16,\frac{326}{7},False,0.67
90,7n + 1,0.8414,0.7414,3,7n+1,0.1492,8,15,7n+1,False,1.0
91,A,0.6668,0.6668,3,J,0.267,1,15,J,False,0.67
92,E,0.8465,0.8965,2,F,0.1442,9,15,E,True,1.0
93,E,0.8445,0.8445,2,sWith,0.073,1,7,sWith,False,0.33
94,C,0.9869,0.99,1,INVALID,0.0125,10,15,C,True,1.0
95,12,0.7678,0.7678,3,H,0.1961,2,9,\frac{16}{3},False,0.5
96,159,0.5454,0.4454,4,158,0.4512,1,16,158\%,False,1.0
97,"0, 4, 4",0.6275,0.6775,3,"0, 4",0.2562,5,15,"0,4,4",True,1.0
98,A,0.9904,0.99,1,INVALID,0.0093,9,14,A,True,1.0
99,"-6, 12, -6",0.9275,0.9775,1,-6,0.066,8,15,"-6,12,-6",True,1.0
100,25.71,0.8824,0.7824,3,\frac{180}{7},0.1128,9,15,\frac{180}{7},False,1.0
101,"C, C, A, C",0.8756,0.9256,1,"C, A, C, C",0.071,7,15,"C,C,A,C",True,1.0
102,E,0.5998,0.4998,4,INVALID,0.1894,2,9,I,False,1.0
103,8\sqrt2,0.5454,0.5454,4,11.31,0.4512,1,16,8\sqrt{2},False,0.67
104,4.166,0.7901,0.7901,3,4.17,0.1011,7,15,\frac{2387\pi}{1800},False,0.67
105,"24, 9.114",0.3827,0.2827,5,"24.00, 9.114",0.1975,3,15,"24, 9.11",False,1.0
106,2.167,0.8824,0.7824,3,\frac{13}{6},0.1128,9,15,\frac{13}{6},False,1.0
107,J,0.8465,0.8965,2,"\left( \frac { 1 }{ 13 }, -\frac { 1 }{ 13 } \right)",0.1442,9,15,J,True,1.0
108,"72, 12x",0.6672,0.7172,3,"72.00, 12x",0.2212,5,15,"72, 12x",True,1.0
109,B,0.8465,0.8965,2,J,0.1442,9,15,B,True,1.0
110,"3, 9",0.3827,0.4327,4,"A, 9",0.2069,8,15,"3,9",True,0.67
111,8x^3,0.776,0.826,2,8x^{3},0.1439,11,15,8x^3,True,0.67
112,C,0.8445,0.8445,2,600,0.073,1,7,600,False,0.33
113,\frac{-2x^{2}-16x-7}{25},0.3615,0.3615,5,\frac{-2x^2 - 16x - 7}{25},0.2991,1,15,\frac{25-2(x+4)^2}{25},False,0.67
114,D,0.9869,0.99,1,INVALID,0.0125,10,15,D,True,1.0
115,"11x - 1200, 11, 109, (y + 1200)/11, 1958",0.4635,0.4635,4,"y=11x-1200, 11, 109, (y+1200)/11, 1957",0.2434,1,15,"11x-1200,11,109,(y+1200)/11,1958",False,0.67
116,"30, 6",0.7095,0.7595,3,"30.00, 6.000",0.1479,6,15,"30,6",True,1.0
117,INVALID,0.4178,0.3178,5,H,0.3378,1,9,B,False,1.0
118,3.600,0.9522,0.99,1,PLACEHOLDER_0118,0.0478,13,15,\frac{18}{5},True,0.67
119,"A, C, B, D",0.8756,0.9256,1,"D, B, C, A",0.071,7,15,"A,C,B,D",True,1.0
120,138,0.4374,0.3374,5,B,0.3537,1,10,8,False,1.0
121,35,0.9869,0.99,1,36,0.0125,10,15,35,True,1.0
122,"1174.8, 55.00",0.6098,0.5098,4,"55, 1174.8",0.184,2,15,"1174.8,55",False,1.0
123,G,0.8465,0.8965,2,C,0.1442,9,15,G,True,1.0
124,G,0.6812,0.6812,3,B,0.2316,4,10,H,False,0.67
125,G,0.8433,0.8933,2,8,0.1473,7,13,G,True,1.0
126,138000,0.9869,0.99,1,138001,0.0125,10,15,138000,True,1.0
127,5\ln\left(\frac{17}{2}\right),0.994,0.994,1,PLACEHOLDER_0127,0.0045,1,16,10.7,False,0.67
128,\frac{y - 3}{y + 3},0.986,0.886,2,-32,0.0105,8,16,\frac{y-3}{y+3},False,1.0
129,"\frac{5}{\sin t}, \sqrt{7}, -3 \cos t, 2\sqrt{2} \tan t",0.5363,0.5363,4,"5 \csc t, \sqrt{7}, -3 \cos t, 2\sqrt{2} \tan t",0.293,3,15,"5/\sin(t),\ \sqrt{7},\ -3\cos(t),\ 2\sqrt{2}\tan(t)",False,0.33
130,r^{42},0.9869,0.99,1,43,0.0125,10,15,r^{42},True,1.0
131,0.1084,0.4085,0.4585,4,0.0908,0.288,9,15,0.1084,True,0.33
132,10.80,0.9522,0.99,1,PLACEHOLDER_0132,0.0478,13,15,10.8,True,0.67
133,"-0.8660, 0.5000, -1.732, 2.000",0.2711,0.2711,5,"-0.8660, 0.5000, -1.732, 2.0000",0.2674,5,15,"-\frac{\sqrt{3}}{2},\,\frac{1}{2},\,-\sqrt{3},\,2",False,0.67
134,27.63,0.3941,0.3941,5,"1, 5, 12, 20, 26, 30, 31, 28",0.3507,8,16,"1,5,12,20,26,30,31,27.625",False,0.67
135,36,0.994,0.894,2,PLACEHOLDER_0135,0.0045,1,16,\frac{3}{5},False,1.0
136,"A, C",0.3706,0.4206,4,"C, A",0.3545,7,15,"A,C",True,0.67
137,"\frac{2}{13}, \frac{2}{1}",0.4987,0.3987,5,214,0.3545,5,16,"2/13,2/1",False,1.0
138,7237,0.5588,0.6088,3,7220,0.394,9,15,7237,True,0.33
139,"\frac{1}{n(n+1)}, 201",0.5089,0.4089,4,\frac{1}{n(n+1)},0.3481,1,16,"201, \frac{1}{n(n+1)}",False,1.0
140,2744,0.9869,0.99,1,2745,0.0125,10,15,2744,True,1.0
141,3,0.3346,0.2346,5,B,0.2693,2,12,A,False,1.0
142,"7, 8, 9, 10, 11",0.9869,0.99,1,8,0.0125,10,15,"7, 8, 9, 10, 11",True,1.0
143,"0.000, -8.000, 0.000, 6.000, 3.000, 5.196",0.2357,0.2357,5,"(0, -8), (0, 6), (3, 5.196)",0.2287,1,15,"(0,-8),(0,6),(3,3\sqrt3)",False,0.67
144,E,0.6042,0.6042,3,C,0.3368,1,14,H,False,0.33
145,"\frac{x}{5280}, 4.735, 25000",0.2251,0.2251,5,"4.735, 25000",0.2184,1,15,"x/5280,\ 4.735,\ 25000",False,0.33
146,F,0.8465,0.8965,2,G,0.1442,9,15,F,True,1.0
147,I,0.8465,0.8965,2,H,0.1442,9,15,I,True,1.0
148,A,0.8465,0.8965,2,G,0.1442,9,15,A,True,1.0
149,6853.68,0.6668,0.6668,3,6.85,0.267,1,15,6.85,False,0.67
150,A,0.8465,0.8965,2,I,0.1442,9,15,A,True,1.0
151,36,0.5695,0.6195,3,1,0.4231,7,15,36,True,0.67
152,J,0.776,0.826,2,874,0.1439,11,15,J,True,0.67
153,B,0.9869,0.99,1,INVALID,0.0125,10,15,B,True,1.0
154,18.75,0.8425,0.8425,2,\18.75,0.1521,11,15,\18.75,False,0.67
155,12.17,0.8425,0.8925,2,12.17 ft,0.1521,11,15,12.17,True,0.67
156,H,0.9869,0.99,1,INVALID,0.0125,10,15,H,True,1.0
157,"50 \sin(0.1t) - 7 \cos(0.1t), 46.31",0.2623,0.2623,5,"7 \cos(0.1 t) - 50 \sin(0.1 t), -46.31, -46.31",0.2258,1,15,"-7\cos(0.1t)+50\sin(0.1t),\ 46.31",False,0.33
158,"A, C",0.8756,0.9256,1,"C, A",0.071,7,15,"A,C",True,1.0
159,"0.07, 0.007, 0.0007",0.7095,0.7595,3,"0.0700, 0.0070, 0.0007",0.1479,6,15,"0.07, 0.007, 0.0007",True,1.0
160,"\frac{22 + x}{y},",0.4471,0.4471,4,"\frac{22 + x}{y}, \text{identity property of multiplication}",0.1556,3,14,"\frac{22+x}{y},Identity Property of Multiplication",False,0.33
161,H,0.8445,0.8445,2,\dbinom{2024}{1012},0.073,1,7,\dbinom{2024}{1012},False,0.33
162,B,0.803,0.853,2,F,0.1007,8,15,B,True,1.0
163,"9, -5, 4",0.8756,0.9256,1,"4, -5, 9",0.071,7,15,"9,-5,4",True,1.0
164,G,0.8625,0.9125,1,H,0.0821,7,12,G,True,0.67
165,C,0.329,0.329,5,G,0.2648,2,15,I,False,0.67
166,175 \cdot \left( \frac{1}{4} \right)^n,0.5928,0.5928,4,175 \left( \frac{1}{4} \right)^n,0.1312,6,15,175(\frac{1}{4})^n,False,0.33
167,"B, A, B, B",0.6112,0.6112,3,"B, B, A, B",0.2298,7,16,"Negative,Negative,Positive,Negative",False,0.67
168,"B, B, C, A",0.3774,0.3774,5,"A, C, B, B",0.3254,1,15,"A,C,B,B",False,0.67
169,401,0.5454,0.4454,4,400.0,0.4512,1,16,400\%,False,1.0
170,J,0.6669,0.6669,3,C,0.2554,3,9,F,False,0.33
171,21,0.994,0.894,2,PLACEHOLDER_0171,0.0045,1,16,20,False,1.0
172,\frac{1320}{3721},0.9869,0.99,1,13203722,0.0125,10,15,\frac{1320}{3721},True,1.0
173,C,0.9809,0.99,1,INVALID,0.0183,4,9,C,True,1.0
174,"7.000, 0.8750",0.4648,0.3648,5,8,0.2334,6,16,"7, \frac{7}{8}",False,1.0
175,I,0.8823,0.9323,1,J,0.1106,8,14,I,True,1.0
176,\frac{p - 6k - m}{8},0.8465,0.8465,2,\frac{p-6k-m}{8},0.1442,9,15,\frac{p-6k-m}{8},False,0.67
177,I,0.7618,0.7618,3,J,0.1945,2,15,H,False,0.67
178,C,0.9869,0.99,1,INVALID,0.0125,10,15,C,True,1.0
179,"29, 3, 21, 1, 21, 4, 19, 4, 23, 3",0.8756,0.9256,1,"3, 23, 4, 19, 4, 21, 1, 21, 3, 29",0.071,7,15,"29,3,21,1,21,4,19,4,23,3",True,1.0
180,\frac{m - 7}{2},0.7184,0.7184,3,\frac{1}{2}m - \frac{7}{2},0.2315,2,15,-\frac{7}{2}+\frac{1}{2}m,False,0.33
181,D,0.5214,0.5214,4,B,0.4209,1,15,A,False,0.67
182,E,0.8256,0.8756,2,H,0.1042,10,15,E,True,0.67
183,D,0.8465,0.8965,2,E,0.1442,9,15,D,True,1.0
184,A,0.935,0.935,1,J,0.0368,3,15,J,False,0.33
185,"T, F, T, F, T",0.9275,0.9775,1,T,0.066,8,15,"T,F,T,F,T",True,1.0
186,D,0.8465,0.8965,2,3 m/s,0.1442,9,15,D,True,1.0
187,"0.0281, 0.0067, 0.3825, 0.4512, 22.00, 18.00, 2, 35.00, 30.00",0.3118,0.3118,5,"45.00, 38.00",0.2412,2,15,"1.0734, 0.0474, 0.7673, 0.7611, 38, 36, 2, 44, 43",False,0.33
188,"60.00, 60.00, 60.00",0.5038,0.4038,4,61,0.3246,7,16,"60,60,60",False,1.0
189,850a + 1200r = 35000,0.8414,0.7414,3,850a+1200r=35000,0.1492,8,15,850a+1200r=35000,False,1.0
190,-\frac{21}{8},0.9869,0.99,1,-217,0.0125,10,15,-\frac{21}{8},True,1.0
191,"D, A, C, B, E",0.8756,0.9256,1,"E, B, C, A, D",0.071,7,15,"D,A,C,B,E",True,1.0
192,"1.059, (1.881, \infty), 0.1449, A",0.338,0.338,5,A,0.2329,2,15,"1.06,(1.88, infty),0.1446,A",False,0.33
193,A,0.4224,0.3224,5,"C, distance = magnitude of displacement, distance = displacement",0.3039,8,16,"A, C, D",False,1.0
194,"600.0, July, 1908, 890.0, March, 1907",0.1883,0.1883,5,"March, 1907",0.1826,1,12,"600, July, 1908, 890, March, 1907",False,0.33
195,"-2.445, -0.7553",0.4081,0.4081,4,"(-2.445, -0.7554)",0.246,2,15,"(-2.47,\ -0.73)",False,0.33
196,"14.7447, 10.3244, 35.0000",0.3592,0.2592,5,15,0.2553,5,16,"14.7447, 10.3244, 35",False,1.0
197,"3, 4",0.9224,0.9724,1,"4, 3",0.0748,7,15,"3,4",True,1.0
198,5,0.4178,0.4678,4,A,0.3378,1,9,5,True,0.33
199,47,0.7678,0.7678,3,B,0.1961,2,9,27,False,0.33
200,I,0.8465,0.8965,2,H,0.1442,9,15,I,True,1.0
201,1(5t + 8)(5t + 8),0.297,0.297,5,(5t+8)^2,0.2643,8,15,(5t+8)(5t+8),False,0.67
202,5436,0.994,0.894,2,PLACEHOLDER_0202,0.0045,1,16,\frac{54}{35},False,1.0
203,I,0.803,0.853,2,J,0.1007,8,15,I,True,1.0
204,B,0.4733,0.5233,4,G,0.3826,1,7,B,True,0.33
205,"\frac{3, \frac{11} $$",0.6296,0.6296,3,"\frac{3}{4}, \frac{11}{20}",0.1715,1,15,"\frac{3}{4},\frac{11}{20}",False,0.33
206,4,0.9869,0.99,1,5,0.0125,10,15,4,True,1.0
207,146,0.994,0.894,2,PLACEHOLDER_0207,0.0045,1,16,\frac{14}{5},False,1.0
208,"16.20, 4.677",0.4308,0.4308,4,"16.2, \frac{720}{49\pi}",0.3441,5,16,"\frac{81}{5},\frac{720}{49\pi}",False,0.67
209,B,0.9869,0.99,1,INVALID,0.0125,10,15,B,True,1.0
210,"-\frac{49\sqrt{3} + 16\sqrt{33}}{15}, \frac{2x}{x^2 + 1}",0.2623,0.2623,5,", 3, 7",0.2258,1,15,"-\frac{16\sqrt{33}+49\sqrt{3}}{15},\,\frac{2x}{1+x^2}",False,0.33
211,D,0.7262,0.7262,3,I,0.2028,1,9,I,False,0.67
212,J,0.8465,0.8965,2,I,0.1442,9,15,J,True,1.0
213,\frac{2}{9},0.9869,0.99,1,30,0.0125,10,15,\frac{2}{9},True,1.0
214,"11, F, 7, T",0.4648,0.3648,5,12,0.2334,6,16,"11,F,10,T",False,1.0
215,159,0.6631,0.5631,4,752,0.2721,1,15,752,False,1.0
216,60,0.9869,0.99,1,61,0.0125,10,15,60,True,1.0
217,C,0.9869,0.99,1,INVALID,0.0125,10,15,C,True,1.0
218,0.775,0.3615,0.3615,5,0.7754,0.2991,1,15,\arcsin\!(\frac{7}{10}),False,0.33
219,27,0.9869,0.99,1,28,0.0125,10,15,27,True,1.0
220,A,0.9869,0.99,1,INVALID,0.0125,10,15,A,True,1.0
221,2750,0.9869,0.99,1,2751,0.0125,10,15,2750,True,1.0
222,C,0.6564,0.6564,3,S,0.335,6,9,"1005, C",False,0.33
223,A,0.8677,0.9177,1,C,0.1237,7,15,A,True,1.0
224,2643,0.9869,0.99,1,2644,0.0125,10,15,2643,True,1.0
225,"0.6250, 4, 2.776, A",0.3369,0.3369,5,"0.6254, 4, 2.776, A",0.2461,2,15,"0.6253, 4, 2.776, A",False,0.33
226,8,0.9869,0.99,1,9,0.0125,10,15,8,True,1.0
227,"9, C",0.4648,0.3648,5,INVALID,0.2334,6,16,"A,C",False,1.0
228,v^7,0.776,0.826,2,v^{7},0.1439,11,15,v^7,True,0.67
229,n-2,0.4733,0.4733,4,A,0.3826,1,7,n-1,False,0.33
230,-2.424,0.8293,0.8293,2,-2.41,0.1441,8,15,x = \frac{\ln(0.32)}{\ln(1.6)} = -2.424,False,0.33
231,"4.742, 0.5161",0.7901,0.7901,3,5.2016 + 0.3468x,0.1011,7,15,y = \frac{147}{31} + \frac{16}{31}x,False,0.33
232,41,0.5454,0.4454,4,3,0.4512,1,16,"40, 37, 3",False,1.0
233,"1.960, -1.960, -5.177, B",0.5578,0.5578,4,"1.96, -1.96, -5.18",0.1985,2,15,"1.96, -1.96, -5.18, B",False,0.33
234,29x^7 + 6x^5,0.4735,0.5235,4,29x^7+6x^5,0.4535,10,15,29x^7 + 6x^5,True,0.33
235,B,0.8823,0.9323,1,C,0.1106,8,14,B,True,1.0
236,"6e, -6",0.8756,0.9256,1,"-6, 6e",0.071,7,15,"6e,-6",True,1.0
237,51,0.5454,0.4454,4,50.00,0.4512,1,16,50\%,False,1.0
238,"-61, 61, 62",0.8756,0.9256,1,"62, 61, -61",0.071,7,15,"-61,\,61,\,62",True,1.0
239,3.450,0.2858,0.2858,5,"35.00, 3.450",0.2377,3,15,"35, 3.45",False,0.33
240,"12.00, 4.900, 3.300",0.4162,0.3162,5,"12\text{ s}, 4.9\text{ ft}, 3.3",0.3325,5,15,"12,4.9,3.3",False,1.0
241,B,0.8465,0.8965,2,J,0.1442,9,15,B,True,1.0
242,"241.2, 239.5, 233.0, 221.7, 14.89, 6.172",0.3543,0.3543,5,"241.2, 239.5, 233, 221.7, 14.89, 6.173",0.3236,3,15,"241.22, 239.5, 233, 162.89, 12.76, 5.29\%",False,0.33
243,1,0.3391,0.2391,5,"0.2151, 0.8925",0.259,1,16,"0.8925, 0.2150",False,1.0
244,F,0.9869,0.99,1,INVALID,0.0125,10,15,F,True,1.0
245,980,0.9869,0.99,1,981,0.0125,10,15,980,True,1.0
246,"25.00, 23.00, 17.00, 23.00, 19.00",0.4266,0.3266,5,"25, 23, 17, 23, 19",0.393,2,15,"25,23,17,23,19",False,1.0
247,"2474, \frac{2474}{1 + 37.06 e^{-0.53t}}, 2474",0.2634,0.2634,5,"2473.8, 2474, \frac{2474} $",0.2267,1,15,"\frac{2409}{65},\frac{2474}{1+\frac{2409}{65}e^{-0.53t}},2473.84",False,0.67
248,E,0.7262,0.7262,3,180,0.2028,1,9,180,False,0.67
249,G,0.8465,0.8965,2,H,0.1442,9,15,G,True,1.0
250,48,0.7678,0.7678,3,C,0.1961,2,9,cohomological,False,0.33
251,173,0.5454,0.4454,4,172.7,0.4512,1,16,172.7\%,False,1.0
252,C,0.9869,0.99,1,INVALID,0.0125,10,15,C,True,1.0
253,C,0.6631,0.6631,3,E,0.2721,1,15,E,False,0.67
254,H,0.8465,0.8965,2,J,0.1442,9,15,H,True,1.0
255,H,0.329,0.329,5,F,0.2648,2,15,E,False,0.67
256,"-30, 30",0.8756,0.9256,1,"30, -30",0.071,7,15,"-30,30",True,1.0
257,"2.520, 3.000, A",0.5011,0.4011,4,3,0.3255,1,16,"2.52, 3.00, A",False,1.0
